,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[7, 11]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
7,Женя,женя,PROPN,appos,[0],[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
11,!,!,PUNCT,punct,[0],[],
13,Пишу,пишу,VERB,ROOT,[],"[18, 23, 43, 49]",Aspect=Perf|Mood=Imp|Number=Plur|Person=Second|VerbForm=Fin|Voice=Act
18,тебе,ты,PRON,iobj,[13],[],Case=Dat|Number=Sing|Person=Second
23,сейчас,сейчас,ADV,advmod,[13],[],Degree=Pos
30,обыкновенное,обыкновенный,ADJ,amod,"[43, 13]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
43,письмо,письмо,NOUN,obj,[13],[30],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
49,.,.,PUNCT,punct,[13],[],
51,Пишу,писать,VERB,ROOT,[],"[59, 67]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
56,из,из,ADP,case,"[59, 51]",[],
59,Воронежа,воронеж,PROPN,obl,[51],[56],Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
67,.,.,PUNCT,punct,[51],[],
69,Как,как,SCONJ,mark,"[76, 84]",[],
73,ты,ты,PRON,nsubj,"[76, 84]",[],Case=Nom|Number=Sing|Person=Second
76,знаешь,знать,VERB,parataxis,[84],"[69, 73, 82]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Second|Tense=Pres|VerbForm=Fin|Voice=Act
82,",",",",PUNCT,punct,"[76, 84]",[],
84,учусь,учиться,VERB,ROOT,[],"[76, 103, 115]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Mid
90,в,в,ADP,case,"[103, 84]",[],
92,инженерном,инженерный,ADJ,amod,"[103, 84]",[],Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
103,университете,университет,NOUN,obl,[84],"[90, 92]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
115,.,.,PUNCT,punct,[84],[],
117,В,в,ADP,case,"[129, 146]",[],
119,последнее,последний,ADJ,amod,"[129, 146]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
129,время,время,NOUN,obl,[146],"[117, 119]",Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
135,много,много,ADV,nsubj,[146],[141],Degree=Pos
141,чего,что,PRON,obl,"[135, 146]",[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
