,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
648,.,.,PUNCT,punct,[638],[],
650,У,у,ADP,case,"[652, 660]",[],
652,мужчины,мужчина,NOUN,obl,[660],[650],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
660,будет,будет,VERB,ROOT,[],"[652, 677, 712]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
666,счастливая,счастливый,ADJ,amod,"[677, 660]",[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
677,жизнь,жизнь,NOUN,nsubj,[660],"[666, 685]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
683,в,в,ADP,case,"[685, 677, 660]",[],
685,достатке,достаток,NOUN,nmod,"[677, 660]","[683, 706]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
694,и,и,CCONJ,cc,"[706, 685, 677, 660]",[],
696,с,с,ADP,case,"[706, 685, 677, 660]",[],
698,любимой,любимый,ADJ,amod,"[706, 685, 677, 660]",[],Case=Ins|Degree=Pos|Gender=Fem|Number=Sing
706,семьей,семья,NOUN,conj,"[685, 677, 660]","[694, 696, 698]",Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
712,.,.,PUNCT,punct,[660],[],
714,У,у,ADP,case,"[716, 754]",[],
716,женщины,женщина,NOUN,obl,[754],"[714, 726]",Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing
724,с,с,ADP,case,"[726, 716, 754]",[],
726,книгой,книга,NOUN,nmod,"[716, 754]",[724],Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
733,через,через,ADP,case,"[748, 754]",[],
739,какое,какой,DET,det,"[748, 754]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
744,-,-,DET,det,"[748, 754]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
745,то,тот,DET,det,"[748, 754]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
748,время,время,NOUN,obl,[754],"[733, 739, 744, 745]",Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
754,произойдут,произойти,VERB,ROOT,[],"[716, 748, 765, 781, 802]",Aspect=Perf|Mood=Ind|Number=Plur|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Act
765,перемены,перемена,NOUN,nsubj,[754],[],Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur
773,",",",",PUNCT,punct,"[781, 754]",[],
775,и,и,CCONJ,cc,"[781, 754]",[],
777,она,она,PRON,nsubj,"[781, 754]",[],Case=Nom|Gender=Fem|Number=Sing|Person=Third
781,встретит,встретить,VERB,conj,[754],"[773, 775, 777, 796]",Aspect=Perf|Mood=Ind|Number=Sing|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Act
790,новую,новый,ADJ,amod,"[796, 781, 754]",[],Case=Acc|Degree=Pos|Gender=Fem|Number=Sing
796,любовь,любовь,NOUN,obj,"[781, 754]",[790],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
802,.,.,PUNCT,punct,[754],[],
804,А,а,CCONJ,cc,[827],[],
806,другая,другая,ADJ,amod,"[813, 827]",[],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
813,женщина,женщина,NOUN,nsubj,[827],[806],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
821,так,так,ADV,advmod,[827],[825],Degree=Pos
825,и,и,PART,fixed,"[821, 827]",[],
827,останется,остаться,VERB,ROOT,[],"[804, 813, 821, 839, 863, 980]",Aspect=Perf|Mood=Ind|Number=Sing|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Mid
837,в,в,ADP,case,"[839, 827]",[],
839,семье,семья,NOUN,obl,[827],[837],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
845,и,и,CCONJ,cc,"[847, 863, 827]",[],
847,будет,будет,AUX,aux,"[863, 827]",[845],Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
853,всю,весь,DET,det,"[857, 863, 827]",[],Case=Acc|Gender=Fem|Number=Sing
857,жизнь,жизнь,NOUN,obj,"[863, 827]",[853],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
863,терпеть,терпеть,VERB,xcomp,[827],"[847, 857, 871]",Aspect=Imp|VerbForm=Inf|Voice=Act
871,мужа,муж,NOUN,obj,"[863, 827]",[878],Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
876,и,и,CCONJ,cc,"[878, 871, 863, 827]",[],
878,детей,ребёнок,NOUN,conj,"[871, 863, 827]","[876, 911]",Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur
883,",",",",PUNCT,punct,"[911, 878, 871, 863, 827]",[],
885,которые,которые,PRON,nsubj,"[911, 878, 871, 863, 827]",[],Case=Nom|Number=Plur
893,со,со,ADP,case,"[896, 911, 878, 871, 863, 827]",[],
896,временем,время,NOUN,obl,"[911, 878, 871, 863, 827]",[893],Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
905,будут,будут,AUX,cop,"[911, 878, 871, 863, 827]",[],Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
911,похожи,похожий,ADJ,acl:relcl,"[878, 871, 863, 827]","[883, 885, 896, 905, 922, 956]",Degree=Pos|Number=Plur|StyleVariant=Short
918,все,все,PART,advmod,"[922, 911, 878, 871, 863, 827]",[],
922,больше,больше,ADV,advmod,"[911, 878, 871, 863, 827]","[918, 939]",Degree=Cmp
929,на,на,ADP,case,"[939, 922, 911, 878, 871, 863, 827]",[],
932,своего,свой,DET,det,"[939, 922, 911, 878, 871, 863, 827]",[],Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
939,отца,отец,NOUN,obl,"[922, 911, 878, 871, 863, 827]","[929, 932]",Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing
944,и,и,CCONJ,cc,"[956, 911, 878, 871, 863, 827]",[948],
946,с,с,ADP,case,"[948, 944, 956, 911, 878, 871, 863, 827]",[],
948,матерью,мать,NOUN,obl,"[944, 956, 911, 878, 871, 863, 827]",[946],Animacy=Anim|Case=Ins|Gender=Fem|Number=Sing
