,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[8, 15]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,",",",",PUNCT,punct,"[8, 0]",[],
8,дорогая,дорогой,ADJ,parataxis,[0],[6],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
15,!,!,PUNCT,punct,[0],[],
17,Моя,мой,DET,det,"[21, 35]",[],Case=Nom|Gender=Fem|Number=Sing
21,жизнь,жизнь,NOUN,nsubj,[35],[17],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
27,в,в,ADP,case,"[29, 35]",[],
29,корне,корн,NOUN,obl,[35],[27],Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
35,изменилась,измениться,VERB,ROOT,[],"[21, 29, 49, 83, 105, 125]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
45,",",",",PUNCT,punct,"[49, 35]",[],
47,я,я,PRON,nsubj,"[49, 35]",[],Case=Nom|Number=Sing|Person=First
49,переехала,переехать,VERB,conj,[35],"[45, 47, 61, 76]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
59,с,с,ADP,case,"[61, 49, 35]",[],
61,мужем,муж,NOUN,obl,"[49, 35]",[59],Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
67,в,в,ADP,case,"[76, 49, 35]",[],
69,другой,другой,ADJ,amod,"[76, 49, 35]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
76,город,город,NOUN,obl,"[49, 35]","[67, 69]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
81,",",",",PUNCT,punct,"[83, 35]",[],
83,поступила,поступить,VERB,conj,[35],"[81, 95]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
93,в,в,ADP,case,"[95, 83, 35]",[],
95,институт,институт,NOUN,obl,"[83, 35]",[93],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
103,",",",",PUNCT,punct,"[105, 35]",[],
105,устроилась,устроиться,VERB,conj,[35],"[103, 119]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
116,на,на,ADP,case,"[119, 105, 35]",[],
