,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,parataxis,[30],[6],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,",",",",PUNCT,punct,"[0, 30]",[],
8,моя,мой,DET,det,[30],[],Case=Nom|Gender=Fem|Number=Sing
12,любимая,любимый,ADJ,amod,[30],[22],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
20,и,и,CCONJ,cc,"[22, 12, 30]",[],
22,дорогая,дорогой,ADJ,conj,"[12, 30]",[20],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
30,подруга,подруга,NOUN,ROOT,[],"[0, 8, 12, 37, 38, 39]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
37,!,!,PUNCT,punct,[30],[],
38,!,!,PUNCT,punct,[30],[],
39,!,!,PUNCT,punct,[30],[],
41,Как,как,SCONJ,advmod,[47],[],
45,у,у,ADP,case,[47],[],
47,тебя,ты,PRON,ROOT,[],"[41, 45, 52, 56]",Case=Gen|Number=Sing|Person=Second
52,дела,дело,NOUN,nsubj,[47],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
56,?,?,PUNCT,punct,[47],[],
58,Как,как,SCONJ,mark,[62],[],
62,семья,семья,NOUN,ROOT,[],"[58, 67]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
67,?,?,PUNCT,punct,[62],[],
69,Как,как,SCONJ,mark,[73],[],
73,родные,родные,NOUN,ROOT,[],"[69, 79]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
79,?,?,PUNCT,punct,[73],[],
81,Давно,давно,ADV,advmod,[98],[],Degree=Pos
87,с,с,ADP,case,"[89, 98]",[],
89,тобой,ты,PRON,obl,[98],[87],Case=Ins|Number=Sing|Person=Second
95,не,не,PART,advmod,[98],[],Polarity=Neg
98,виделись,видеться,VERB,ROOT,[],"[81, 89, 95, 114, 136, 146]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
106,",",",",PUNCT,punct,"[114, 98]",[],
108,скоро,скоро,ADV,advmod,"[114, 98]",[],Degree=Pos
114,приеду,приехать,VERB,conj,[98],"[106, 108, 123]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
121,к,к,ADP,case,"[123, 114, 98]",[],
123,тебе,ты,PRON,obl,"[114, 98]",[121],Case=Dat|Number=Sing|Person=Second
128,в,в,ADP,case,"[130, 136, 98]",[],
130,гости,гость,NOUN,obl,"[136, 98]",[128],Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
136,жди,ждать,VERB,conj,[98],"[130, 140, 144, 145]",Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
140,меня,я,PRON,obj,"[136, 98]",[],Case=Acc|Number=Sing|Person=First
144,!,!,PUNCT,punct,"[136, 98]",[],
145,!,!,PUNCT,punct,"[136, 98]",[],
146,!,!,PUNCT,punct,[98],[],
148,У,у,ADP,case,"[150, 170]",[],
150,меня,я,PRON,obl,[170],[148],Case=Gen|Number=Sing|Person=First
155,все,все,PRON,nsubj,[170],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
159,по,по,ADV,advmod,[170],[],Degree=Pos
161,-,-,ADV,advmod,[170],[],Degree=Pos
162,старому,старому,ADV,advmod,[170],[],Degree=Pos
170,учусь,учиться,VERB,ROOT,[],"[150, 155, 159, 161, 162, 177, 198, 243, 252]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Mid
175,",",",",PUNCT,punct,"[177, 170]",[],
177,работаю,работать,VERB,conj,[170],[175],Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
184,",",",",PUNCT,punct,"[198, 170]",[],
186,в,в,ADP,case,"[193, 198, 170]",[],
188,этом,этот,DET,det,"[193, 198, 170]",[],Case=Loc|Gender=Masc|Number=Sing
193,году,год,NOUN,obl,"[198, 170]","[186, 188]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
198,пишу,писать,VERB,conj,[170],"[184, 193, 203, 212]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
203,диплом,диплом,NOUN,obj,"[198, 170]",[],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
210,и,и,CCONJ,cc,"[212, 198, 170]",[],
212,заканчиваю,заканчивать,VERB,conj,"[198, 170]","[210, 223]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
223,учебу,учёба,NOUN,obj,"[212, 198, 170]",[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
228,",",",",PUNCT,punct,"[243, 170]",[],
230,очень,очень,ADV,advmod,"[243, 170]",[],Degree=Pos
236,за,за,ADP,case,"[239, 243, 170]",[],
239,это,это,PRON,obl,"[243, 170]",[236],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
243,переживаю,переживать,VERB,conj,[170],"[228, 230, 239]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
252,!,!,PUNCT,punct,[170],[],
254,На,на,ADP,case,"[257, 268]",[],
257,работе,работа,NOUN,obl,[268],[254],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
264,все,все,PRON,nsubj,[268],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
268,нормально,нормальный,ADJ,ROOT,[],"[257, 264, 283, 311, 341, 357, 383]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
277,",",",",PUNCT,punct,"[283, 268]",[],
279,дни,день,NOUN,nsubj,"[283, 268]",[],Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
283,бывают,бывать,VERB,conj,[268],"[277, 279, 290]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
290,тяжелые,тяжёлый,ADJ,nsubj,"[283, 268]",[],Case=Nom|Degree=Pos|Number=Plur
297,",",",",PUNCT,punct,"[311, 268]",[],
299,мероприятия,мероприятие,NOUN,nsubj,"[311, 268]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
311,идут,идти,VERB,conj,[268],"[297, 299, 329]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
316,почти,почти,ADV,advmod,"[322, 329, 311, 268]",[],Degree=Pos
322,каждый,каждый,DET,det,"[329, 311, 268]",[316],Case=Acc|Gender=Masc|Number=Sing
329,день,день,NOUN,obl,"[311, 268]",[322],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
333,",",",",PUNCT,punct,"[341, 268]",[],
335,домой,домой,ADV,advmod,"[341, 268]",[],Degree=Pos
341,прихожу,приходить,VERB,conj,[268],"[333, 335, 349]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
349,поздно,поздно,ADV,advmod,"[341, 268]",[],Degree=Pos
355,",",",",PUNCT,punct,"[357, 268]",[],
357,устаю,уставать,VERB,conj,[268],[355],Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
362,",",",",PUNCT,punct,"[383, 268]",[],
364,в,в,ADP,case,"[373, 383, 268]",[],
366,личной,личный,ADJ,amod,"[373, 383, 268]",[],Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
373,жизни,жизнь,NOUN,obl,"[383, 268]","[364, 366]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
379,все,все,PRON,nsubj,"[383, 268]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
383,супер,супер,ADJ,conj,[268],"[362, 373, 379, 388, 389]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
388,!,!,PUNCT,punct,"[383, 268]",[],
389,!,!,PUNCT,punct,"[383, 268]",[],
390,!,!,PUNCT,ROOT,[],[],
392,У,у,ADP,case,[394],[],
394,вас,вы,PRON,ROOT,[],"[392, 398, 405]",Case=Gen|Number=Plur|Person=Second
398,там,там,ADV,advmod,[394],[402],Degree=Pos
402,как,как,SCONJ,fixed,"[398, 394]",[],
405,?,?,PUNCT,punct,[394],[],
407,Кажется,казаться,VERB,nsubj,[427],[],Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
415,все,весь,DET,det,"[419, 427]",[],Case=Nom|Gender=Neut|Number=Sing
419,главное,главный,ADJ,amod,[427],[415],Case=Nom|Degree=Pos|Gender=Neut|Number=Sing
427,рассказала,рассказать,VERB,ROOT,[],"[407, 419, 445, 465, 485]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
437,",",",",PUNCT,punct,"[445, 427]",[],
439,скоро,скоро,ADV,advmod,"[445, 427]",[],Degree=Pos
445,приеду,приехать,VERB,conj,[427],"[437, 439]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
451,",",",",PUNCT,punct,"[465, 427]",[],
453,при,при,ADP,case,"[457, 465, 427]",[],
457,встречи,встречи,NOUN,obl,"[465, 427]",[453],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
465,расскажу,рассказать,VERB,conj,[427],"[451, 457, 474]",Aspect=Perf|Mood=Ind|Number=Sing|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
474,подробнее,подробнее,ADV,advmod,"[465, 427]","[483, 484]",Degree=Cmp
483,!,!,PUNCT,punct,"[474, 465, 427]",[],
484,!,!,PUNCT,punct,"[474, 465, 427]",[],
485,!,!,PUNCT,punct,[427],[],
487,Целую,целовать,VERB,amod,[493],[],Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
493,тебя,ты,PRON,ROOT,[],"[487, 497, 498, 499]",Case=Acc|Number=Sing|Person=Second
497,!,!,PUNCT,punct,[493],[],
498,!,!,PUNCT,punct,[493],[],
499,!,!,PUNCT,punct,[493],[],
501,Твоя,твой,DET,det,[506],[],Case=Nom|Gender=Fem|Number=Sing
506,подруга,подруга,NOUN,ROOT,[],"[501, 513]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
513,...,...,PUNCT,punct,[506],[],
