,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[6, 7]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,☺,☺,PUNCT,punct,[0],[],
7,.,.,PUNCT,punct,[0],[],
9,Как,как,SCONJ,mark,[13],[],
13,дела,дело,NOUN,ROOT,[],"[9, 17]",Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
17,?,?,PUNCT,punct,[13],[],
19,У,у,ADP,case,"[21, 30]",[],
21,меня,я,PRON,obl,[30],[19],Case=Gen|Number=Sing|Person=First
26,все,все,PRON,nsubj,[30],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
30,неплохо,неплохой,ADJ,ROOT,[],"[21, 26, 37]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
37,.,.,PUNCT,punct,[30],[],
39,У,у,ADP,case,[41],[],
41,меня,я,PRON,ROOT,[],"[39, 46, 54, 82, 102, 115]",Case=Gen|Number=Sing|Person=First
46,сегодня,сегодня,ADV,advmod,[41],[],Degree=Pos
54,тренировка,тренировка,NOUN,nsubj,[41],[],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
64,",",",",PUNCT,punct,"[82, 41]",[],
66,но,но,CCONJ,cc,"[82, 41]",[],
69,я,я,PRON,nsubj,"[82, 41]",[],Case=Nom|Number=Sing|Person=First
71,себя,себя,PRON,obj,"[82, 41]",[],Case=Acc
76,плохо,плохо,ADV,advmod,"[82, 41]",[],Degree=Pos
82,чувствую,чувствовать,VERB,conj,[41],"[64, 66, 69, 71, 76]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
90,",",",",PUNCT,punct,"[102, 41]",[],
92,поэтому,поэтому,ADV,advmod,"[102, 41]",[],Degree=Pos
100,я,я,PRON,nsubj,"[102, 41]",[],Case=Nom|Number=Sing|Person=First
102,могу,мочь,VERB,conj,[41],"[90, 92, 100, 110]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
107,не,не,PART,advmod,"[110, 102, 41]",[],Polarity=Neg
110,пойти,пойти,VERB,xcomp,"[102, 41]",[107],Aspect=Perf|VerbForm=Inf|Voice=Act
115,.,.,PUNCT,punct,[41],[],
117,Сегодня,сегодня,ADV,advmod,[125],[],Degree=Pos
125,был,быть,VERB,ROOT,[],"[117, 138, 142]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
129,неплохой,неплохой,ADJ,amod,"[138, 125]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
138,день,день,NOUN,nsubj,[125],[129],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
142,.,.,PUNCT,punct,[125],[],
144,У,у,ADP,case,"[146, 150]",[],
146,нас,мы,PRON,obl,[150],[144],Case=Gen|Number=Plur|Person=First
150,было,быть,VERB,ROOT,[],"[146, 163, 197, 211]",Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
155,всего,всего,PART,advmod,"[161, 163, 150]",[],
161,2,2,NUM,nummod:gov,"[163, 150]",[155],
163,пары,пара,NOUN,nsubj,[150],[161],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
168,и,и,CCONJ,cc,"[197, 150]",[],
170,при,при,ADP,case,"[174, 197, 150]",[],
174,этом,это,PRON,obl,"[197, 150]",[170],Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing
179,на,на,ADP,case,"[189, 197, 150]",[],
182,первой,первый,ADJ,amod,"[189, 197, 150]",[],Case=Loc|Degree=Pos|Gender=Fem|Number=Sing
189,паре,пара,NOUN,obl,"[197, 150]","[179, 182]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
194,мы,мы,PRON,nsubj,"[197, 150]",[],Case=Nom|Number=Plur|Person=First
197,проходили,проходить,VERB,conj,[150],"[168, 174, 189, 194, 207]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act
207,тест,тест,NOUN,obj,"[197, 150]",[],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
211,.,.,PUNCT,punct,[150],[],
213,Слушай,слушать,VERB,ROOT,[],[219],Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
219,.,.,PUNCT,punct,[213],[],
221,Я,я,PRON,nsubj,[237],[],Case=Nom|Number=Sing|Person=First
223,тут,тут,ADV,advmod,[237],[],Degree=Pos
227,2,2,NUM,nummod:gov,"[229, 237]",[],
229,картины,картина,NOUN,obj,[237],[227],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
237,купил,купить,VERB,ROOT,[],"[221, 223, 229, 253, 296, 317, 332]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
243,от,от,ADP,case,"[253, 237]",[],
246,нового,новый,ADJ,amod,"[253, 237]",[],Case=Gen|Degree=Pos|Gender=Masc|Number=Sing
253,производителя,производитель,NOUN,obl,[237],"[243, 246]",Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
267,и,и,CCONJ,cc,"[296, 237]",[],
269,за,за,ADP,case,"[272, 296, 237]",[],
272,месяц,месяц,NOUN,obl,"[296, 237]",[269],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
278,результаты,результат,NOUN,nsubj,"[296, 237]",[],Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
289,просто,просто,PART,advmod,"[296, 237]",[],
296,потрясающие,потрясающие,ADJ,conj,[237],"[267, 272, 278, 289]",Case=Nom|Degree=Pos|Number=Plur
307,",",",",PUNCT,punct,"[317, 237]",[],
309,я,я,PRON,nsubj,"[317, 237]",[],Case=Nom|Number=Sing|Person=First
311,позже,позже,ADV,advmod,"[317, 237]",[],Degree=Cmp
317,пришлю,пришлю,VERB,conj,[237],"[307, 309, 311, 324]",Aspect=Perf|Mood=Imp|Number=Plur|Person=Second|VerbForm=Fin|Voice=Act
324,название,название,NOUN,obj,"[317, 237]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
332,.,.,PUNCT,punct,[237],[],
334,Мы,мы,PRON,nsubj,[348],[],Case=Nom|Number=Plur|Person=First
337,в,в,ADP,case,"[339, 348]",[],
339,выходные,выходной,NOUN,obl,[348],[337],Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur
348,пойдем,пойти,VERB,ROOT,[],"[334, 339, 357, 361]",Aspect=Perf|Mood=Ind|Number=Plur|Person=First|Tense=Fut|VerbForm=Fin|Voice=Act
355,в,в,ADP,case,"[357, 348]",[],
357,кино,кино,NOUN,obl,[348],[355],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
361,?,?,PUNCT,punct,[348],[],
363,Или,или,CCONJ,cc,[369],[],
367,у,у,ADP,case,[369],[],
369,тебя,ты,PRON,ROOT,[],"[363, 367, 381, 386]",Case=Gen|Number=Sing|Person=Second
374,другие,другие,ADJ,amod,"[381, 369]",[],Case=Nom|Degree=Pos|Number=Plur
381,планы,план,NOUN,nsubj,[369],[374],Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
386,?,?,PUNCT,punct,[369],[],
388,Ладно,ладно,PART,advmod,[394],[],
394,давай,давать,VERB,ROOT,[],"[388, 400, 423]",Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
400,встретимся,встретиться,VERB,xcomp,[394],[420],Aspect=Perf|Mood=Ind|Number=Plur|Person=First|Tense=Fut|VerbForm=Fin|Voice=Mid
411,в,в,ADP,case,"[420, 400, 394]",[],
413,другой,другой,ADJ,amod,"[420, 400, 394]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
420,раз,раз,NOUN,obl,"[400, 394]","[411, 413]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
423,.,.,PUNCT,punct,[394],[],
