	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9																					262	0.24934920437890967	0.005610987960297671	122	0.6845405311563159						178	0.17089231058720233	0.04667998435237123	136.0	6.348477871922487	85	-0.30500210774445285	0.011436992073965254	68.0	0.7777154610296373	255	-0.2886816812384578	0.014625445072671614	71.0	1.0384066001596846																278	0.3003314192840846	0.03807391819105366	48.0	1.8275480731705755	55	0.3862250726215378	0.026412645023270342	33.0	0.8716172857679213	244	-0.40462745765538416	0.021614352589501378	32.0	0.6916592828640441	209	0.1946473579665282	0.04661950490033403	105.0	4.895048014535073					
10																					47	-0.24747115317832014	0.005993231192304155	122	0.7311742054611069						292	-0.16923911298995076	0.04887676993117035	136.0	6.647240710639167	209	-0.29459398897247424	0.0147431165740709	68.0	1.0025319270368211	191	0.2874892388171916	0.0150576779994171	71.0	1.069095137958614																92	0.29492533075916805	0.041855740513065856	48.0	2.0090755446271613	132	0.38604323759977455	0.026489742188166913	33.0	0.8741614922095081	137	-0.40177573654489046	0.022645396872314212	32.0	0.7246526999140548	11	-0.19218134963723302	0.04952446501153383	105.0	5.200068826211052					
11																					199	0.24735604542749037	0.006017395495926507	122	0.7341222505030339											27	0.2919483205292704	0.015704291435772785	68.0	1.0678918176325494	287	-0.27661337576495393	0.01953413098150983	71.0	1.3869232996871979																140	0.29035043029366736	0.045291358623787886	48.0	2.1739852139418185	10	-0.3800662062201544	0.02912869624732643	33.0	0.9612469761617721	188	-0.3889617026317518	0.027791265003327136	32.0	0.8893204801064684										
12																					188	-0.24624754295600762	0.006254574278610241	122	0.7630580619904495											222	0.2881580243588783	0.017174894129535483	68.0	1.1678928008084128	63	0.27252094342564515	0.02149083405394226	71.0	1.5258492178299006																288	-0.2900826032489475	0.04549940500816712	48.0	2.1839714403920216	252	0.37579784037582975	0.031141825028031325	33.0	1.0276802259250337	68	-0.3852320501462333	0.02945682815164465	32.0	0.9426185008526288										
13																					1	0.24361079673837466	0.006852439345005774	122	0.8359976000907045											126	0.28781857418483103	0.01731217603196443	68.0	1.1772279701735813	207	-0.27250756396026365	0.021497495204103663	71.0	1.52632215949136																62	0.2857486044219076	0.04897563486484638	48.0	2.350830473512626	109	0.3700196532360195	0.03404637703311286	33.0	1.1235304420927243	81	0.37962434830437153	0.03211358729549078	32.0	1.0276347934557049										
14																					235	-0.24232276287776333	0.007162516609818666	122	0.8738270263978772											237	0.2837190114199832	0.019045799250244466	68.0	1.2951143490166237	198	-0.2714172246006339	0.02204627759598481	71.0	1.5652857093149215																					191	0.3698772528734205	0.03412064383956866	33.0	1.1259812467057657	23	-0.3782109724868761	0.03281305724559971	32.0	1.0500178318591906										
15																					269	0.23899091420336807	0.008023037189146022	122	0.9788105370758147											256	-0.28349521566700525	0.019144560668390934	68.0	1.3018301254505835	290	0.26921124554371595	0.023193095754768994	71.0	1.6467097985885986																					296	-0.3651015987586188	0.03668853800604207	33.0	1.2107217541993882	149	0.3764603252675355	0.03369654380372698	32.0	1.0782894017192635										
16																					209	0.2389501475549794	0.008034108920701692	122	0.9801612883256065											42	-0.27319087561736366	0.024190597725240383	68.0	1.6449606453163461	293	-0.2691414667492376	0.023230182818866216	71.0	1.6493429801395014																					127	-0.3630316012428156	0.03784913546751757	33.0	1.24902147042808	24	0.36722767980708876	0.03868055123560742	32.0	1.2377776395394375										
17																					265	0.23792309702934383	0.008317536725787583	122	1.0147394805460852											49	-0.27285066152808773	0.024374785026657814	68.0	1.6574853818127313	136	-0.2663195886078437	0.02477277129461377	71.0	1.7588667619175777																					245	0.36270081522748016	0.038037319381880444	33.0	1.2552315396020546	215	-0.36704471294612206	0.03878501442467957	32.0	1.2411204615897462										
18																					43	0.23770895296468966	0.008377733264197667	122	1.0220834582321154											150	-0.26925284989402704	0.026396344629871307	68.0	1.7949514348312487	192	0.26110576898927945	0.02785162138522182	71.0	1.9774651183507492																					273	-0.36091983473514955	0.03906355461772129	33.0	1.2890973023848027	107	-0.3527010115882103	0.0477096480648833	32.0	1.5267087380762656										
