	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
45																					272	0.2238114163458111	0.01320654891624436	122	1.611198967781812																																																												
46																					91	-0.22363458178431395	0.013281105171422253	122	1.6202948309135148																																																												
47																					253	-0.2228932788145829	0.013597662877625283	122	1.6589148710702846																																																												
48																					200	0.2228666718538607	0.013609146139305946	122	1.6603158289953255																																																												
49																					289	-0.22277017529740753	0.013650863956747647	122	1.665405402723213																																																												
50																					138	0.22266169632066873	0.013697895201721946	122	1.6711432146100775																																																												
51																					49	0.2225768109004317	0.013734795913142434	122	1.675645101403377																																																												
52																					51	0.222020469321343	0.013978797112290343	122	1.705413247699422																																																												
53																					163	-0.22196300936615876	0.014004211956695361	122	1.708513858716834																																																												
54																					284	-0.2219029517235439	0.01403081880690896	122	1.7117598944428931																																																												
55																					146	-0.22172609313024977	0.01410942708885887	122	1.7213501048407822																																																												
56																					6	-0.22169366296590398	0.014123882874469676	122	1.7231137106853005																																																												
57																					38	0.22161255803934396	0.014160092003794979	122	1.7275312244629875																																																												
58																					260	-0.22154447866071472	0.014190548315832663	122	1.7312468945315849																																																												
59																					129	-0.2215053340350005	0.014208086069302982	122	1.7333865004549638																																																												
60																					101	0.22144161655885877	0.014236673447620257	122	1.7368741606096714																																																												
61																					186	-0.22086050723546946	0.014499713760799114	122	1.768965078817492																																																												
62																					136	0.21964622245037815	0.015063053772850263	122	1.837692560287732																																																												
63																					176	-0.21896093851225862	0.015389303196089044	122	1.8774949899228635																																																												
64																					65	-0.2186930273944505	0.015518510115150033	122	1.893258234048304																																																												
65																					297	0.21788189834637325	0.015915461423985422	122	1.9416862937262214																																																												
66																					295	-0.21717048118330243	0.01627084297114048	122	1.9850428424791386																																																												
67																					68	-0.21714338580768072	0.016284513238923198	122	1.98671061514863																																																												
68																					228	-0.21709108632678792	0.016310927765970932	122	1.9899331874484536																																																												
69																					174	-0.21688820975041226	0.016413745289825706	122	2.002476925358736																																																												
70																					102	-0.21675354723544	0.01648230205519692	122	2.0108408507340245																																																												
71																					189	-0.21622771752166908	0.016752385972588123	122	2.043791088655751																																																												
72																					105	-0.2157803336355274	0.016985189859634403	122	2.072193162875397																																																												
73																					208	0.21546041461188822	0.01715337950687531	122	2.0927122998387877																																																												
74																					225	-0.2147346847822996	0.01754027111757239	122	2.1399130763438317																																																												
75																					226	0.21469218999812767	0.017563157632851233	122	2.1427052312078505																																																												
76																					121	-0.21450545430046145	0.017664034933081905	122	2.1550122618359926																																																												
77																					185	-0.21426039390747587	0.017797180610903136	122	2.171256034530183																																																												
78																					214	0.21418765104626783	0.017836869860008105	122	2.1760981229209886																																																												
79																					119	0.21401977584667148	0.017928756668833663	122	2.1873083135977067																																																												
80																					216	-0.21379298318962256	0.018053542104243904	122	2.2025321367177564																																																												
81																					164	-0.21329351512834438	0.018331009699963652	122	2.2363831833955654																																																												
82																					7	0.21295438687872087	0.01852149863726476	122	2.2596228337463007																																																												
83																					75	-0.2124500052546514	0.01880797366408436	122	2.294572787018292																																																												
84																					231	-0.21178642855681998	0.019190690567664894	122	2.3412642492551172																																																												
85																					274	0.21174581344699164	0.019214332004487574	122	2.344148504547484																																																												
86																					9	-0.2110448939310654	0.019626304099207473	122	2.394409100103312																																																												
87																					86	-0.21063051148898787	0.019873426726610775	122	2.4245580606465147																																																												
88																					300	0.2104388660797085	0.019988621258880387	122	2.4386117935834073																																																												
89																					48	0.20977451070954725	0.02039241950797667	122	2.4878751799731535																																																												
90																					254	0.20930934285630068	0.020679315130602623	122	2.52287644593352																																																												
91																					169	-0.20924877184043714	0.02071692721691889	122	2.5274651204641043																																																												
92																					299	-0.20905095567499382	0.02084017333473429	122	2.542501146837583																																																												
93																					94	0.2088013510774917	0.02099658540950092	122	2.5615834199591125																																																												
94																					110	-0.20831315641176845	0.021305428884045526	122	2.599262323853554																																																												
95																					60	-0.20654959526360736	0.02245386363167359	122	2.739371363064178																																																												
96																					46	0.20602773328212004	0.022803728265978755	122	2.782054848449408																																																												
97																					81	0.20590155171775237	0.022889021099275528	122	2.7924605741116144																																																												
98																					148	0.20586251467053532	0.02291546367961964	122	2.795686568913596																																																												
99																					153	0.20542255512236343	0.02321529600912454	122	2.832266113113194																																																												
100																					247	0.20455010075968985	0.023819831574970102	122	2.9060194521463525																																																												
101																					50	0.20313664903076792	0.02482784508713702	122	3.0289971006307166																																																												
102																					204	-0.20289679413438594	0.02500247013921792	122	3.0503013569845865																																																												
103																					207	0.20270069252320022	0.0251460200396518	122	3.0678144448375195																																																												
104																					275	-0.2025908151803645	0.025226759743337168	122	3.0776646886871344																																																												
105																					233	-0.20241426944099894	0.025356952478016448	122	3.0935482023180065																																																												
106																					19	-0.20204352347682591	0.02563222693806181	122	3.127131686443541																																																												
107																					88	-0.201737801521497	0.025861138215776566	122	3.155058862324741																																																												
108																					179	0.20164317681781577	0.025932341862446542	122	3.163745707218478																																																												
109																					197	0.2014000957219817	0.026116024355845303	122	3.186154971413127																																																												
110																					35	0.20136388314746043	0.02614348294006425	122	3.1895049186878386																																																												
111																					63	-0.2012659830939347	0.02621784011719898	122	3.1985764942982753																																																												
112																					238	-0.20121195161244823	0.02625895541479746	122	3.20359256060529																																																												
113																					140	-0.20082812810260922	0.02655261288438381	122	3.2394187718948246																																																												
114																					223	0.20067535471260373	0.02667027437306158	122	3.2537734735135126																																																												
115																					143	0.20041365879294992	0.02687285795861341	122	3.278488670950836																																																												
116																					175	-0.20003292801502226	0.02716993047647499	122	3.314731518129949																																																												
117																					115	-0.19768223798887968	0.029066765678739892	122	3.5461454128062666																																																												
118																					293	0.19702731586563837	0.02961486746605552	122	3.6130138308587734																																																												
119																					44	-0.19602046416644128	0.030474604968304852	122	3.717901806133192																																																												
120																					18	-0.19601044978457016	0.030483261323617623	122	3.71895788148135																																																												
121																					114	0.19578900708617658	0.030675208294175596	122	3.7423754118894226																																																												
122																					236	0.19564426819934094	0.030801221302214778	122	3.757748998870203																																																												
123																					239	0.1954984986760057	0.030928574889999182	122	3.7732861365799004																																																												
124																					108	0.19515601635455515	0.031229546612802826	122	3.810004686761945																																																												
125																					162	-0.1941387774532016	0.032138161261810405	122	3.9208556739408693																																																												
126																					89	0.1934394484568594	0.03277570700858511	122	3.998636255047384																																																												
127																					16	0.19339987658570065	0.032812100261192814	122	4.003076231865523																																																												
128																					171	0.19334949930116963	0.03285848040692134	122	4.008734609644403																																																												
129																					85	0.19290675713657887	0.033268482688774074	122	4.058754888030437																																																												
130																					296	-0.19208081868116203	0.03404490263701352	122	4.15347812171565																																																												
131																					130	-0.1911183393547741	0.03496891930130637	122	4.2662081547593775																																																												
132																					196	-0.191059315878477	0.03502626552529216	122	4.273204394085643																																																												
133																					141	0.19104939060474063	0.0350359165375469	122	4.274381817580722																																																												
134																					192	0.19037992880682697	0.035692074099173944	122	4.354433040099221																																																												
135																					212	0.19015048365417003	0.03591932783218754	122	4.38215799552688																																																												
136																					203	-0.18897694809836707	0.03710079279970965	122	4.526296721564577																																																												
137																					157	0.18863943146302642	0.03744657873375485	122	4.568482605518092																																																												
138																					116	-0.18826955162684578	0.037828626983749704	122	4.615092492017464																																																												
139																					111	-0.18824114560537256	0.037858102398957136	122	4.618688492672771																																																												
140																					95	-0.18817164224460717	0.03793030368417184	122	4.627497049468965																																																												
141																					290	0.18696856231612843	0.03919852413213295	122	4.78221994412022																																																												
142																					13	-0.18686592441330602	0.0393083462914901	122	4.795618247561792																																																												
143																					144	0.18598770270303958	0.04025862878409582	122	4.91155271165969																																																												
144																					271	0.18454179779394744	0.041865054784786304	122	5.107536683743929																																																												
145																					281	-0.18423115954317223	0.04221708108049362	122	5.150483891820222																																																												
146																					41	-0.18381399090323225	0.04269371858278027	122	5.208633667099193																																																												
147																					278	0.18359940400727742	0.04294064034756625	122	5.238758122403082																																																												
148																					84	0.1833844484311621	0.04318918025808952	122	5.2690799914869215																																																												
149																					215	0.1817403392550135	0.04513013967491781	122	5.505877040339973																																																												
150																					173	-0.18015827969188092	0.04706587118622159	122	5.742036284719034																																																												
151																					193	0.17828905654114924	0.04944133669425304	122	6.031843076698871																																																												
