,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Здравствуй,здравствовать,VERB,ROOT,[],"[11, 19]",Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
11,Марианна,марианна,PROPN,nsubj,[0],[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
19,.,.,PUNCT,punct,[0],[],
21,Прошло,пройти,VERB,ROOT,[],"[30, 36, 80, 103]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
28,5,5,NUM,nummod,"[30, 21]",[],
30,лет,год,NOUN,nsubj,[21],[28],Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
34,с,с,ADP,case,"[36, 21]",[],
36,момента,момент,NOUN,obl,[21],"[34, 60]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
44,нашей,наш,DET,det,"[60, 36, 21]",[],Case=Gen|Gender=Fem|Number=Sing
50,последней,последний,ADJ,amod,"[60, 36, 21]",[],Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
60,встречи,встреча,NOUN,nmod,"[36, 21]","[44, 50]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
67,",",",",PUNCT,punct,"[80, 21]",[],
69,много,много,ADV,nsubj,"[80, 21]",[75],Degree=Pos
75,чего,что,PRON,obl,"[69, 80, 21]",[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
80,изменилось,измениться,VERB,parataxis,[21],"[67, 69, 98]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
91,за,за,ADP,case,"[98, 80, 21]",[],
94,это,этот,DET,det,"[98, 80, 21]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
98,время,время,NOUN,obl,"[80, 21]","[91, 94]",Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
103,.,.,PUNCT,punct,[21],[],
105,Я,я,PRON,nsubj,[107],[],Case=Nom|Number=Sing|Person=First
107,устроилась,устроиться,VERB,ROOT,[],"[105, 121, 163, 177]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
118,на,на,ADP,case,"[121, 107]",[],
121,работу,работа,NOUN,obl,[107],[118],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
127,",",",",PUNCT,punct,"[163, 107]",[],
129,теперь,теперь,ADV,advmod,"[163, 107]",[],Degree=Pos
