,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Наконец,наконец,ADV,advmod,[11],[],Degree=Pos
7,-,-,ADV,advmod,[11],[],Degree=Pos
8,то,то,ADV,advmod,[11],[],Degree=Pos
11,пришло,прийти,VERB,ROOT,[],"[0, 7, 8, 18, 24, 46, 62]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
18,лето,лето,NOUN,nsubj,[11],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
22,",",",",PUNCT,punct,"[24, 11]",[],
24,распустились,распуститься,VERB,conj,[11],"[22, 37]",Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
37,деревья,дерево,NOUN,nsubj,"[24, 11]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
44,",",",",PUNCT,punct,"[46, 11]",[],
46,позеленела,позеленеть,VERB,conj,[11],"[44, 57]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
57,трава,трава,NOUN,nsubj,"[46, 11]",[],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
62,.,.,PUNCT,punct,[11],[],
64,Я,я,PRON,nsubj,[66],[],Case=Nom|Number=Sing|Person=First
66,проснулся,проснуться,VERB,ROOT,[],"[64, 76, 96, 105]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
76,утром,утро,NOUN,obl,[66],[],Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
81,",",",",PUNCT,punct,"[96, 66]",[],
83,родителей,родитель,NOUN,nsubj,"[96, 66]",[],Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
93,не,не,PART,advmod,"[96, 66]",[],Polarity=Neg
96,было,быть,VERB,conj,[66],"[81, 83, 93, 101]",Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
101,дома,дома,ADV,advmod,"[96, 66]",[],Degree=Pos
105,.,.,PUNCT,punct,[66],[],
107,Я,я,PRON,nsubj,[109],[],Case=Nom|Number=Sing|Person=First
109,вспомнил,вспомнить,VERB,ROOT,[],"[107, 132, 187]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
117,",",",",PUNCT,punct,"[132, 109]",[],
