,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
338,я,я,PRON,nsubj,[350],[],Case=Nom|Number=Sing|Person=First
340,вот,вот,PART,advmod,"[344, 350]",[],
344,летом,лето,NOUN,obl,[350],[340],Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
350,собираюсь,собираться,VERB,ROOT,[],"[336, 338, 344, 360, 413]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Mid
360,поехать,поехать,VERB,xcomp,[350],"[371, 377]",Aspect=Perf|VerbForm=Inf|Voice=Act
368,на,на,ADP,case,"[371, 360, 350]",[],
371,Алтай,алтай,PROPN,obl,"[360, 350]",[368],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
377,волонтером,волонтёр,NOUN,obl,"[360, 350]",[406],Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing
388,по,по,ADP,case,"[406, 377, 360, 350]",[],
391,экологическому,экологический,ADJ,amod,"[406, 377, 360, 350]",[],Case=Dat|Degree=Pos|Gender=Masc|Number=Sing
406,проекту,проект,NOUN,nmod,"[377, 360, 350]","[388, 391]",Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing
413,.,.,PUNCT,punct,[350],[],
415,Надеюсь,надеяться,VERB,ROOT,[],"[428, 437]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Mid
422,",",",",PUNCT,punct,"[428, 415]",[],
424,что,что,SCONJ,mark,"[428, 415]",[],
428,получится,получиться,VERB,ccomp,[415],"[422, 424]",Aspect=Perf|Mood=Ind|Number=Sing|Person=Third|Tense=Fut|VerbForm=Fin|Voice=Mid
437,.,.,PUNCT,punct,[415],[],
439,А,а,CCONJ,cc,[460],[],
441,в,в,ADP,case,"[443, 460]",[],
443,дальнейшем,дальнейший,ADJ,obl,[460],[441],Case=Loc|Degree=Pos|Gender=Neut|Number=Sing
454,очень,очень,ADV,advmod,[460],[],Degree=Pos
460,хочу,хотеть,VERB,ROOT,[],"[439, 443, 454, 465, 510]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
