	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
0	если_SCONJ	-0.1419507395835468	0.010283444339569948	7.0	51.33495414313318	всегда_ADV	-0.1352008650355646	0.01456713317375078	5.0	28.72638661863654	взгляд_NOUN	-0.12470291085959978	0.024340136667817622	7.0	35.85302131169536	говорить_VERB	0.13009168219607276	0.018781567035146482	10.0	42.85953597420427	молодость_NOUN	0.12521253993368195	0.02375971829670623	7.0	33.62000138983932	являться_VERB	-0.13850115867306023	0.012308526939144276	5.0	17.8473640617592	он_PRON	-0.14896387644472514	0.007053021739728083	16.0	14.451641544702841	мама_NOUN	-0.13868207438722246	0.012194169611715702	20	28.192920142286702	которая_PRON	0.14850691112804196	0.007231911588458293	5.0	7.92617510095029	-_DET	-0.15373688965160243	0.005407751137852607	10.0	7.143639253103293	картина_NOUN	0.14400992066070883	0.00922059389127451	17.0	21.419439609430686	девушка_NOUN	-0.13265995390947738	0.016546208950168912	6.0	20.368383217657932	на_ADP	0.12279820983696721	0.026618984062808472	24.0	16.982911832071807	не_PART	-0.1433926628133794	0.009528458021916436	20.0	11.910572527395544	женщина_NOUN	0.11488554142697499	0.03815237290412426	5.0	54.29082664256882	-_DET	-0.12317147980699969	0.026158469149729233	6.0	10.960398573736548	с_ADP	0.1361633822229384	0.013873564642227078	6.0	10.696518339157077	что_PRON	0.11478820700536557	0.0383171591386881	8.0	28.048160489519688	не_PART	0.14765971442649875	0.007574319207490002	14.0	5.711036682447461
1	изображение_NOUN	0.12461308382020961	0.024443699052810717	5.0	122.02294567163109	-_PRON	0.13463127514384904	0.014991742598867607	7.0	29.56371640496692	к_ADP	0.12272569924876023	0.026709246612054212	9.0	39.342720259555854	очень_ADV	-0.12164577242594317	0.028085017663336542	16.0	64.09001030773399	в_ADP	-0.11245575555578567	0.04244984759222509	21.0	60.0665343429985	сторона_NOUN	-0.13216270777388156	0.016959890633412186	14.0	24.591841418447668						плечо_NOUN	0.1315909893060024	0.01744666945975127	5	40.336699790944934	то_PRON	-0.1365930774932876	0.013573421838873964	17.0	14.876470335405864											какой_DET	-0.13080151422414316	0.01813887564995082	10.0	22.32895592508946						все_PRON	-0.12234684368266438	0.02718514359718706	18.0	33.98142949648383						какой_DET	-0.12317147980699969	0.026158469149729233	6.0	10.960398573736548											и_CCONJ	-0.11420601217596335	0.03931543364765785	29.0	29.643836970334018
2	так_ADV	0.1205904138526808	0.02948778566250166	19.0	147.2030260272083	его_DET	0.1258669397646035	0.023031975705900508	6.0	45.4190560920358	каждый_DET	0.11844399979411221	0.032526606167140024	9.0	47.911690884197256	а_CCONJ	0.11349855645609082	0.0405579881640004	37.0	92.55332899024891	парень_NOUN	0.11091587178892866	0.045379003281092525	5.0	64.21128964274592	год_NOUN	0.1301083598242907	0.018766242387471373	9.0	27.21105146183349						возможно_ADV	-0.1282800946817711	0.020512410880426987	26	47.42469395554719	с_ADP	-0.1188743511060178	0.031896789069368464	9.0	34.95888082002784											-_PRON	0.12566148826697132	0.023258349879298628	7.0	28.63102870141661																																			
3	дочь_NOUN	0.11592701201540341	0.03642640514970501	7.0	181.8406145073274	казаться_VERB	0.12361542323759714	0.025619700803074946	7.0	50.52204998366379	ребёнок_NOUN	-0.11610944410554622	0.03613099214616676	9.0	53.22095143130364	то_SCONJ	0.11319021402827506	0.041109831386795304	5.0	93.81263522466688						изобразить_VERB	-0.12236692022615746	0.0271597430288704	58.0	39.38162739186208						показывать_VERB	-0.12441716070196232	0.02467089985425772	8	57.03912046304385	старость_NOUN	0.11314570969217456	0.041190001689790236	5.0	45.1442418520101											показать_VERB	0.1177362925409076	0.03358538434552608	6.0	41.343608129342606																																			
4	напоминать_VERB	-0.1158805671337255	0.03650193987974513	10.0	182.21768387968768	что_PRON	0.11989366733477676	0.030446412100078004	14.0	60.04032466135382	уже_ADV	-0.11600946647238204	0.03629263355583209	8.0	53.45904922774067	вдаль_ADV	-0.11214799101443636	0.04302219704175229	7.0	98.17665364927872						один_NUM	-0.11879483958493942	0.03201236381195243	6.0	46.417927527331024						и_PART	-0.11977418948596072	0.030613445225342813	27	70.77828536099258	лицо_NOUN	-0.10962616574730402	0.047961039283963065	5.0	52.56529905522352											смотреть_VERB	-0.10961705116759787	0.04797971539148591	6.0	59.063029646919155																																			
5	с_ADP	-0.11554279792780535	0.037055270273044935	15.0	184.9799092030403	-_NOUN	0.1186344197114613	0.032246631595440875	7.0	63.59035750620941	картина_NOUN	0.111303542064921	0.04462605597502797	11.0	65.7341804512162											что_SCONJ	-0.11169643666312187	0.04387369334709341	47.0	63.616855353285445						если_SCONJ	0.11614675751218674	0.036070821478499236	5	83.39573925829023																																																							
6	у_ADP	-0.11269713519125889	0.04200545167788389	38.0	209.69121477599637	нее_PRON	-0.11750345082218	0.0339400855508644	6.0	66.9298487063046	вместе_ADV	0.10964888416547212	0.047914514878477886	6.0	70.57808041599793											мочь_VERB	0.11122447031474787	0.04477877449335728	18.0	64.92922301536805						мы_PRON	-0.11199102756440515	0.04331659298406166	8	100.14796297915056																																																							
7	нет_VERB	-0.11259075548182992	0.042200818470085735	5.0	210.66648580266798	ли_PART	-0.11665534564879707	0.03525912686956221	6.0	69.53099818677667																										чувство_NOUN	0.11091735418591847	0.04537610394197342	8	104.90955231384254																																																							
8	пожилой_ADJ	0.11095457917690536	0.04530334855463321	12.0	226.15431598472898	мама_NOUN	-0.10888878922108791	0.04949173388939551	19.0	97.59769922988795																										муж_NOUN	-0.11049313722730715	0.04621217224752559	11	106.84254223627917																																																							
