	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	57	0.17817365247728914	0.0052506746089581	244.0	1.2811646045857765	259	-0.17816359950080177	0.01497658484574541	186.0	2.7856447813086462	202	-0.2788400505846051	2.605510347558759e-05	222	0.005784232971580445	236	-0.1573756930646614	0.009730476047646526	269.0	2.6174980568169155	115	-0.2237889508489359	0.009075610689569441	136.0	1.234283053781444	96	-0.16841727534310494	0.029581518616837044	167.0	4.940113609011786	289	0.18504710225627796	0.020741374700764495	156.0	3.235654453319261	64	-0.15438062961209398	0.0013565583920587794	428.0	0.5806069918011576	39	-0.18375840546319738	0.014923106516656723	175.0	2.6115436404149266	179	-0.20755538851784203	0.00303712709478603	202.0	0.613499673146778	266	-0.1598651414273025	0.022040446036742573	206.0	4.54033188356897	186	-0.1548164736234837	0.01407542105791433	252.0	3.547006106594411	96	0.3093118401490932	0.001187559134903848	107.0	0.12706882743471173	98	-0.16608268366401152	0.005765571921968911	276.0	1.5912978504634194	114	-0.21684183845917362	0.0023897980396972145	194.0	0.4636208197012596	223	-0.19436539620155194	0.02388902082841467	136.0	3.248906832664395	61	-0.24105618331656184	0.016235614293040244	99.0	1.6073258150109841
1	14	-0.15034530980365013	0.018784463528433097	244.0	4.583409100937676						226	0.23271707260893362	0.0004866834791321001	222	0.10804373236732623	52	0.14335265004687608	0.018654122975909036	269.0	5.017959080519531	180	0.17490890490239105	0.04245532965488031	136.0	5.773924833063722						63	-0.16898285837604654	0.03496093311610084	156.0	5.453905566111731	33	0.10321048484702552	0.032785979175044125	428.0	14.032399086918886	107	0.16133901418674673	0.03292362603033099	175.0	5.761634555307924	38	0.16336693700344646	0.02017376248614528	202.0	4.0751000222013465	55	-0.15838515942132864	0.023317013627514253	206.0	4.803304807267936	59	-0.14886355309868712	0.018283134375332945	252.0	4.607349862583902	16	0.2660146443906377	0.005615241045460568	107.0	0.6008307918642807	187	-0.16479365473593932	0.006160813176564609	276.0	1.700384436731832	260	-0.16021772152676797	0.025642129634534338	194.0	4.974573149099662	298	0.19246884311646037	0.0253227029017613	136.0	3.443887594639537	298	-0.21963104702960992	0.028940792992823233	99.0	2.8651385062895
2	235	-0.145450061521718	0.02306033341313961	244.0	5.626721352806065						104	-0.22499968428078368	0.0007538739770390648	222	0.1673600229026724	117	0.13973480992768617	0.021882173910990198	269.0	5.886304782056363	53	-0.17292970940155228	0.044886661178561146	136.0	6.104585920284316											18	-0.103058661215994	0.033044892911282576	428.0	14.143214166028942	51	-0.15954265806473186	0.03494858837036524	175.0	6.116002964813918	275	0.1619675543916557	0.021282626065990667	202.0	4.2990904653301145	35	-0.15569053108337166	0.025805316496362064	206.0	5.315895198250585	262	-0.14466261412595985	0.02187571678409336	252.0	5.512680629591527	278	-0.25690133129600784	0.00755842058340649	107.0	0.8087510024244945	218	0.16259946914010268	0.006889674273554455	276.0	1.9015500995010297	81	0.15715843895155757	0.028637926021962506	194.0	5.555757648260726	259	0.17820890515108584	0.03864665057405165	136.0	5.255944478071025	296	-0.20468609247710115	0.042122626914446945	99.0	4.170140064530248
3	132	0.14278491415482006	0.025723639093595662	244.0	6.276567938837341						272	0.22459162311334985	0.0007712104587876194	222	0.1712087218508515	214	0.1384601443042641	0.023129382077260573	269.0	6.221803778783094																					82	-0.15770852410226516	0.03712391248765182	175.0	6.496684685339068	245	-0.1615326323792934	0.021637818167038553	202.0	4.370839269741787	283	0.15097575778418865	0.03070868668742185	206.0	6.325989457608902	204	0.1427247208596761	0.023729059136200957	252.0	5.979722902322641	39	0.25435390593736584	0.008198468960786626	107.0	0.8772361788041689	147	0.16003355832374533	0.007839006599312458	276.0	2.1635658214102382	259	0.1528916963761958	0.03331206523675154	194.0	6.462540655929798	80	-0.17773591339811937	0.03917426174046707	136.0	5.327699596703522					
4	177	-0.13939336386933399	0.029491654430106966	244.0	7.195963680946099						21	-0.22160149755708147	0.0009099019813784357	222	0.20199823986601273	225	0.13708569078382124	0.024542546642703226	269.0	6.601945046887168																					160	-0.1508792122937732	0.04625432361111942	175.0	8.0945066319459	237	0.1569828521758116	0.025671111646723154	202.0	5.185564552638077	265	0.14789823077412403	0.0343206378972695	206.0	7.070051406837518	195	-0.14184529222792427	0.02461382263482943	252.0	6.202683303977016	274	-0.2478493532553642	0.010054361181196316	107.0	1.075816646388006	278	0.15361727847537066	0.010741120370216049	276.0	2.9645492221796292						30	0.17598409169990437	0.041181345493741826	136.0	5.600662987148889					
5	236	-0.13591679329434408	0.033834125556974855	244.0	8.255526635901864						259	0.20703290256163362	0.001975427849115814	222	0.43854498250371077	274	-0.1341451012242081	0.027817562276211884	269.0	7.482924252300997																					28	0.15079278439112379	0.046380919090093564	175.0	8.116660840766373	160	-0.15231348407963208	0.030465180099286927	202.0	6.15396638005596	92	0.14244837846764094	0.04160185603223949	206.0	8.569982342641335	57	0.14012862443715934	0.02642298421093898	252.0	6.658592021156624	149	0.244925887619783	0.011002237526547151	107.0	1.1772394153405452	61	-0.15204767953920836	0.011581818218864899	276.0	3.1965818284067122						204	0.175356122651478	0.04192147576012732	136.0	5.7013207033773154					
6	81	0.13205356085640926	0.03928536685826381	244.0	9.58562951341637						54	0.20432426812434284	0.0022691188218680186	222	0.5037443784547001	202	-0.13162123217408525	0.030920584874902353	269.0	8.317637331348733																										3	-0.14933162435750363	0.033910188190400196	202.0	6.84985801446084	101	0.14009961071729946	0.045118526949975465	206.0	9.294416551694946	74	-0.14002816439954371	0.026532305281501155	252.0	6.686140930938291	296	0.24337752541422727	0.011535277417636039	107.0	1.2342746836870562	205	0.15076086283964063	0.012313833811579937	276.0	3.3986181319960624															
7	141	0.1314220240891259	0.04024346366007863	244.0	9.819405133059186						165	0.20416126530095596	0.0022880000820367846	222	0.5079360182121662	3	0.1302796943329058	0.032687024318442184	269.0	8.792809541660947																										128	0.13881336884984813	0.04881383751191772	202.0	9.86039517740738	49	0.13788474070960033	0.048659335151191724	206.0	10.023823041145494	184	-0.13973003553301647	0.026859019701393386	252.0	6.768472964751133	45	-0.22736073748339775	0.018515396515376512	107.0	1.981147427145287	137	0.14733167609781636	0.01446713858938217	276.0	3.9929302506694793															
8	187	-0.13132564133310637	0.040391402817567194	244.0	9.855502287486395						150	0.20286290328419482	0.0024435737271228048	222	0.5424733674212626	136	-0.12800154662384497	0.035883615665817145	269.0	9.652692614104811																															178	0.1375661538421945	0.04918720620042033	206.0	10.132564477286587	232	-0.13784111170844715	0.02901034883062136	252.0	7.3106079053165836	145	0.226787580031065	0.018821397181541463	107.0	2.0138894984249367	69	0.14536755439244223	0.015843706567535542	276.0	4.37286301263981															
