Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
так_ADV,0.13,0.00289,26,4.25,fpi_lex_повествование.tsv
я_PRON,0.11,0.01026,78,15.11,fpi_lex_повествование.tsv
не_PART,0.11,0.01338,41,19.71,fpi_lex_повествование.tsv
она_PRON,-0.14,0.01426,16,21.0,fpi_lex_описание.tsv
в_ADP,0.1,0.0159,33,23.42,fpi_lex_повествование.tsv
свой_DET,-0.13,0.02045,16,30.12,fpi_lex_описание.tsv
