Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
мы_PRON,0.1,0.01425,23,18.83,fpi_lex_повествование.tsv
ситуация_NOUN,-0.13,0.02009,10,26.54,fpi_lex_описание.tsv
такой_DET,-0.12,0.03454,12,45.63,fpi_lex_описание.tsv
и_CCONJ,0.09,0.04159,40,54.94,fpi_lex_повествование.tsv
