Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
не_PART,0.13,0.00256,62,5.85,fpi_lex_повествование.tsv
мой_DET,0.11,0.00851,17,19.41,fpi_lex_повествование.tsv
от_ADP,-0.14,0.00899,13,20.53,fpi_lex_описание.tsv
у_ADP,0.12,0.02396,15,54.67,fpi_lex_описание.tsv
смотреть_VERB,0.12,0.0278,18,63.44,fpi_lex_описание.tsv
что_SCONJ,0.09,0.03268,39,74.57,fpi_lex_повествование.tsv
о_ADP,-0.12,0.03699,27,84.42,fpi_lex_описание.tsv
бы_AUX,0.09,0.04074,11,92.96,fpi_lex_повествование.tsv
