Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
хотеть_VERB,0.12,0.00587,16,7.76,fpi_lex_повествование.tsv
я_PRON,0.1,0.01433,112,18.95,fpi_lex_повествование.tsv
и_CCONJ,0.09,0.035,79,46.27,fpi_lex_повествование.tsv
