	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9						52	-0.41549641684236677	0.027887957625157656	28.0	0.7808628135044143																															7	0.9701124290739861	0.029887570926013907	4.0	0.11955028370405563	175	-0.6373620040727314	0.01059370815821766	15	0.1589056223732649	241	0.9772830189910888	0.022716981008911175	4.0	0.0908679240356447						215	-0.5034002642624315	0.04682955586787087	16.0	0.7492728938859339	219	0.6436237902398299	0.044643080073226246	10.0	0.4464308007322625	52	0.892833183613025	0.041430195720071554	5.0	0.20715097860035778
10						30	0.41145122818671176	0.02960635258130986	28.0	0.8289778722766761																															204	-0.968737880677671	0.03126211932232903	4.0	0.12504847728931612	86	0.6139421942034433	0.01490568252087964	15	0.2235852378131946	166	-0.971917707905379	0.028082292094620986	4.0	0.11232916837848395											24	-0.6364106073299831	0.047890081334548834	10.0	0.47890081334548834	274	-0.891931548858776	0.0419482634881226	5.0	0.20974131744061297
11						268	-0.3960192713472824	0.03696453486747992	28.0	1.0350069762894378																															27	-0.9684851621145527	0.03151483788544729	4.0	0.12605935154178916	248	0.609958865510644	0.01575711423457615	15	0.23635671351864224	153	-0.9711029542130831	0.028897045786916875	4.0	0.1155881831476675																27	-0.8887390539506824	0.043798975684884896	5.0	0.21899487842442447
12						279	0.3873096079187819	0.04172338716023781	28.0	1.1682548404866586																															186	0.9566564475300096	0.04334355246999044	4.0	0.17337420987996177	280	0.5970468801354686	0.018776939415905396	15	0.28165409123858093	1	-0.9695975483170723	0.030402451682927656	4.0	0.12160980673171062																82	0.8887081417261454	0.04381701940651975	5.0	0.21908509703259874
13						296	0.3822179054892051	0.044723678115292535	28.0	1.252262987228191																															165	-0.9546722760655811	0.04532772393441886	4.0	0.18131089573767545	5	0.5966847508332835	0.01886759221250703	15	0.28301388318760545	51	-0.9686676044758291	0.031332395524170886	4.0	0.12532958209668354																58	0.8882905631585678	0.04406099442670048	5.0	0.2203049721335024
14						48	-0.37616597050202377	0.04850968028363004	28.0	1.358271047941641																															202	0.9522198124564256	0.04778018754357438	4.0	0.19112075017429753	20	-0.5930101966454031	0.019806550888497698	15	0.2970982633274655	57	0.9678502034691095	0.03214979653089045	4.0	0.1285991861235618																197	-0.8857372644868001	0.0455620928761911	5.0	0.22781046438095548
15																																									236	0.9512251173563127	0.048774882643687345	4.0	0.19509953057474938	2	-0.5830923086655374	0.02251981512925659	15	0.33779722693884884	19	0.9659910612013822	0.03400893879861777	4.0	0.1360357551944711																233	0.8816120160231844	0.04802072733028537	5.0	0.24010363665142684
16																																														174	0.57840509502241	0.023896584978595002	15	0.35844877467892505	145	0.9616869708714102	0.038313029128589804	4.0	0.15325211651435922																				
17																																														122	-0.5756218137020087	0.024743859240010803	15	0.371157888600162	185	0.9599227017041871	0.04007729829581286	4.0	0.16030919318325143																				
18																																														137	-0.5733737424992169	0.025444708601563653	15	0.3816706290234548	226	0.9580284127749007	0.041971587225099305	4.0	0.16788634890039722																				
19																																														49	-0.5722755633604483	0.02579249948245517	15	0.38688749223682756	176	0.9574606198601546	0.04253938013984537	4.0	0.1701575205593815																				
20																																														94	-0.5696900118930689	0.02662556986854326	15	0.3993835480281489	12	-0.9511944726745737	0.04880552732542631	4.0	0.19522210930170525																				
21																																														275	0.5679208006607341	0.027207249618936613	15	0.4081087442840492	116	0.9500384769308757	0.04996152306912427	4.0	0.19984609227649708																				
22																																														150	-0.5616637701440739	0.02934184820069195	15	0.4401277230103792																									
23																																														241	0.5522815068325727	0.032776372047622446	15	0.49164558071433667																									
24																																														114	-0.5518192120460063	0.032953069294226464	15	0.49429603941339695																									
25																																														90	0.5481224485154699	0.034391881564715586	15	0.5158782234707338																									
26																																														230	0.5474375057441884	0.03466355509867742	15	0.5199533264801612																									
27																																														103	-0.5452780176687817	0.03553062019059755	15	0.5329593028589632																									
28																																														295	0.5432195813923554	0.03637212554328257	15	0.5455818831492385																									
29																																														169	0.5428263771697577	0.03653455079552591	15	0.5480182619328886																									
30																																														140	0.5390580912985866	0.03811878051469555	15	0.5717817077204332																									
31																																														100	-0.5363653198718102	0.03928185087048429	15	0.5892277630572643																									
32																																														24	-0.5347124349447061	0.04000874092811187	15	0.6001311139216781																									
33																																														290	-0.5322813510782727	0.04109598790839744	15	0.6164398186259616																									
34																																														113	-0.5317964132790242	0.04131546635036955	15	0.6197319952555432																									
35																																														96	-0.5213504308563223	0.04625775296287315	15	0.6938662944430972																									
36																																														161	0.5211339195055003	0.04636460360423196	15	0.6954690540634794																									
37																																														125	-0.5206135154500312	0.04662217419188068	15	0.6993326128782102																									
38																																														286	-0.5143202276825318	0.04982125569303322	15	0.7473188353954984																									
39																																														291	0.5140698402988405	0.04995178898805636	15	0.7492768348208454																									
