	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	136	0.22072349900261282	0.013760986162296622	124.0	1.7063622841247812	213	-0.3086574090229033	0.014653542682852669	62.0	0.9085196463368654	59	-0.3855224525908676	0.0030609078385876345	57.0	0.17447174679949518	54	-0.2097168292291679	0.01288703528246672	140.0	1.8041849395453409	123	-0.32025561890264714	0.0054073257173000815	74.0	0.40014210308020604	11	-0.21871930975722928	0.002635055226892502	187	0.4927553274288979	96	-0.23044825849693704	0.04982604009483796	73.0	3.637300926923171	275	-0.3048348664166409	0.009742758936536373	71.0	0.6917358844940825	188	-0.3474172613244199	0.020851914533341693	44.0	0.9174842394670345	15	-0.37276104903330415	0.03264205408858878	33.0	1.0771877849234297	122	0.4875502596515121	0.0019043692754299427	38.0	0.07236603246633783	242	0.528120713293846	0.0032325851697574044	29.0	0.09374496992296473	290	0.5010931764627184	0.006602577678634956	28.0	0.18487217500177877	115	-0.43528800335129625	0.00797047808256641	36.0	0.2869372109723908	90	0.40257631804487426	0.03367705485354778	28.0	0.9429575358993378	145	0.3857886952731581	0.04687138459850861	27.0	1.2655273841597325	145	0.36541376116581714	0.0037819500159963788	61.0	0.2306989509757791	93	-0.4119617298842926	0.03651195280638167	26.0	0.9493107729659234	182	0.4565841983206361	0.00982578629522141	31.0	0.3045993751518637
1	240	0.1811675804509741	0.04404519842296042	124.0	5.461604604447092	234	0.30388255130221653	0.016343099822247235	62.0	1.0132721889793286	254	0.36402796855349784	0.005374786007886642	57.0	0.3063628024495386	71	0.19540068108465664	0.02068787726089209	140.0	2.8963028165248925	166	-0.30502785353343875	0.008227856449278901	74.0	0.6088613772466387	180	-0.2085910004446165	0.0041714725883552385	187	0.7800653740224296						51	-0.23540687129182544	0.04812835332455585	71.0	3.4171130860434658	69	0.3296710839147745	0.02886432902420798	44.0	1.2700304770651512	145	0.36888688828323646	0.0346408014876405	33.0	1.1431464490921366	35	-0.4207006591146528	0.0085372472055693	38.0	0.3244153938116334	277	0.48079709625479167	0.00828674276894244	29.0	0.24031554029933078	3	-0.49429135146518144	0.007503637180942529	28.0	0.2101018410663908	204	-0.42546107147760137	0.009684160992521234	36.0	0.3486297957307644	212	0.38772808078139537	0.0414841113095127	28.0	1.1615551166663556						96	-0.3570676905586767	0.004730070262176681	61.0	0.28853428599277753						54	-0.4507928012828474	0.010925045703995611	31.0	0.33867641682386396
2						194	-0.27370754261852787	0.031349644851207614	62.0	1.943677980774872	223	0.34711737396917264	0.008158789111910243	57.0	0.46505097937888384	300	-0.19342398694644375	0.02203447194099666	140.0	3.084826071739532	83	-0.29771299842133986	0.00999150582465805	74.0	0.7393714310246957	191	0.20543777071772715	0.00479291883012441	187	0.8962758212332648											43	0.3156625063081236	0.03686214581078893	44.0	1.6219344156747129	137	-0.3688123330006383	0.03468021835853497	33.0	1.1444472058316542	247	-0.4196314856552707	0.00872433945803316	38.0	0.33152489940526003	280	0.445240107710338	0.015505529735455662	29.0	0.4496603623282142	5	0.3785966908559493	0.04695975499255611	28.0	1.3148731397915712																284	0.33502979774841585	0.00830812672509865	61.0	0.5067957302310176						123	-0.44696322822502477	0.011707335951113616	31.0	0.3629274144845221
3						101	-0.2725036006286692	0.03213227135801793	62.0	1.9922008241971119	36	-0.3420392877000328	0.009209166126414035	57.0	0.5249224692056	218	-0.17583670089898	0.037700616482472714	140.0	5.27808630754618	178	0.26483089035113233	0.022592573679242892	74.0	1.671850452263974	144	-0.20205619773389133	0.005550579253354228	187	1.0379583203772407																264	0.3600863446320915	0.039551444274585144	33.0	1.3051976610613099	105	0.415518661385195	0.009477089629084168	38.0	0.3601294059051984	157	0.444034619866364	0.015821002621644435	29.0	0.4588090760276886																					152	0.3335917217841502	0.008607618532605445	61.0	0.5250647304889321						256	-0.4420266047018922	0.012784686740824126	31.0	0.3963252889655479
4											93	-0.3375330949861967	0.010237571671133613	57.0	0.583541585254616	157	0.17498746248606392	0.038649411593950786	140.0	5.41091762315311	277	-0.2413932113241388	0.03827118452932919	74.0	2.83206765517036	37	-0.19647599433582283	0.007037302571518797	187	1.315975580874015																106	0.3530117198256338	0.043893542185815086	33.0	1.4484868921318979	41	-0.39494222977691673	0.014130028409482282	38.0	0.5369410795603268	98	-0.4336478905741209	0.01876599515730144	29.0	0.5442138595617417																					70	-0.330866416335981	0.009201054813760934	61.0	0.5612643436394169						165	-0.4408966274624557	0.013042631631280032	31.0	0.404321580569681
5											41	0.3340389644519843	0.01110203949042277	57.0	0.6328162509540979	191	0.16912714141925095	0.04575865866097023	140.0	6.4062122125358325	128	0.2392423434495193	0.04008045896128287	74.0	2.9659539631349325	154	-0.19519944311556622	0.007423644016048484	187	1.3882214310010665																99	0.35297330175414116	0.04391812450529573	33.0	1.4492981086747592	271	-0.3945810509980514	0.014226421951737218	38.0	0.5406040341660143	226	-0.428308284421597	0.020447518048615172	29.0	0.59297802340984																					104	-0.32811699181996223	0.009835474281011971	61.0	0.5999639311417302						139	-0.4372703750037604	0.013900025354486456	31.0	0.4309007859890801
6											117	0.3297170302750872	0.012257934346123973	57.0	0.6987022577290665						53	0.23298304969040054	0.04575381052996453	74.0	3.3857819792173753	234	-0.19393031418855583	0.007826330124336641	187	1.4635237332509519																					273	-0.39303633852775516	0.014644975197788686	38.0	0.55650905751597	183	0.4102460212033301	0.02707767845374627	29.0	0.7852526751586418																					52	-0.3245084430123787	0.010725523569396059	61.0	0.6542569377331596						16	-0.4318625858090422	0.015265804996900379	31.0	0.47323995490391174
7											142	-0.32048726086779594	0.015077703549923627	57.0	0.8594291023456467						246	-0.23273489057222066	0.0459917301398735	74.0	3.4033880303506394	18	0.19176522349680664	0.008558252648079136	187	1.6003932451907985																					62	-0.3928742595718767	0.014689488106670569	38.0	0.5582005480534816	145	-0.409467618433751	0.027398646808319667	29.0	0.7945607574412703																					165	-0.3203223955280524	0.011844662579838986	61.0	0.7225244173701781						53	0.4269737364691478	0.016595070948499317	31.0	0.5144471994034788
8											152	-0.31679544666296067	0.016352004026282146	57.0	0.9320642294980823						192	-0.23163519740360847	0.04705835595080121	74.0	3.4823183403592894	167	-0.1914836295866739	0.00865777597736687	187	1.6190041077676045																					51	-0.3635317252716249	0.024865990982014977	38.0	0.9449076573165691	268	0.4070505394653263	0.02841508485666118	29.0	0.8240374608431742																					146	0.31843061989125593	0.012382652401092738	61.0	0.755341796466657						157	-0.4257517882904347	0.016941936892234298	31.0	0.5252000436592632
