	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15
9	9						96_наука-быт	0.16171800289881794	0.02743954187146154	186.0	5.103754788091846																					33_абстрактная_работа-конкретная_работа	-0.09795735655263982	0.04281558445878051	428.0	18.32507014835806						173_отдых-работа	0.1888839700303364	0.040516826198211335	118.0	4.780985491388939						81_религия-наука	-0.11476659963476353	0.0455660098710109	304.0	13.852067000787313											53_подчинение-неповиновение	0.19160616360187968	0.007442631134394497	194.0	1.4438704400725324	124_сражение-тыл	0.2259027514818784	0.008183239744948057	136	1.1129206053129357	105_сущность-внешность	0.20448842617568733	0.042325910769500284	99.0	4.190265166180528
10	10						215_творчество-власть	0.16167226169589405	0.02748390629535505	186.0	5.112006570936041																					120_усталость-покой	0.0977125103617292	0.04334011635253104	428.0	18.549569798883287						75_действующее_лицо-зритель	0.18750956464874505	0.04202583457959376	118.0	4.959048480392063						166_порядочность-мошенничество	-0.11389800748721787	0.04723802777765363	304.0	14.360360444406705											11_приобретение-постоянное_местонахождение	0.18799450044220495	0.008665265561489369	194.0	1.6810615189289375	300_беспокойство-спокойствие	0.22546521401762154	0.008311262182925879	136	1.1303316568779198	212_наука-быт	-0.20063544677710607	0.046454410978128254	99.0	4.598986686834697
11	11						274_единство-разрозренность	0.16149861969613188	0.02765288090768635	186.0	5.143435848829661																					191_техническое_взаимодействие-животные_взаимоотношения	0.09686502363525157	0.04519763478768614	428.0	19.344587689129668						200_природа-техника	-0.1865716871344416	0.0430822804369805	118.0	5.0837090915637						82_суматоха-спокойствие	0.11313060853392992	0.048757680731204685	304.0	14.822334942286224											252_современность-древность	0.17344391387098254	0.015582871245314475	194.0	3.0230770215910083	99_благоразумие-безолаберность	-0.22121248193187326	0.009650896018887491	136	1.3125218585686986	225_кража-находка	-0.19991342588651412	0.04726403244226191	99.0	4.679139211783929
12	12						151_забытье-сознание	0.16072356067289653	0.028417984030678276	186.0	5.28574502970616																					259_процесс-итог	-0.09600913525443057	0.04714099017898277	428.0	20.176343796604627						201_вирус-растение	0.18611366757354805	0.04360620031096082	118.0	5.145531636693375						297_юмор-суровость	-0.11293852766852028	0.04914437766759807	304.0	14.939890810949814											149_нищета-состояние	-0.17161365718512178	0.01672799536628044	194.0	3.2452311010584043	266_мир-война	-0.21975614133589425	0.010151554147617241	136	1.3806113640759443	22_деятельность_наверху-деятельность_в_земле	-0.19947263046491354	0.0477640262535261	99.0	4.728638599099084
13	13						84_последовательность-разлад	0.16003034792586074	0.029117544182064574	186.0	5.415863217864011																					78_популярность-безвестность	0.0950649579697022	0.04936556961746565	428.0	21.128463796275295						169_потеря-приобретение	0.18362670856527785	0.0465445344566029	118.0	5.492255065879141																					108_творчество-власть	-0.17118114049760516	0.01700907746721015	194.0	3.2997610286387693	282_путешествие-домоседство	0.21932997470101145	0.010302321012954108	136	1.4011156577617587	51_творческая_реализация - эмоциональное_переживание	-0.1983228310060696	0.049088871606127335	99.0	4.859798289006607
14	14						41_развлечение-когнитивная-способность	0.15981088540536756	0.029342057424835925	186.0	5.4576226810194814																															20_покой-беспокойство	-0.18342399552567207	0.04679112157648223	118.0	5.521352346024903																					243_проблема-решение_проблем	-0.16993353204709893	0.01784302718902823	194.0	3.461547274671477	54_реальность-когнитивные_процессы	0.21347756871012288	0.012581115135293124	136	1.7110316583998648					
15	15						11_приобретение-постоянное_местонахождение	-0.15971336500536132	0.0294422952159986	186.0	5.476266910175738																															223_бытовые_ситуации-глобальные_происшествия	-0.18302827432619934	0.047275617142059655	118.0	5.57852282276304																					297_юмор-суровость	-0.1685351296944761	0.018819810580951567	194.0	3.651043252704605	58_формирование-перестройка	-0.21258806057633267	0.012963559110914385	136	1.7630440390843565					
16	16						207_фантастика-реальность	-0.15885751199603412	0.030334596871835363	186.0	5.642235018161378																															13_личные_отношения-иерархические_отношения	0.18264007907482632	0.047754937198799766	118.0	5.6350825894583725																					106_кончина-вечное_искусство	0.16768180497406165	0.019438381132973047	194.0	3.7710459397967715	216_старость-смерть	-0.2117982867432848	0.01331160525020966	136	1.8103783140285137					
17	17						240_осторожность-риск	-0.15854678450883228	0.030664210110841663	186.0	5.70354308061655																															163_человек-инструмент	0.1825870011565934	0.04782078682420365	118.0	5.642852845256031																					20_покой-беспокойство	-0.16673294348020068	0.020146827442472613	194.0	3.9084845238396873	182_светское_общество-религия	-0.2113939518403506	0.013492932431139708	136	1.8350388106350004					
18	18						144_физический_труд-искусство	0.15811945056194496	0.031122495868896	186.0	5.788784231614656																															272_образование-невежество	-0.18246179928433934	0.04797641342766799	118.0	5.661216784464823																					262_серьезность-шутка	-0.1656268287757373	0.02100080397890199	194.0	4.074155971906986	262_серьезность-шутка	0.21020353246135448	0.014039372137943965	136	1.9093546107603792					
