	Unnamed: 0	я_PRON	я_PRON.1	я_PRON.2	я_PRON.3	я_PRON.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	жизнь_NOUN	жизнь_NOUN.1	жизнь_NOUN.2	жизнь_NOUN.3	жизнь_NOUN.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	год_NOUN	год_NOUN.1	год_NOUN.2	год_NOUN.3	год_NOUN.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	произойти_VERB	произойти_VERB.1	произойти_VERB.2	произойти_VERB.3	произойти_VERB.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	ничто_PRON	ничто_PRON.1	ничто_PRON.2	ничто_PRON.3	ничто_PRON.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15
29	29						80_сон-бодрствование	0.15061167072168424	0.04017530521841947	186.0	7.472606770626021																																																								86_доказательство-совпадение	0.15351852508014455	0.03258723940222243	194.0	6.321924444031152	93_учёба-отдых	-0.19348992769932066	0.024007674259472773	136	3.2650436992882965					
30	30						70_единство-разрозренность	0.15050958083667582	0.04031225275803087	186.0	7.498079012993741																																																								33_абстрактная_работа-конкретная_работа	0.15351755846147086	0.03258834673879978	194.0	6.322139267327158	240_осторожность-риск	-0.1920038072631067	0.02513380233038384	136	3.4181971169322014					
31	31						18_уменьшение-расширение	0.15008738007001646	0.04088278665063907	186.0	7.604198317018866																																																								225_кража-находка	0.15301489776875893	0.03316853188463939	194.0	6.434695185620043	89_апатия-взбудораженность	-0.1919564009906096	0.025170456895734414	136	3.4231821378198815					
32	32						67_неизменность-изменение	0.15004061507679195	0.04094639719379352	186.0	7.616029878045595																																																								291_работа-санкция	0.1500577123309691	0.03676225248598384	194.0	7.131876982280865	299_веселье-грусть	-0.19160023265568232	0.025447312467680557	136	3.460834495604556					
33	33						105_сущность-внешность	-0.14984611496724606	0.04121185265393075	186.0	7.66540459363112																																																								216_старость-смерть	0.14973098260513673	0.03717878141837836	194.0	7.2126835951654025	49_развитие-откат	0.1908101173196288	0.026070795335110933	136	3.5456281655750868					
34	34						132_правонарушение-соблюдение_закона	-0.14936630673063034	0.0418728877256225	186.0	7.788357116965784																																																								145_высказывание-умалчивание	0.14873986144726312	0.038466768657960414	194.0	7.462553119644319	86_доказательство-совпадение	-0.18715561505395348	0.029127179408467024	136	3.9612963995515154					
35	35						52_близость-расстояние	-0.1491152215652615	0.042222342385239225	186.0	7.853355683654497																																																								40_уклад_жизни-дисциплина	-0.1481051511371271	0.03931119733775305	194.0	7.626372283524091	256_фильм-жизнь	0.18694782199801668	0.0293097633170762	136	3.9861278111223633					
36	36						139_свобода-неволя	0.148780519418592	0.04269197570934307	186.0	7.940707481937811																																																								245_любовь-ненависть	-0.14753511706098946	0.04008283760959462	194.0	7.776070496261356	2_неживая_природа-живая_природа	0.1864578724171504	0.029744130890524374	136	4.045201801111316					
37	37						185_беда-счастье	-0.14861827897027846	0.04292119316569159	186.0	7.983341928818637																																																								52_близость-расстояние	0.1471695481138179	0.040584376994759946	194.0	7.873369136983429	215_творчество-власть	0.1863254320724638	0.02986248197275108	136	4.061297548294148					
38	38						115_наследство-собственность	-0.1484504716436199	0.043159360278947165	186.0	8.027641011884171																																																								234_холодное_отношение-тёплое_отношение	-0.14689877584932828	0.0409592543946017	194.0	7.946095352552731	62_жизнь-смерть	0.18553791853879828	0.030574515660823882	136	4.158134129872049					
39	39						252_современность-древность	0.1482947971468638	0.04338129688488504	186.0	8.068921220588617																																																								189_наука-религия	0.14595442828178898	0.04228953683944348	194.0	8.204170146852036	164_устранение-дополнение	-0.1852025487173692	0.030882090283093033	136	4.1999642785006515					
40	40						143_неважность-значимость	0.1476350464064839	0.04433250961346448	186.0	8.245846788104393																																																								61_единство-разрозренность	-0.14585746107486286	0.042428162610665135	194.0	8.231063546469038	154_знание-сомнение	-0.1845431356066043	0.031494515143392264	136	4.283254059501348					
41	41						201_вирус-растение	-0.1472407969767262	0.04490921721776467	186.0	8.353114402504229																																																								174_праздник-быт	0.14537183208273674	0.043128175109800736	194.0	8.366865971301342	173_отдых-работа	-0.1840870659143268	0.03192408594063886	136	4.3416756879268865					
42	42						130_размеренная_жизнь-напряжённая_жизнь	-0.1470544538526206	0.045183975889569766	186.0	8.404219515459976																																																								256_фильм-жизнь	-0.14168375039905265	0.048766715167673266	194.0	9.460742742528614	255_голод-неопределенная_тема	0.18401478923243492	0.03199261696238875	136	4.35099590688487					
43	43						98_разрушение-поддержание	-0.14678843590352847	0.0455786476523809	186.0	8.477628463342848																																																													209_отрицание-утверждение	0.1837429808695572	0.03225145634538646	136	4.386198062972559					
44	44						82_суматоха-спокойствие	-0.1467027738120532	0.04570635000976857	186.0	8.501381101816952																																																													122_неопределенная_тема-здоровье	-0.1833910566719148	0.03258922279201811	136	4.432134299714464					
45	45						264_безопасность-опасность	0.14597737966231186	0.046799776852354986	186.0	8.704758494538027																																																													52_близость-расстояние	-0.1823706679210284	0.033585541914401384	136	4.567633700358587					
46	46						246_чистота-беспорядок	-0.14570713781607295	0.04721266992698741	186.0	8.781556606419658																																																													41_развлечение-когнитивная-способность	0.18146167923789688	0.0344946668525681	136	4.691274691949261					
47	47						275_жизненный_процесс-кончина	-0.14532898661258625	0.04779553114872779	186.0	8.88996879366337																																																													258_конец-начало	-0.18134948037407256	0.034608310570472395	136	4.706730237584246					
48	48						42_деструктивная_коммуникация-конструктивная_коммуникация	-0.14524279109966834	0.0479292242407576	186.0	8.914835708780911																																																													125_разработка-разрушение	0.18110318978246515	0.03485888205944845	136	4.7408079600849895					
49	49						294_испытание-безмятежность	-0.14515226401537115	0.04806997122862789	186.0	8.941014648524787																																																													203_концепция-хаотичность	-0.17974955038833612	0.03626355266819065	136	4.931843162873928					
50	50						235_процесс-итог	-0.14515120089095118	0.048071626165361835	186.0	8.941322466757303																																																													276_начало-конец	-0.17974785722561984	0.03626533909641353	136	4.93208611711224					
51	51						149_нищета-состояние	-0.14492567372229898	0.04842377311722268	186.0	9.006821799803419																																																													160_победа-поражение	0.1793642657813566	0.036671976357266975	136	4.987388784588308					
52	52						46_идея-реализация	0.14472973770844674	0.04873145724728288	186.0	9.064051047994614																																																													121_несовременность-актуальность	-0.17918016623391414	0.03686849627352359	136	5.014115493199208					
53	53						217_завоевание-бегство	0.14470834089350634	0.0487651556795732	186.0	9.070318956400614																																																													145_высказывание-умалчивание	-0.17906281743577035	0.03699422428847432	136	5.031214503232508					
54	54						101_фиксация-пересмотр	0.1443255079301522	0.04937137668554043	186.0	9.18307606351052																																																													174_праздник-быт	-0.17877439135977727	0.03730478005844712	136	5.0734500879488085					
55	55																																																																							68_власть-народ	-0.1784462726720669	0.03766073883858094	136	5.121860482047008					
56	56																																																																							204_столкновение-мир	0.17722119629432145	0.03901511022821494	136	5.306054991037231					
57	57																																																																							31_интеллект-культура	-0.17685844636946074	0.039423908528124586	136	5.361651559824946					
58	58																																																																							214_спешка-неторопливость	-0.17669228813822688	0.039612356475616985	136	5.387280480683911					
59	59																																																																							13_личные_отношения-иерархические_отношения	-0.17569510145609213	0.040759262174956616	136	5.5432596557941					
60	60																																																																							55_армия-гражданская_жизнь	0.1754207399750497	0.04107965438461824	136	5.586832996308081					
61	61																																																																							169_потеря-приобретение	-0.17516865338218404	0.04137589163349761	136	5.627121262155676					
62	62																																																																							245_любовь-ненависть	-0.175082281879697	0.04147780087560589	136	5.640980919082401					
63	63																																																																							277_неживая_природа-живая_природа	-0.17449714929570978	0.0421737440618157	136	5.735629192406934					
64	64																																																																							217_завоевание-бегство	0.17443379931339156	0.042249673720847536	136	5.7459556260352675					
65	65																																																																							12_частное-общее	-0.17342971446446726	0.043468493690231286	136	5.911715141871456					
66	66																																																																							30_стихийное_собрание-мероприятия	0.17339697860248166	0.043508719724159386	136	5.917185882485678					
67	67																																																																							168_работа-праздность	0.17160568977340848	0.045757744214015066	136	6.2230532131060485					
68	68																																																																							80_сон-бодрствование	-0.17087424983098912	0.04670353215959181	136	6.351680373704486					
69	69																																																																							185_беда-счастье	-0.17072267596517987	0.04690154560727375	136	6.378610202589231					
70	70																																																																							189_наука-религия	-0.16927281435872088	0.04883114520428501	136	6.6410357477827615					
71	71																																																																							153_прерывание-продолжение	0.1691071447926678	0.049055768419746584	136	6.671584505085536					
72	72																																																																							172_наука-быт	0.16905733065189044	0.049123476392355626	136	6.680792789360365					
73	73																																																																							181_дополнение-устранение	0.16897025751426192	0.04924201346426982	136	6.696913831140696					
