	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
2	70	-0.14118771204578745	0.04294491102692518	206.0	8.846651671546587	131	-0.15325645242880648	0.023624488674389762	218.0	5.150138531016968	70	0.16681815535810135	0.04343841729324708	147.0	6.38544734210732											228	0.3607972835664377	0.0005538297180235215	88	0.0487370151860699	188	-0.258763599836536	0.004003328674401597	122.0	0.48840609827699477						71	-0.3372283042948184	0.004920664335474577	68.0	0.33460517481227126	30	0.26852951557840354	0.025682974328988528	69.0	1.7721252287002085	143	0.27493819424626537	0.038468760085693096	57.0	2.1927193248845063	236	0.34419672455460854	0.023815584006888456	43.0	1.0240701122962037	278	-0.21773907156717892	0.04940408776109946	82.0	4.051135196410156	92	-0.2765371400829317	0.016319303399266315	75.0	1.2239477549449735	43	0.31531931305563854	0.007840847043747731	70.0	0.5488592930623412	229	-0.3168581023283275	0.028215702351016347	48.0	1.3543537128487846	5	0.34545964960623315	0.048942437499456065	33.0	1.6151004374820501	71	0.35050029991729936	0.04921322724736628	32.0	1.574823271915721	283	0.21841285276198164	0.025196749227928673	105.0	2.645658668932511	79	0.43254038775141906	0.007501668890894914	37.0	0.2775617489631118
3	138	-0.14099190924040572	0.043237372104141	206.0	8.906898653453046	228	-0.15126162531952692	0.025524058794847253	218.0	5.564244817276701																122	0.35875002029208986	0.0005985793382139414	88	0.05267498176282684	248	-0.24983038878084693	0.005516615159178042	122.0	0.6730270494197211						72	-0.3369199832469257	0.004962633027443284	68.0	0.3374590458661433	248	-0.2665047791053289	0.026862379393978425	69.0	1.8535041781845114						183	-0.3312513436678092	0.030020111676493422	43.0	1.290864802089217						285	-0.27621705918919515	0.01644881719002977	75.0	1.2336612892522327	20	0.30843947191514864	0.009382458849817735	70.0	0.6567721194872415																97	0.21523542804404888	0.02745282700907008	105.0	2.8825468359523585	241	0.4247600082439081	0.008781933191705104	37.0	0.32493152809308884
4	186	0.1397973196114129	0.045058081226427286	206.0	9.28196473264402	50	0.14943628745648765	0.02737575720340559	218.0	5.967915070342419																236	0.3577371817014277	0.0006219191659880924	88	0.05472888660695213	16	0.2190633232796453	0.015340173056461997	122.0	1.8715011128883636						14	-0.32384824262054873	0.007059415101931865	68.0	0.48004022693136683	235	0.2651311506003365	0.02768827117032846	69.0	1.9104907107526636						207	0.3173976119376572	0.03808397302909123	43.0	1.6376108402509229						238	0.2736023463374639	0.01754031102404514	75.0	1.3155233268033855	68	0.2823067418805508	0.017894179103284755	70.0	1.252592537229933																182	-0.21033074547832864	0.031271405965551245	105.0	3.283497626382881	74	0.41340537644016406	0.010982739808581023	37.0	0.40636137291749785
5	248	0.13787315524359703	0.04812546006736736	206.0	9.913844773877676	49	0.14671995030176166	0.030343849117992053	218.0	6.614959107722267																87	-0.3567643167994136	0.0006451180773456522	88	0.056770390806417395	57	0.21716506248179263	0.016273576039401084	122.0	1.9853762768069323						132	0.3191033208123024	0.007993660060429252	68.0	0.5435688841091891	159	-0.2615826958624912	0.02992137191974019	69.0	2.064574662462073						101	0.3017008909163025	0.04927881201145265	43.0	2.118988916492464						64	-0.2733839670801844	0.017634221805529527	75.0	1.3225666354147145	277	-0.270240764508172	0.023662723397726813	70.0	1.656390637840877																34	0.20347600535555696	0.037353210119047624	105.0	3.9220870625000006	243	-0.40144161504704307	0.013791805277635438	37.0	0.5102967952725112
6	254	-0.13699039611913463	0.049589906299495834	206.0	10.215520697696142	262	0.14479232178236484	0.032613008289689153	218.0	7.109635807152236																14	-0.3506536906195168	0.0008098401434736285	88	0.0712659326256793	105	-0.21254649556464625	0.018752875650957634	122.0	2.2878508294168314						143	-0.3079856865317163	0.010616807062150112	68.0	0.7219428802262077	170	-0.251086950303	0.037429612601029914	69.0	2.582643269471064																96	0.27180957442575493	0.018324123759174294	75.0	1.374309281938072	279	-0.26752955999083805	0.0251564089300418	70.0	1.7609486251029258																172	0.19597539304526804	0.04511454781516523	105.0	4.737027520592349	267	0.38177532771477296	0.019719768204789524	37.0	0.7296314235772124
7						229	-0.14440490167019207	0.033086080303684165	218.0	7.212765506203148																115	0.3498197826280604	0.0008350744080563042	88	0.07348654790895477	3	-0.20138099058953465	0.026130507964253133	122.0	3.187921971638882						106	0.30404080357799457	0.011712702360218936	68.0	0.7964637604948877	53	-0.23770993228950454	0.04920804506558216	69.0	3.395355109525169																287	-0.2691553800472047	0.019539601024845237	75.0	1.4654700768633928	194	-0.26604526500880754	0.026007428765471952	70.0	1.8205200135830366																146	0.19482824180281938	0.046412106518914684	105.0	4.8732711844860415	275	0.36885842265177504	0.02466898009055725	37.0	0.9127522633506182
8						111	-0.13845837484236745	0.04111106947772673	218.0	8.962213146144428																240	0.3472891753351332	0.0009161001978726847	88	0.08061681741279625	34	-0.20045071874055512	0.02684408968158273	122.0	3.274978941153093						192	0.3026694128147847	0.012115990846888101	68.0	0.8238873775883909																					299	0.26837767925314987	0.019908554371243087	75.0	1.4931415778432315	192	0.2489060270055522	0.03772555023461033	70.0	2.640788516422723																53	-0.19457682183392505	0.046700588465831964	105.0	4.903561788912357	89	-0.36365139854521533	0.026935699433923842	37.0	0.9966208790551822
9																										204	-0.3453166250216536	0.0009841513605536038	88	0.08660531972871714	72	0.19803144374875198	0.028778057150425716	122.0	3.5109229723519375						100	-0.2898502901910177	0.016504335751932855	68.0	1.122294831131434																					197	-0.26739688496664027	0.020382335887616117	75.0	1.528675191571209	285	-0.24810255172540793	0.03836826613383348	70.0	2.685778629368343																					156	0.35819282811164516	0.02949376900497019	37.0	1.0912694531838971
10																										251	-0.3413749889111089	0.0011340856059076556	88	0.09979953331987369	294	-0.19655004749737512	0.030019798170341956	122.0	3.6624153767817185						231	0.2882313475039998	0.01714536331070515	68.0	1.1658847051279502																					191	0.2662231822676012	0.020961931075829207	75.0	1.5721448306871906	244	-0.24527194048173523	0.04070545502125681	70.0	2.8493818514879767																					228	0.35415448321503923	0.03151214311082439	37.0	1.1659492951005024
11																										30	-0.3400879307713558	0.0011873610669960197	88	0.10448777389564973	282	0.19360747446853113	0.03262155760541175	122.0	3.9798300278602334						268	0.2843297413227777	0.018778494627808152	68.0	1.2769376346909544																					229	-0.2643523875017822	0.021914824307769278	75.0	1.643611823082696	172	0.24435767199023684	0.04148509826600239	70.0	2.9039568786201673																					208	-0.35171749995064927	0.03278401368033505	37.0	1.213008506172397
12																										221	-0.3377617288931852	0.001289445505261349	88	0.11347120446299871	129	-0.1912694208702949	0.03482249152366459	122.0	4.24834396588708						5	-0.2813460689489163	0.020115456217135893	68.0	1.3678510227652407																					84	-0.263655906164286	0.022278884968582272	75.0	1.6709163726436704	141	0.2385768844324433	0.04670577938919655	70.0	3.269404557243759																					142	0.35031440752325843	0.03353515630133252	37.0	1.240800783149303
