	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	68	-0.7569501789364866	6.225228368493408e-12	58	3.6106324537261764e-10	277	-0.39698556615590014	0.014982660671324416	37.0	0.5543584448390034	55	0.5460560830375568	0.00264737124103571	28.0	0.07412639474899987	45	-0.9983836656790356	7.798755893313321e-05	5.0	0.0003899377946656661	297	-0.7502371257667256	0.004943215802919782	12.0	0.05931858963503738	59	-0.8738099332938323	0.022881178323295122	6.0	0.13728706993977075	296	0.5967925148499054	0.018840580360220044	15.0	0.28260870540330063	272	-0.9996468352230511	0.000353164776948911	4.0	0.001412659107795644	8	-0.541442220446273	0.03711063576508109	15.0	0.5566595364762164	277	0.7363356214377119	0.0026725316603185183	14.0	0.03741544324445926	30	0.9989541474389206	0.0010458525610793634	4.0	0.004183410244317454	16	-0.41466060289575674	0.02531474189519132	29.0	0.7341275149605483	61	-0.6005443009845471	0.013897765858354559	16.0	0.22236425373367294	23	-0.7146243876509515	0.02021317137322547	10.0	0.2021317137322547	263	-0.9758930220195595	0.004476837496711971	5.0	0.022384187483559855
1	23	0.7184157619079844	2.1646611951310527e-10	58	1.2555034931760106e-08	43	-0.3858351378022545	0.018347267840653242	37.0	0.6788489101041699	80	-0.5103364458757121	0.005525992910892944	28.0	0.15472780150500243	245	0.9961376807399446	0.00028797470675939496	5.0	0.0014398735337969749	266	0.7347370084230157	0.0064913319763415045	12.0	0.07789598371609806	179	0.873752228275127	0.022901649751915457	6.0	0.13740989851149274	62	-0.5863483002947709	0.021599627427123274	15.0	0.3239944114068491	235	-0.9995597827878742	0.0004402172121258374	4.0	0.0017608688485033497											226	-0.9983351850812106	0.0016648149187894479	4.0	0.0066592596751577915	133	0.39894216193207815	0.032050696583398014	29.0	0.9294702009185424	186	-0.5954342632008853	0.014951154798238409	16.0	0.23921847677181454	276	-0.6766036202079725	0.03166985922635959	10.0	0.3166985922635959	246	-0.9571695712606313	0.010571886853360038	5.0	0.05285943426680019
2	211	0.7125597736850157	3.5278454690361135e-10	58	2.0461503720409458e-08	101	0.3779007182151254	0.021108579182453808	37.0	0.7810174297507909	251	-0.5083693311466004	0.005741676551251846	28.0	0.16076694343505168	166	0.9954400451190666	0.0003693834203722953	5.0	0.0018469171018614763	102	0.6857420064661145	0.013822959762779932	12.0	0.1658755171533592	172	0.8734447193041494	0.023010888792283565	6.0	0.1380653327537014	241	0.5844929861966647	0.022120373969731835	15.0	0.33180560954597754	159	0.9990676115544949	0.000932388445505139	4.0	0.003729553782020556											141	-0.9978509020453097	0.0021490979546903155	4.0	0.008596391818761262	242	-0.3913824667340286	0.03577033216171554	29.0	1.0373396326897506	140	-0.5572989082144274	0.02491305179733038	16.0	0.3986088287572861	235	0.6750519436235574	0.032214068503163315	10.0	0.3221406850316332	119	0.9091243693314073	0.03243356554584939	5.0	0.16216782772924695
3	244	0.7099453424953055	4.3704994745814423e-10	58	2.5348896952572367e-08	119	0.3758737441599543	0.021866991353572878	37.0	0.8090786800821965	277	-0.5060903347690974	0.0060004396021023235	28.0	0.16801230885886506	172	-0.9951809876873677	0.0004012885165241986	5.0	0.002006442582620993	117	-0.6550554746043183	0.02077717525970032	12.0	0.24932610311640382	147	-0.8603489447072262	0.027891859292108835	6.0	0.16735115575265302	142	0.5813477939374636	0.023024971311505934	15.0	0.345374569672589	113	-0.9982696644607184	0.0017303355392815911	4.0	0.0069213421571263645											266	-0.9971889677010936	0.0028110322989064462	4.0	0.011244129195625785	41	0.36833539449532565	0.04929383971597009	29.0	1.4295213517631324						71	0.6653761454568747	0.035751511624188444	10.0	0.3575151162418844	80	0.9051568943696674	0.034559351102550026	5.0	0.17279675551275014
4	148	-0.6876195789402205	2.4854179372851786e-09	58	1.4415424036254035e-07	54	-0.3747514758150543	0.022296558837557535	37.0	0.8249726769896288	142	0.4984526300944344	0.006940863482115697	28.0	0.19434417749923952	255	0.9948577038174851	0.0004423175936986032	5.0	0.002211587968493016	155	0.6485077370620038	0.022540962547646103	12.0	0.2704915505717532	204	0.8554990375545011	0.029812164014658516	6.0	0.1788729840879511	272	-0.5658589052327803	0.027897237320746022	15.0	0.41845855981119034	9	0.9972709792002983	0.00272902079970172	4.0	0.01091608319880688											51	0.9967430386586584	0.0032569613413415688	4.0	0.013027845365366275											81	-0.642476835469571	0.045149217439944635	10.0	0.45149217439944633	71	0.9013835277165112	0.0366207491898098	5.0	0.183103745949049
5	198	-0.6781131735092985	4.976067482234009e-09	58	2.8861191396957256e-07	180	0.3733510628385168	0.02284240730502785	37.0	0.8451690702860304	245	-0.48605642609597716	0.008731219711359536	28.0	0.24447415191806698	244	0.9927750223975124	0.000736406122005161	5.0	0.003682030610025805	22	-0.6450085066822662	0.023526995019491258	12.0	0.28232394023389507						79	0.5631079445883884	0.028838315430510984	15.0	0.4325747314576648	91	0.9970696461459778	0.002930353854022183	4.0	0.011721415416088732											153	0.9958479745570286	0.004152025442971441	4.0	0.016608101771885764											237	-0.6393705812326446	0.046539213610900285	10.0	0.4653921361090029	32	-0.8945432515822744	0.04045325744792406	5.0	0.20226628723962028
6	233	-0.6772043441114873	5.310392368475711e-09	58	3.0800275737159124e-07	14	-0.37013215512575914	0.024139241639974305	37.0	0.8931519406790492	43	0.4854875157975062	0.008821916433323158	28.0	0.24701366013304843	41	0.9927338641917641	0.0007427030565418933	5.0	0.0037135152827094666	133	0.6358038890225429	0.026270000484070258	12.0	0.3152400058088431						76	0.5617633341931074	0.029306922311234242	15.0	0.43960383466851366	292	-0.9970141527959908	0.0029858472040091844	4.0	0.011943388816036737											185	-0.9948273630563631	0.005172636943636899	4.0	0.020690547774547596											177	0.6381515740982479	0.04709241762565481	10.0	0.4709241762565481	266	-0.8943614698793572	0.04055675411816064	5.0	0.20278377059080321
7	266	0.6748801416431406	6.264649240461382e-09	58	3.633496559467601e-07	212	-0.3690769663474937	0.024577410789958374	37.0	0.9093641992284598	231	0.4845106458913656	0.0089794967534425	28.0	0.25142590909638995	259	-0.9926733005590477	0.0007520012357939537	5.0	0.0037600061789697685	256	-0.6343275851378355	0.026730551129518255	12.0	0.3207666135542191						172	-0.5614343200168591	0.02942245617774778	15.0	0.4413368426662167	289	-0.9964346975995069	0.003565302400493131	4.0	0.014261209601972524											241	-0.9943070799377977	0.005692920062202345	4.0	0.02277168024880938											148	0.6321204333300574	0.04989406508898182	10.0	0.4989406508898182	229	-0.8877589596241359	0.04437221099181842	5.0	0.2218610549590921
8	199	-0.6708188639917927	8.33247908879375e-09	58	4.832837871500374e-07	83	0.3641200076885914	0.02672490922841611	37.0	0.9888216414513961	143	0.4736999208225297	0.01088698087083456	28.0	0.30483546438336767	293	-0.9885578155973905	0.0014667310123474876	5.0	0.007333655061737438	276	-0.6067437292978377	0.03644833512742596	12.0	0.4373800215291115						148	0.5606993978692104	0.029681766168258267	15.0	0.44522649252387403	193	-0.9963308755681403	0.0036691244318597382	4.0	0.014676497727438953											175	-0.9935510917336535	0.006448908266346476	4.0	0.025795633065385903																				
