	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	169	0.17718441607033292	0.04132298279095351	133.0	5.4959567111968175											255	-0.40691379498620067	0.00032088037335581583	74.0	0.02374514762833037	68	-0.29566138139998677	3.987133556513954e-05	187	0.007455939750681094						122	0.3704012380790171	0.03384801429658324	33.0	1.116984471787247						185	-0.34544226993608884	0.03365391317653433	38.0	1.2788487007083045						236	-0.4414900736916852	0.007028190290463842	36.0	0.2530148504566983										
10	177	-0.17656107734497004	0.042054369958711	133.0	5.593231204508563											275	0.4035604462529376	0.00036334811322552964	74.0	0.026887760378689195	72	0.29498448076733463	4.160586119572047e-05	187	0.007780296043599728						251	-0.368703216483869	0.03473797314132224	33.0	1.1463531136636338						167	-0.34512436184092743	0.03382854338831403	38.0	1.285484648755933						17	-0.4324235342284433	0.008440898879890003	36.0	0.3038723596760401										
11	164	0.1750437990269604	0.04388001170201989	133.0	5.836041556368645											81	-0.4029012952678971	0.00037227773577572595	74.0	0.02754855244740372	242	-0.28750781968101224	6.612414640305363e-05	187	0.012365215377371027						266	0.3686658627617327	0.034757762190678575	33.0	1.1470061522923929						159	-0.33174085903514955	0.04188114494741035	38.0	1.5914835080015932						145	-0.4258980045979661	0.009601799982516673	36.0	0.34566479937060024										
12	173	0.17166112728544053	0.04818913965544831	133.0	6.409155574174625											94	-0.39962942334102575	0.0004196480673176047	74.0	0.031053956981502744	232	-0.28506677150006593	7.670839321024839e-05	187	0.014344469530316449						236	0.36723775061683983	0.03552122841110484	33.0	1.1722005375664597						224	-0.32977283212912634	0.04318647287202116	38.0	1.641085969136804						106	-0.4249669426082618	0.009778026918145848	36.0	0.3520089690532505										
13																114	-0.39618513398608024	0.000475414071590581	74.0	0.03518064129770299	105	-0.2818957049491008	9.283877145961451e-05	187	0.017360850262947914						281	0.36427843127274295	0.037146568312503785	33.0	1.225836754312625						204	-0.3283117499366972	0.044176693057619607	38.0	1.6787143361895451						4	0.42019669642838053	0.01072469847386703	36.0	0.3860891450592131										
14																176	0.38288424629062784	0.0007601779358644465	74.0	0.05625316725396904	270	0.27919159371071456	0.00010905079459366626	187	0.02039249858901559						217	-0.3629121600324833	0.037916998474751946	33.0	1.2512609496668143						103	-0.32644409987446255	0.04546908763162143	38.0	1.7278253300016142						222	0.41878993847871954	0.011018303001611322	36.0	0.39665890805800763										
15																192	0.3669258322839125	0.0013015922383660021	74.0	0.09631782563908416	167	0.2760922958321802	0.00013087722005682953	187	0.02447404015062712						113	-0.36202040432992433	0.03842678210468983	33.0	1.2680838094547644						263	0.325865043948744	0.04587592635671051	38.0	1.7432852015549996						216	-0.41002909298885426	0.01300448742881998	36.0	0.46816154743751925										
16																7	-0.35836548826298453	0.0017178078724452742	74.0	0.1271177825609503	127	-0.2725467213856606	0.0001608287675296313	187	0.030074979528041054						229	0.36189029971945536	0.03850161869621927	33.0	1.270553416975236						62	0.3240655957382347	0.04715897004813339	38.0	1.7920408618290686						153	0.4100201975781561	0.013006648264890829	36.0	0.46823933753606983										
17																290	-0.3542808706986368	0.001955794098896372	74.0	0.1447287633183315	8	-0.2724150077713562	0.00016205599581317916	187	0.0303044712170645						201	0.3616409659017635	0.0386453652690508	33.0	1.2752970538786765						227	-0.3221636425163956	0.048546353862721464	38.0	1.8447614467834157						88	-0.4054579259670254	0.01415560537995992	36.0	0.5096017936785571										
18																36	0.33342037513847933	0.003697019960693657	74.0	0.2735794770913306	252	0.2723494821404803	0.00016266977440778372	187	0.030419247814255555						136	-0.35976553229824065	0.039740539221520065	33.0	1.311437794310162						199	-0.3207545985085102	0.049595195056050145	38.0	1.8846174121299055						48	0.40129382931234386	0.015277785081686413	36.0	0.5500002629407109										
19																223	-0.3158165262213335	0.006124594250877404	74.0	0.45321997456492785	211	-0.26944905058767155	0.000192116040636977	187	0.0359256995991147						132	-0.3595119793391208	0.03989050503944368	33.0	1.3163866663016413																8	-0.39795627882461676	0.016230359396268487	36.0	0.5842929382656655										
20																37	0.3038808365019801	0.008484947866938269	74.0	0.6278861421534319	125	0.26925400767378543	0.00019426457208849242	187	0.036327474980548086						62	0.35815273448679275	0.040702238753047966	33.0	1.343173878850583																244	-0.39672082984151796	0.01659537978528019	36.0	0.5974336722700868										
21																177	-0.2994861794929437	0.00953618143927032	74.0	0.7056774265060036	117	0.2668523662464406	0.00022262219946234322	187	0.04163035129945818						107	0.35509852269038805	0.04257477172082315	33.0	1.4049674667871639																139	0.3861344769367631	0.020014683952633675	36.0	0.7205286222948123										
22																284	0.29690440306182436	0.010205356910698793	74.0	0.7551964113917107	161	-0.26638165073887954	0.000228613558618997	187	0.04275073546175244						34	0.354965757762595	0.04265771357605385	33.0	1.407704548009777																116	-0.38576251537051504	0.020144765399896937	36.0	0.7252115543962897										
23																158	0.2956509968819125	0.010544732055723744	74.0	0.7803101721235571	176	-0.26431569388509574	0.0002567276510227598	187	0.04800807074125608						32	0.35428996714828076	0.043081913139296116	33.0	1.4217031335967718																85	0.3827368045310957	0.021229305298306637	36.0	0.7642549907390389										
24																165	-0.2921733832164794	0.011538291587174038	74.0	0.8538335774508787	243	0.2617329671922044	0.0002963963794259749	187	0.0554261229526573						93	0.3539414754074251	0.043301984739379684	33.0	1.4289654963995295																10	-0.38263292373647995	0.021267385924383327	36.0	0.7656258932777997										
25																154	-0.29099005983912873	0.011894430839713354	74.0	0.8801878821387882	244	-0.2595199383288069	0.00033484164941957134	187	0.06261538844145983						293	-0.35365046617427814	0.04348644711473596	33.0	1.4350527547862868																44	-0.3779627939245294	0.023038998235601783	36.0	0.8294039364816642										
26																48	-0.2842385376248057	0.014114454010347418	74.0	1.044469596765709	56	-0.259489799559515	0.0003353958065206742	187	0.06271901581936608						66	-0.35176672102880013	0.04469580997561623	33.0	1.4749617291953356																252	0.3762059274110193	0.023736379336525136	36.0	0.8545096561149049										
27																232	0.28067576980288156	0.01542407631211159	74.0	1.1413816470962577	224	0.2587566212527922	0.00034914168941184486	187	0.06528949592001498						49	-0.3517120689368137	0.044731294881169656	33.0	1.4761327310785985																220	0.37553256491909254	0.024008261489640383	36.0	0.8642974136270538										
28																294	0.2769324045587835	0.016911573587017767	74.0	1.2514564454393147	223	0.2586956194735015	0.00035030861016432626	187	0.065507710100729						71	-0.3504532430671797	0.04555490431844222	33.0	1.5033118425085932																119	0.37537712216309893	0.024071389208375666	36.0	0.866570011501524										
29																93	0.2762841981435427	0.0171812890565196	74.0	1.2714153901824505	293	0.25728412550626895	0.00037834103576291425	187	0.07074977368766497						167	-0.3503591156409689	0.04561697359893029	33.0	1.5053601287646996																72	0.3737438145963747	0.024743047611529335	36.0	0.8907497140150561										
30																246	0.27481245948200916	0.017807419029481703	74.0	1.317749008181646	180	0.25647959461353514	0.00039523556924881954	187	0.07390905144952925						232	-0.35008955598768127	0.0457951007244377	33.0	1.5112383239064442																55	-0.3665294770050888	0.027897892788760783	36.0	1.0043241403953882										
31																211	0.2732932092875442	0.01847419173846472	74.0	1.3670901886463893	241	-0.25493901536819163	0.00042955356307161554	187	0.08032651629439211						224	-0.34996533371962607	0.04587737499858647	33.0	1.5139533749533536																209	0.3629282320814277	0.029592459093072607	36.0	1.065328527350614										
32																43	-0.2670539367544377	0.02144146079981679	74.0	1.5866680991864426	152	-0.2546635740138551	0.00043597269579617753	187	0.0815268941138852						215	0.346800775422088	0.048013519241666726	33.0	1.5844461349750019																25	0.3602781401612284	0.0308927015042745	36.0	1.1121372541538819										
33																222	0.2627923559685305	0.023693948409859507	74.0	1.7533521823296034	11	0.25419084842570294	0.00044719693551778175	187	0.08362582694182519						95	0.34611128851823736	0.048489311347611884	33.0	1.6001472744711922																256	0.3576502334533883	0.03222793506864958	36.0	1.1602056624713848										
34																67	0.25769137341450504	0.026651411494129872	74.0	1.9722044505656104	135	-0.25348282859809274	0.00046450911306917354	187	0.08686320414393545						18	-0.3454493438310443	0.0489496308006884	33.0	1.6153378164227172																108	0.35711927694463896	0.03250336433499133	36.0	1.170121116059688										
35																149	0.25700049639348954	0.02707500439846693	74.0	2.003550325486553	18	-0.25228895502545623	0.0004951120743457815	187	0.09258595790266114																										264	0.3501355822011592	0.03630868295575045	36.0	1.3071125864070163										
36																166	0.25132069677275715	0.030777883076735155	74.0	2.2775633476784014	6	-0.25152920899542375	0.0005155467027814822	187	0.09640723342013717																										204	-0.34683007774889163	0.03823216276069152	36.0	1.3763578593848946										
37																214	-0.24892865821557397	0.03246008285083443	74.0	2.402046130961748	197	0.2508555860522803	0.0005343141907716415	187	0.09991675367429695																										66	0.34564331424998274	0.038942599000032864	36.0	1.4019335640011832										
38																137	0.2486407991922281	0.032667621114751244	74.0	2.417403962491592	141	0.25001518651281396	0.0005586131609698347	187	0.10446066110135908																										231	-0.343812437145154	0.040059591240668796	36.0	1.4421452846640768										
39																10	-0.24166836663599542	0.038044711039155944	74.0	2.81530861689754	36	-0.24989975381164825	0.0005620293467923472	187	0.10509948785016894																										41	-0.34008843412788775	0.042411632832932165	36.0	1.5268187819855579										
40																					19	-0.24855633251971493	0.0006032319806645224	187	0.1128043803842657																										100	0.3367190453685011	0.04463464617840933	36.0	1.606847262422736										
41																					170	-0.24790372981071124	0.000624237705255264	187	0.11673245088273437																										99	-0.33626393564405316	0.04494197709849706	36.0	1.6179111755458941										
42																					227	0.24773875857207622	0.0006296535716399223	187	0.11774521789666548																										58	-0.3347534425641754	0.04597422959918311	36.0	1.655072265570592										
43																					51	0.2469346638694151	0.0006566774060579967	187	0.1227986749328454																										200	0.33229078071891804	0.04769799346606557	36.0	1.7171277647783605										
44																					239	0.24487761187551713	0.000730752981602608	187	0.1366508075596877																										190	0.32961855045214916	0.04962673467575729	36.0	1.7865624483272624										
45																					157	0.2441259714891544	0.0007596877727157589	187	0.1420616134978469																										228	-0.3294883397094643	0.049722289560815654	36.0	1.7900024241893635										
46																					204	-0.24330736625614952	0.0007923981572012359	187	0.1481784553966311																																								
47																					272	0.24326512069141354	0.0007941209083452893	187	0.1485006098605691																																								
48																					155	-0.2423953827491697	0.0008303634694420259	187	0.15527796878565886																																								
49																					298	0.24196306414409732	0.0008489391645030255	187	0.15875162376206578																																								
50																					84	0.24158221948573244	0.0008656190419139997	187	0.16187076083791793																																								
51																					156	-0.24142886884111175	0.0008724200574299168	187	0.16314255073939443																																								
52																					23	-0.24126974460878423	0.0008795290477967829	187	0.16447193193799842																																								
53																					196	-0.24109883046911632	0.0008872240639051862	187	0.1659108999502698																																								
54																					148	0.23998298744202376	0.0009390029180282297	187	0.17559354567127897																																								
55																					250	0.23975184760860452	0.0009500698249025063	187	0.17766305725676867																																								
56																					60	-0.23968512769926725	0.00095328656969126	187	0.17826458853226562																																								
57																					287	-0.23646363360044786	0.001121044576147029	187	0.20963533573949442																																								
58																					285	-0.23562369270808975	0.001169026399649296	187	0.21860793673441833																																								
59																					74	-0.23383959533914878	0.00127724794524872	187	0.23884536576151064																																								
60																					295	-0.23358408045186405	0.0012934769746639461	187	0.24188019426215793																																								
61																					294	-0.2326464849377946	0.0013546588594695967	187	0.2533212067208146																																								
62																					77	0.2313864020206495	0.0014410562814003653	187	0.2694775246218683																																								
63																					41	0.23130574170543472	0.0014467546935769578	187	0.2705431276988911																																								
64																					61	0.23109252745828573	0.0014619169849289459	187	0.2733784761817129																																								
65																					31	-0.23075517777834897	0.0014862038499325323	187	0.2779201199373835																																								
66																					139	0.23020872547912755	0.0015263281243880417	187	0.2854233592605638																																								
67																					268	-0.22875979804924582	0.0016375557846734024	187	0.30622293173392623																																								
68																					4	0.22772824565262545	0.001721198881639576	187	0.32186419086660073																																								
69																					164	-0.22638845246169192	0.0018356508752118631	187	0.3432667136646184																																								
70																					203	-0.22514783716351827	0.0019477713882399767	187	0.36423324960087566																																								
71																					273	-0.22498026436393623	0.0019633846875901414	187	0.36715293657935644																																								
72																					284	-0.2242489359446246	0.0020328675708812323	187	0.38014623575479045																																								
73																					24	0.2230247351940721	0.0021542020344945284	187	0.4028357804504768																																								
74																					144	0.22288951124656214	0.0021680006916877316	187	0.40541612934560584																																								
75																					94	0.22158722516146334	0.0023050627450419423	187	0.4310467333228432																																								
76																					92	0.21995971258669073	0.0024874023844526257	187	0.465144245892641																																								
77																					190	0.21961969634630651	0.002527110985486818	187	0.472569754286035																																								
78																					20	0.2194078934298977	0.0025521360706942517	187	0.47724944521982504																																								
79																					299	-0.21936332868216024	0.0025574300547017803	187	0.47823942022923294																																								
80																					183	-0.218823293767133	0.0026223789054850284	187	0.4903848553257003																																								
81																					195	-0.21803022187433505	0.002720472998900887	187	0.5087284507944659																																								
82																					258	0.21683465879556624	0.002874644901889543	187	0.5375585966533446																																								
83																					277	-0.21680464967972657	0.0028786144759076274	187	0.5383009069947263																																								
84																					112	-0.21674913898205106	0.0028859704560856305	187	0.5396764752880129																																								
85																					265	0.21646841302578687	0.00292343206925724	187	0.5466817969511039																																								
86																					86	-0.21643931601888158	0.0029273400021241134	187	0.5474125803972092																																								
87																					91	-0.2158872984276958	0.003002381286017684	187	0.5614453004853069																																								
88																					140	-0.21580293129711492	0.0030140022529651124	187	0.563618421304476																																								
89																					48	0.21549125749683348	0.0030572867992289896	187	0.5717126314558211																																								
90																					254	0.21514149247975542	0.0031065303286309195	187	0.5809211714539819																																								
91																					216	-0.21436835700682275	0.0032179345487462754	187	0.6017537606155535																																								
92																					300	0.21432859855371678	0.0032237599321402383	187	0.6028431073102246																																								
