	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
149																					162	-0.18570876088269925	0.010937915734030882	187	2.045390242263775																																								
150																					236	0.1857059308710281	0.010939151928460523	187	2.0456214106221178																																								
151																					75	-0.18414534170381724	0.011639888734405626	187	2.176659193333852																																								
152																					159	-0.1828922897484205	0.012230824124016748	187	2.287164111191132																																								
153																					271	0.18214661413648536	0.012594858517571158	187	2.3552385427858065																																								
154																					14	0.1806648776814255	0.013346567622069025	187	2.4958081453269076																																								
155																					231	-0.1800436558750189	0.013673246001691348	187	2.556897002316282																																								
156																					113	-0.178679613053823	0.014415222799499272	187	2.695646663506364																																								
157																					200	0.1771660413488913	0.015279539987783732	187	2.8572739777155576																																								
158																					188	-0.1769655854434255	0.01539733689670557	187	2.8793019996839417																																								
159																					130	-0.1740843897062495	0.017180139824162152	187	3.2126861471183226																																								
160																					131	-0.17383037286444505	0.01734560837568906	187	3.2436287662538543																																								
161																					21	-0.16945894951645193	0.020418216470110294	187	3.818206479910625																																								
162																					253	-0.16778705521927675	0.02171216374562421	187	4.060174620431727																																								
163																					154	0.1659602980908784	0.023206307593103843	187	4.339579519910418																																								
164																					181	0.16570092920851137	0.023425469794866947	187	4.38056285164012																																								
165																					126	-0.1641941085130912	0.0247342720943664	187	4.625308881646517																																								
166																					39	-0.16346892736977447	0.02538623104350766	187	4.7472252051359325																																								
167																					115	-0.16334569859837114	0.025498470859029974	187	4.768214050638605																																								
168																					165	0.16302011602687613	0.02579707052879061	187	4.824052188883845																																								
169																					64	0.162996348270235	0.025818985504325504	187	4.828150289308869																																								
170																					5	0.16211403969090796	0.026643891083505882	187	4.9824076326156																																								
171																					260	-0.16149663956785393	0.02723446107720189	187	5.092844221436753																																								
172																					26	0.16147917107833573	0.02725133214268178	187	5.095999110681492																																								
173																					173	-0.16139476881627543	0.0273329739199871	187	5.111266123037588																																								
174																					202	0.16076763467441063	0.02794617817741814	187	5.225935319177192																																								
175																					71	-0.16063519267207804	0.0280771720453468	187	5.250431172479852																																								
176																					282	0.16029027218855296	0.028420787186891415	187	5.3146872039486945																																								
177																					63	-0.16008134439794353	0.02863066676417224	187	5.353934684900208																																								
178																					175	0.15983099385943142	0.028883900162224828	187	5.401289330336043																																								
179																					261	-0.159330577719613	0.029395814759632145	187	5.497017360051211																																								
180																					230	-0.15743822266056606	0.03140222070506782	187	5.872215271847682																																								
181																					128	-0.1552050572262175	0.03391876038097089	187	6.342808191241557																																								
182																					81	0.15480268409992137	0.034389912858822466	187	6.430913704599801																																								
183																					245	0.15426724895828672	0.03502546340142111	187	6.549761656065748																																								
184																					2	0.1530190128965382	0.036545807265813295	187	6.834065958707086																																								
185																					47	-0.1521259233492619	0.03766749559666499	187	7.0438216765763535																																								
186																					69	-0.15154184136597335	0.03841668563961599	187	7.18392021460819																																								
187																					207	0.15104629489218122	0.03906212701966902	187	7.304617752678107																																								
188																					58	-0.1504631999662496	0.03983327394178526	187	7.448822227113844																																								
189																					95	-0.1498590584770291	0.04064572933423904	187	7.6007513855027																																								
190																					42	0.14955137214765002	0.04106483524610791	187	7.679124191022179																																								
191																					160	0.1495228035824515	0.04110393266116934	187	7.686435407638666																																								
192																					104	0.14867521791058283	0.04227820299436689	187	7.906023959946608																																								
193																					262	0.14805788645253262	0.04315108048451247	187	8.069252050603833																																								
194																					248	0.14774221705729998	0.04360322760309668	187	8.153803561779078																																								
195																					281	-0.14714600933434835	0.044468031925184656	187	8.31552197000953																																								
196																					59	-0.14426067810588497	0.04885857550807451	187	9.136553620009932																																								
