	Unnamed: 0	свой_DET	свой_DET.1	свой_DET.2	свой_DET.3	свой_DET.4	они_PRON	они_PRON.1	они_PRON.2	они_PRON.3	они_PRON.4	он_PRON	он_PRON.1	он_PRON.2	он_PRON.3	он_PRON.4	хотеть_VERB	хотеть_VERB.1	хотеть_VERB.2	хотеть_VERB.3	хотеть_VERB.4	время_NOUN	время_NOUN.1	время_NOUN.2	время_NOUN.3	время_NOUN.4	очень_ADV	очень_ADV.1	очень_ADV.2	очень_ADV.3	очень_ADV.4	она_PRON	она_PRON.1	она_PRON.2	она_PRON.3	она_PRON.4	мочь_VERB	мочь_VERB.1	мочь_VERB.2	мочь_VERB.3	мочь_VERB.4	мой_DET	мой_DET.1	мой_DET.2	мой_DET.3	мой_DET.4	мы_PRON	мы_PRON.1	мы_PRON.2	мы_PRON.3	мы_PRON.4	потом_ADV	потом_ADV.1	потом_ADV.2	потом_ADV.3	потом_ADV.4	знать_VERB	знать_VERB.1	знать_VERB.2	знать_VERB.3	знать_VERB.4	первый_ADJ	первый_ADJ.1	первый_ADJ.2	первый_ADJ.3	первый_ADJ.4	хороший_ADJ	хороший_ADJ.1	хороший_ADJ.2	хороший_ADJ.3	хороший_ADJ.4	еще_ADV	еще_ADV.1	еще_ADV.2	еще_ADV.3	еще_ADV.4	ждать_VERB	ждать_VERB.1	ждать_VERB.2	ждать_VERB.3	ждать_VERB.4	день_NOUN	день_NOUN.1	день_NOUN.2	день_NOUN.3	день_NOUN.4	видеть_VERB	видеть_VERB.1	видеть_VERB.2	видеть_VERB.3	видеть_VERB.4	жить_VERB	жить_VERB.1	жить_VERB.2	жить_VERB.3	жить_VERB.4
	Unnamed: 0	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim.1	Pearson C.1	P-value.1	Occ.1	P-Bonferroni.1	Dim.2	Pearson C.2	P-value.2	Occ.2	P-Bonferroni.2	Dim.3	Pearson C.3	P-value.3	Occ.3	P-Bonferroni.3	Dim.4	Pearson C.4	P-value.4	Occ.4	P-Bonferroni.4	Dim.5	Pearson C.5	P-value.5	Occ.5	P-Bonferroni.5	Dim.6	Pearson C.6	P-value.6	Occ.6	P-Bonferroni.6	Dim.7	Pearson C.7	P-value.7	Occ.7	P-Bonferroni.7	Dim.8	Pearson C.8	P-value.8	Occ.8	P-Bonferroni.8	Dim.9	Pearson C.9	P-value.9	Occ.9	P-Bonferroni.9	Dim.10	Pearson C.10	P-value.10	Occ.10	P-Bonferroni.10	Dim.11	Pearson C.11	P-value.11	Occ.11	P-Bonferroni.11	Dim.12	Pearson C.12	P-value.12	Occ.12	P-Bonferroni.12	Dim.13	Pearson C.13	P-value.13	Occ.13	P-Bonferroni.13	Dim.14	Pearson C.14	P-value.14	Occ.14	P-Bonferroni.14	Dim.15	Pearson C.15	P-value.15	Occ.15	P-Bonferroni.15	Dim.16	Pearson C.16	P-value.16	Occ.16	P-Bonferroni.16	Dim.17	Pearson C.17	P-value.17	Occ.17	P-Bonferroni.17	Dim.18	Pearson C.18	P-value.18	Occ.18	P-Bonferroni.18
0	0	242_отдых-работа	0.1769000058875412	0.00885615870872782	218.0	1.9306425985026652	250_быт-война	0.18922311087055274	0.02171018017030377	147.0	3.191396485034655	48_отдаление-приближение	0.20057326127105776	0.007432795091317655	177.0	1.3156047311632246	237_низшие_слои-высшие_слои	0.18730274396649116	0.04697390030580667	113.0	5.308050734556153	249_порыв-покой	-0.2540781027216474	0.016906917678762852	88.0	1.4878087557311308	5_польза-вред	0.22367687135755268	0.01326324187159583	122.0	1.6181155083346916	142_равенство-иерархия	-0.16095750988884744	0.008053215297907486	270.0	2.1743681304350213	261_болезнь-здоровье	-0.2910705494047596	0.0005863465057729619	136	0.07974312478512281	217_завоевание-бегство	0.2607768935989331	0.03172428135184446	68.0	2.1572511319254235	37_низ-верх	-0.24692155174507205	0.04081515118599013	69.0	2.816245431833319	72_недостаток-достоинство	0.26484116452105233	0.04649018936742385	57.0	2.64994079394316	283_героизм-малодушие	-0.23799527475451746	0.045651004043060335	71.0	3.241221287057284	156_физический_труд-умственный_труд	-0.3112795457669893	0.04217016522910444	43.0	1.813317104851491	135_запрет-толчок	-0.2551016398256512	0.02718697206500877	75.0	2.0390229048756576	235_процесс-итог	0.2981909640225033	0.012167596806785507	70.0	0.8517317764749855	88_лишение-наделение	-0.5209959527016814	0.001878900271117227	33.0	0.062003708946868484	156_физический_труд-умственный_труд	-0.4197287154761422	0.016779427647161862	32.0	0.5369416847091796	80_сон-бодрствование	-0.19645684110235884	0.04457902626215025	105.0	4.680797757525776	161_холодное_отношение-тёплое_отношение	-0.3563377587969812	0.0035747754403794726	65.0	0.23236040362466576
1	1	293_соблюдение_закона-правонарушение	-0.1452524479811252	0.03205864124311751	218.0	6.9887837909996176	299_веселье-грусть	-0.1871612394243181	0.023211554072786002	147.0	3.4120984486995423	281_домоседство-путешествие	-0.1879107212903464	0.012257981912799042	177.0	2.1696627985654304	149_нищета-состояние	-0.1861366709426749	0.04838782118382118	113.0	5.467823793771792	9_трудности-отсутствие_проблем	0.2416845654604673	0.023297094804554632	88.0	2.050144342800808	248_спор-согласие	-0.2069732027799391	0.022173267951603882	122.0	2.7051386900956738	83_речь-текст	-0.14958013374019646	0.013881852380277941	270.0	3.7481001426750438	25_скрытность-прозрачность	0.25373114670916297	0.002876729930882461	136	0.3912352706000147	12_частное-общее	0.2525128933169933	0.037758589971501465	68.0	2.5675841180621	46_идея-реализация	-0.2403525447936984	0.04666701202884218	69.0	3.2200238299901103	113_скрытность-прозрачность	0.26182927375605625	0.049132040710608615	57.0	2.800526320504691	149_нищета-состояние	-0.2356793775751548	0.04786244431718011	71.0	3.398233546519788											234_холодное_отношение-тёплое_отношение	-0.28709523821007016	0.01596445599714234	70.0	1.1175119197999641	80_сон-бодрствование	0.4869929941838792	0.004051011666433606	33.0	0.133683384992309											11_приобретение-постоянное_местонахождение	-0.33699583967286895	0.006050676454342867	65.0	0.3932939695322864
2	2	240_осторожность-риск	0.14317875982011005	0.03462192012564893	218.0	7.5475785873914685	247_радостное_событие_грустное_событие	0.186434024953014	0.023761953488582083	147.0	3.4930071628215664	279_соблюдение_закона-правонарушение	-0.1780821688645112	0.017719399775376166	177.0	3.1363337602415813						109_убожество-роскошь	-0.2369226190388764	0.026249649632101368	88.0	2.3099691676249203						229_закрытие-открытие	0.1311573253754407	0.031204810306687675	270.0	8.425298782805672	256_фильм-жизнь	0.2476670211128232	0.0036486523962711813	136	0.4962167258928805	262_серьезность-шутка	-0.2520111089532159	0.038153787377193896	68.0	2.5944575416491853	284_учеба-производство	0.2397684046492293	0.04721920005796333	69.0	3.2581248039994697						229_закрытие-открытие	0.23434165522098685	0.04917945284221439	71.0	3.4917411517972217											27_труд-фортуна	0.2747200421818345	0.021359827996108013	70.0	1.4951879597275612	40_уклад_жизни-дисциплина	0.4647948697496554	0.006425751940666237	33.0	0.21204981404198586											101_фиксация-пересмотр	0.3334073022140773	0.006647891940690228	65.0	0.4321129761448648
3	3	213_обозрение-сокрытие	-0.14238319153655607	0.035650443509733544	218.0	7.771796685121911	282_путешествие-домоседство	0.18447379507586548	0.02530169486981548	147.0	3.719349145862875	226_человек-транспорт	0.1712926703475278	0.022629675873385182	177.0	4.005452629589176						193_порядок-беспорядок	-0.23539291292393102	0.027263111036854352	88.0	2.399153771243183						288_радость-недовольство	-0.12835240320369054	0.035032118052068566	270.0	9.458671874058515	9_трудности-отсутствие_проблем	-0.2472141228892409	0.00371317185122857	136	0.5049913717670856	218_трусость-мужество	-0.25116945863073603	0.03882437066879108	68.0	2.640057205477793																										55_армия-гражданская_жизнь	0.26413932389639816	0.02713577054455207	70.0	1.8995039381186447	145_высказывание-умалчивание	-0.4628002092963385	0.006688021244328473	33.0	0.2207047010628396											274_единство-разрозренность	-0.3299475890340872	0.007272011753679594	65.0	0.4726807639891735
4	4	39_целостность-пустота	0.140366576646784	0.03837410998368986	218.0	8.365555976444389	295_прощение-мстительность	-0.18329218746088086	0.0262705075409772	147.0	3.861764608523648	111_нежелание-желание	-0.1705196959264338	0.02325685467885475	177.0	4.1164632781572905						69_труд-месть	-0.23396792955090145	0.02823684238817678	88.0	2.4848421301595565						221_получение_денег-отсутствие_денег	0.12074475504886535	0.04746901466688559	270.0	12.816633960059105	206_расслабление-напряжение	-0.2465081520874149	0.003815790451828875	136	0.518947501448727	14_изобилие-недостаток	-0.2462366516591713	0.04295407920105795	68.0	2.9208773856719414																										298_очевидный-скрытый	-0.24972457142471824	0.03708001419851737	70.0	2.5956009938962157	221_получение_денег-отсутствие_денег	0.4623032541606466	0.0067547682798778435	33.0	0.22290735323596886											49_развитие-откат	0.32284165833390904	0.008716694199580993	65.0	0.5665851229727645
5	5	104_неподвижность-подвижность	0.13845162333118294	0.0411210374230962	218.0	8.964386158234973	134_физическое-абстрактное	0.18274588589152588	0.02672904335272223	147.0	3.9291693728501675	170_спокойствие-суматоха	-0.1698576210109214	0.023805890649877433	177.0	4.213642645028305						16_воля-неволя	-0.2326845727973969	0.029138837047158424	88.0	2.5642176601499407											139_свобода-неволя	0.2460341189216877	0.0038861174849997367	136	0.5285119779599643																																				5_польза-вред	0.4419372351035992	0.010025314523484112	33.0	0.3308353792749757											126_путешествие-конец_движения	-0.3212351790462402	0.009076013088252259	65.0	0.5899408507363968
6	6	38_личное-общее	-0.1383586419787632	0.041258522232716935	218.0	8.994357846732294	169_потеря-приобретение	-0.17985187260286584	0.029273827307790688	147.0	4.303252614245231	129_успех-беда	-0.1698371426037241	0.02382304891084036	177.0	4.216679657218744						77_природные_процессы-военные_процессы	0.23217917568760385	0.02950067569583168	88.0	2.5960594612331875											125_разработка-разрушение	0.2399294601088844	0.004901693342285981	136	0.6666302945508934																																				208_неживая_природа-живая_природа	0.4295093685348973	0.01261477880053762	33.0	0.4162877004177415											57_улица-дом	-0.31777729557417805	0.00989347391581808	65.0	0.6430758045281753
7	7	244_смерть-жизнь	0.13495073805288768	0.04657091858839201	218.0	10.152460252269458	285_опасность-безопасность	-0.1791179956164608	0.02995099985741795	147.0	4.402796979040438	207_фантастика-реальность	0.1689668799771082	0.0245621118851352	177.0	4.3474938036689315						111_нежелание-желание	0.22677323749341105	0.03361429766142158	88.0	2.9580581942050994											171_работа-отдых	0.23676190410872824	0.005517106832429893	136	0.7503265292104655																																				205_отдых-рабочий_процесс	-0.4208924048077332	0.014722900692474753	33.0	0.4858557228516669											142_равенство-иерархия	0.31721218874934143	0.010032980267317606	65.0	0.6521437173756444
8	8						141_микробиология-неопределенная_тема	0.17854524966494376	0.03048870736302105	147.0	4.481839982364094	262_серьезность-шутка	0.1673971041000363	0.025945093103155032	177.0	4.592281479258442						200_природа-техника	-0.21821373868579072	0.04110776678204942	88.0	3.6174834768203485											4_праздник-быт	0.23487153412821046	0.005916402552838682	136	0.8046307471860608																																				259_процесс-итог	-0.41436563038273344	0.01650938316732715	33.0	0.544809644521796											219_соблюдение_закона-правонарушение	0.3085139915039829	0.012406150621044758	65.0	0.8063997903679093
