	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	242	0.1769000058875412	0.00885615870872782	218.0	1.930642598502665	250	0.18922311087055274	0.021710180170303774	147.0	3.191396485034655	48	0.20057326127105776	0.007432795091317654	177.0	1.3156047311632246	237	0.18730274396649113	0.04697390030580667	113.0	5.308050734556153	249	-0.2540781027216474	0.016906917678762852	88.0	1.487808755731131	5	0.22367687135755268	0.013263241871595832	122.0	1.6181155083346916	142	-0.16095750988884744	0.008053215297907486	270.0	2.1743681304350213	261	-0.29107054940475957	0.0005863465057729619	136	0.07974312478512281	217	0.2607768935989331	0.03172428135184446	68.0	2.1572511319254235	37	-0.24692155174507205	0.040815151185990134	69.0	2.816245431833319	72	0.26484116452105233	0.04649018936742385	57.0	2.6499407939431596	283	-0.23799527475451743	0.045651004043060335	71.0	3.2412212870572836	156	-0.3112795457669893	0.04217016522910444	43.0	1.813317104851491	135	-0.2551016398256512	0.02718697206500877	75.0	2.0390229048756576	235	0.2981909640225033	0.012167596806785507	70.0	0.8517317764749855	88	-0.5209959527016814	0.001878900271117227	33.0	0.06200370894686849	156	-0.4197287154761422	0.016779427647161862	32.0	0.5369416847091796	80	-0.19645684110235884	0.04457902626215025	105.0	4.6807977575257755	161	-0.3563377587969812	0.0035747754403794734	65.0	0.23236040362466578
1	293	-0.1452524479811252	0.03205864124311751	218.0	6.9887837909996176	299	-0.18716123942431812	0.023211554072786	147.0	3.412098448699542	281	-0.18791072129034642	0.012257981912799042	177.0	2.1696627985654304	149	-0.18613667094267486	0.04838782118382118	113.0	5.467823793771793	9	0.24168456546046732	0.023297094804554632	88.0	2.0501443428008077	248	-0.2069732027799391	0.022173267951603882	122.0	2.7051386900956738	83	-0.14958013374019644	0.013881852380277941	270.0	3.748100142675044	25	0.25373114670916297	0.002876729930882461	136	0.39123527060001473	12	0.25251289331699334	0.037758589971501465	68.0	2.5675841180620997	46	-0.2403525447936984	0.04666701202884218	69.0	3.2200238299901103	113	0.26182927375605625	0.049132040710608615	57.0	2.800526320504691	149	-0.2356793775751548	0.04786244431718011	71.0	3.398233546519788											234	-0.28709523821007016	0.01596445599714234	70.0	1.117511919799964	80	0.48699299418387915	0.004051011666433606	33.0	0.133683384992309											11	-0.336995839672869	0.006050676454342867	65.0	0.39329396953228635
2	240	0.14317875982011005	0.03462192012564893	218.0	7.547578587391467	247	0.18643402495301398	0.023761953488582083	147.0	3.4930071628215664	279	-0.1780821688645112	0.017719399775376166	177.0	3.1363337602415813						109	-0.2369226190388764	0.026249649632101368	88.0	2.3099691676249203						229	0.1311573253754407	0.031204810306687675	270.0	8.425298782805672	256	0.2476670211128232	0.0036486523962711804	136	0.4962167258928805	262	-0.2520111089532159	0.038153787377193896	68.0	2.594457541649185	284	0.2397684046492293	0.04721920005796333	69.0	3.2581248039994697						229	0.23434165522098685	0.04917945284221439	71.0	3.4917411517972217											27	0.27472004218183455	0.021359827996108013	70.0	1.495187959727561	40	0.46479486974965534	0.006425751940666237	33.0	0.21204981404198583											101	0.33340730221407733	0.006647891940690228	65.0	0.4321129761448648
3	213	-0.14238319153655607	0.035650443509733544	218.0	7.771796685121912	282	0.18447379507586548	0.025301694869815476	147.0	3.719349145862875	226	0.1712926703475278	0.02262967587338518	177.0	4.005452629589176						193	-0.235392912923931	0.027263111036854352	88.0	2.399153771243183						288	-0.12835240320369054	0.03503211805206857	270.0	9.458671874058515	9	-0.24721412288924086	0.0037131718512285706	136	0.5049913717670856	218	-0.251169458630736	0.03882437066879108	68.0	2.6400572054777935																										55	0.26413932389639816	0.027135770544552067	70.0	1.8995039381186447	145	-0.46280020929633847	0.006688021244328473	33.0	0.2207047010628396											274	-0.32994758903408716	0.007272011753679593	65.0	0.4726807639891735
4	39	0.140366576646784	0.03837410998368986	218.0	8.36555597644439	295	-0.18329218746088083	0.026270507540977196	147.0	3.861764608523648	111	-0.1705196959264338	0.02325685467885475	177.0	4.1164632781572905						69	-0.23396792955090145	0.02823684238817678	88.0	2.4848421301595565						221	0.12074475504886534	0.047469014666885585	270.0	12.816633960059107	206	-0.24650815208741486	0.0038157904518288754	136	0.518947501448727	14	-0.2462366516591713	0.042954079201057954	68.0	2.920877385671941																										298	-0.24972457142471824	0.03708001419851737	70.0	2.595600993896216	221	0.4623032541606466	0.0067547682798778435	33.0	0.22290735323596883											49	0.32284165833390904	0.008716694199580993	65.0	0.5665851229727645
5	104	0.13845162333118294	0.0411210374230962	218.0	8.964386158234973	134	0.18274588589152588	0.02672904335272223	147.0	3.929169372850168	170	-0.1698576210109214	0.02380589064987743	177.0	4.213642645028305						16	-0.23268457279739688	0.029138837047158424	88.0	2.564217660149941											139	0.2460341189216877	0.003886117484999737	136	0.5285119779599643																																				5	0.44193723510359917	0.010025314523484112	33.0	0.3308353792749757											126	-0.3212351790462402	0.009076013088252259	65.0	0.5899408507363968
6	38	-0.1383586419787632	0.041258522232716935	218.0	8.994357846732292	169	-0.17985187260286586	0.029273827307790688	147.0	4.303252614245231	129	-0.1698371426037241	0.023823048910840357	177.0	4.2166796572187435						77	0.23217917568760382	0.029500675695831678	88.0	2.5960594612331875											125	0.23992946010888438	0.004901693342285981	136	0.6666302945508934																																				208	0.4295093685348973	0.01261477880053762	33.0	0.4162877004177415											57	-0.31777729557417805	0.009893473915818081	65.0	0.6430758045281753
7	244	0.13495073805288768	0.04657091858839201	218.0	10.152460252269458	285	-0.1791179956164608	0.02995099985741795	147.0	4.402796979040439	207	0.1689668799771082	0.024562111885135202	177.0	4.347493803668931						111	0.22677323749341105	0.033614297661421585	88.0	2.9580581942050994											171	0.23676190410872824	0.005517106832429893	136	0.7503265292104655																																				205	-0.4208924048077332	0.014722900692474753	33.0	0.48585572285166684											142	0.31721218874934143	0.010032980267317606	65.0	0.6521437173756444
8						141	0.17854524966494376	0.030488707363021048	147.0	4.481839982364094	262	0.1673971041000363	0.025945093103155032	177.0	4.592281479258441						200	-0.21821373868579072	0.04110776678204942	88.0	3.617483476820349											4	0.23487153412821044	0.005916402552838682	136	0.8046307471860608																																				259	-0.41436563038273344	0.01650938316732715	33.0	0.544809644521796											219	0.3085139915039829	0.012406150621044758	65.0	0.8063997903679093
