	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni	Word	T-Stat	P-value	Occ(м)	Occ(ж)	Occ	P-Bonferroni
0	о_ADP	-3.5062273848941845	0.0005446835553991513	0.0	18.0	18.0	2.7190603085525633	но_CCONJ	-2.7084125795209015	0.007136543034810804	2.0	17.0	19.0	14.073262864646905	же_PART	-2.707005869645244	0.007289867478500602	0.0	8.0	8.0	10.737974795831388	но_CCONJ	-3.2605694861691386	0.0012316347365228057	7.0	40.0	47.0	2.8105904687450427	возможно_ADV	-2.631636841875856	0.009062470647929765	0.0	7.0	7.0	12.823395966820618	еще_ADV	-2.1802410401996317	0.03023664969135965	0.0	6.0	6.0	39.97285089197746	что_SCONJ	-3.320484417028444	0.0010132954882812837	5.0	41.0	47.0	1.4692784580078613	человек_NOUN	-3.2525954897122795	0.0013122651712883459	0.0	13.0	13.0	2.688831335969821	мочь_VERB	-4.155358368036831	4.172159910770188e-05	2	38	40	0.09646033713700675	что_PRON	-3.61693016958239	0.0003500222089796308	2.0	23.0	25.0	0.38362434104167537	она_PRON	-4.829382207139773	2.2264627264045513e-06	2.0	38.0	40.0	0.002941157261580412	в_ADP	-3.1626640749406705	0.0017702252772130874	0.0	10.0	10.0	2.8022666138283174	жизнь_NOUN	-2.5674808523442914	0.010866793031610459	0.0	8.0	8.0	25.243560212431095	не_PART	-4.522248947459528	8.886929788642601e-06	2.0	33.0	36.0	0.010939810569819042	она_PRON	-2.6695058368136815	0.008128431821409406	0.0	7.0	7.0	6.405204275270612	и_CCONJ	-3.029676408889041	0.0026518751648083655	1.0	21.0	22.0	2.5431482830512224	что_SCONJ	-2.1941848779057396	0.029205926213530704	0.0	5.0	5.0	18.63338092423259	и_CCONJ	-2.6638629578401343	0.008145457291077273	5.0	27.0	33.0	9.090330336842237	не_PART	-3.1148644982751805	0.002006928660988192	1.0	19.0	20.0	2.50866082623524	она_PRON	-3.2911250677096997	0.0011520046370018242	0.0	13.0	13.0	1.6393025984535958	в_ADP	-2.6595973121692698	0.008364056811913882	0.0	7.0	7.0	3.5045398041919165	же_PART	-1.9907244154981876	0.04767449954789162	0.0	5.0	5.0	36.75703915142444	каждый_DET	-2.8401862812384233	0.004905768489319823	0.0	9.0	9.0	4.738972360682949	девушка_NOUN	-3.034711815151911	0.002679708816382479	0.0	12.0	12.0	1.9615468535919744	она_PRON	-3.5336980413064825	0.0004771414407606212	1.0	18.0	19.0	0.35976464633350835	мочь_VERB	-2.4124685861817916	0.016615300220896086	0.0	6.0	6.0	8.540264313540588
1	старушка_NOUN	-3.1078693258388594	0.0021176084349879233	0.0	15.0	15.0	10.571101307459713	год_NOUN	-2.5364045046323778	0.01185127188901808	0.0	8.0	9.0	23.370708165143654	то_DET	-2.6694714732257725	0.008129238549174729	0.0	8.0	8.0	11.974368382934376	по_ADP	-2.9753550171617715	0.0032333223563792354	0.0	16.0	16.0	7.378441617257415	все_PRON	-2.5015149586239427	0.01305074630684169	0.0	8.0	8.0	18.46680602418099	бы_AUX	-2.1044779176418884	0.03640382852902307	0.0	5.0	5.0	48.125861315368496	очень_ADV	-3.1594728528041713	0.0017889145512455307	0.0	13.0	13.0	2.5939260993060196	он_PRON	-3.1432556738221504	0.0018592433867325793	1.0	15.0	16.0	3.809589699415055	мама_NOUN	-3.9071650224011467	0.00012227825663572956	0	20	20	0.28270732934180676	жизнь_NOUN	-2.7955680398571947	0.005611023010966736	0.0	9.0	9.0	6.149681220019542	женщина_NOUN	-3.287060619600516	0.0011680084342204184	0.0	12.0	12.0	1.5429391416051728	молодой_ADJ	-2.6514756448252497	0.008561756618739877	0.0	7.0	8.0	13.553260727465226	к_ADP	-2.2213760867866053	0.027283225250866162	0.0	6.0	6.0	63.378932257762095	его_DET	-2.883592212248609	0.0042980818851156835	0.0	10.0	10.0	5.290938800577407	что_SCONJ	-2.4293830247254555	0.01587843396905373	0.0	7.0	7.0	12.51220596761434	он_PRON	-2.9648723903579914	0.003341358624370601	0.0	10.0	10.0	3.204362920771406								свой_DET	-2.5567321957891185	0.01119870445200721	0.0	8.0	9.0	12.497754168440046	как_SCONJ	-2.459186753331625	0.014650196775563989	0.0	7.0	7.0	18.312745969454987	в_ADP	-3.270182383031347	0.0012367040956670107	0.0	11.0	11.0	1.7598299281341563	-_DET	-2.3642924568318224	0.01888223863416946	0.0	6.0	6.0	7.911657987717003								на_ADP	-2.760159976972591	0.0062348876512719345	0.0	9.0	9.0	6.022901471128689	она_PRON	-2.6374954599261544	0.008786002594287924	2.0	14.0	16.0	6.43135389901876	как_ADV	-2.4821257303400333	0.013763038679427016	0.0	9.0	9.0	10.37733116428797							
2	по_ADP	-2.853278017958057	0.0047147167266920345	0.0	11.0	11.0	23.535865899646637	старость_NOUN	-2.478584673161911	0.01389679353530802	0.0	7.0	7.0	27.404476851627415	глаз_NOUN	-2.667892142538685	0.008166393214889225	0.0	9.0	10.0	12.02909720553183	мама_NOUN	-2.833677008761816	0.005003360131578994	0.0	11.0	11.0	11.417667820263265	себя_PRON	-2.3148358293006597	0.02148833827990206	0.0	6.0	6.0	30.405998666061414	но_CCONJ	-2.067174022547125	0.039515491317891754	2.0	12.0	14.0	52.2394795222529	сторона_NOUN	-3.1336090306544233	0.0019472562874525336	0.0	14.0	14.0	2.8235216168061736	нее_PRON	-2.9316992353589337	0.0037054178196427477	0.0	9.0	9.0	7.59240111244799	и_PART	-3.8782483338300584	0.00013060470505953036	2	25	27	0.3019580780976342	изобразить_VERB	-2.7481694742618696	0.00643338953799785	1.0	11.0	12.0	7.050994933645644	по_ADP	-2.614343107126513	0.009520248883767398	0.0	8.0	8.0	12.576248775456733	я_PRON	-2.4653134883674355	0.014408413496417595	0.0	6.0	6.0	22.808518564829054	картина_NOUN	-2.177101419141206	0.030200125156251662	3.0	14.0	17.0	70.15489073797261	этот_DET	-2.6733837555064164	0.007940831332349968	1.0	24.0	25.0	9.77516337012281	они_PRON	1.9866212574597033	0.04968968897556447	6.0	3.0	9.0	39.15547491274481	но_CCONJ	-2.6214377901685837	0.00922003053647966	1.0	11.0	12.0	8.842009284483995								вспоминать_VERB	-2.4594628079907306	0.014639225694392112	0.0	6.0	6.0	16.337375874941596	она_PRON	-2.329046391127354	0.020475895262983844	1.0	14.0	15.0	25.594869078729804	я_PRON	-3.194071250956172	0.001595690098502606	0.0	10.0	10.0	2.270667010169208	какой_DET	-2.3642924568318224	0.01888223863416946	0.0	6.0	6.0	7.911657987717003								не_PART	-2.394636241006381	0.017424725614287664	0.0	7.0	7.0	16.832284943401884	старушка_NOUN	-2.536568392676442	0.011845877767931414	0.0	7.0	7.0	8.671182526125795														
3	мысль_NOUN	-2.7452240004905066	0.0065164022757997955	0.0	12.0	12.0	32.52988016079258	нее_PRON	-2.420411003515617	0.016265611414703052	0.0	6.0	6.0	32.07578570979442	жизнь_NOUN	-2.5468751996237766	0.011511016198659288	0.0	7.0	7.0	16.95572686062513	него_PRON	-2.6807415364087155	0.007811434795305617	1.0	15.0	16.0	17.82569420288742	помочь_VERB	-2.1477345130351386	0.03276238201727118	0.0	5.0	5.0	46.35877055443871								смотреть_VERB	-3.054961825696628	0.0025117508558690524	0.0	12.0	12.0	3.642038741010126	лицо_NOUN	-2.8154722298300072	0.005285751492335909	0.0	10.0	10.0	10.830504807796277	этот_DET	-3.8129310644858827	0.0001663108990020943	3	38	41	0.38451079849284203	не_PART	-2.5848174476376102	0.010284033454970663	4.0	33.0	37.0	11.271300666647846	с_ADP	-2.4279881380955333	0.015728854590968573	1.0	13.0	14.0	20.777816914669486	что_SCONJ	-2.250395184721166	0.025353465428503235	0.0	5.0	5.0	40.13453577332062								все_PRON	-2.6457315670161585	0.00870410847973835	0.0	8.0	8.0	10.714757538557908								это_PRON	-2.5469912380454893	0.01150729480668752	0.0	7.0	7.0	11.035495719613332								прожить_VERB	-2.208448081381827	0.028025634492059918	1.0	7.0	8.0	31.27660809313887	о_ADP	-2.243031111883031	0.025831566899512298	0.0	5.0	5.0	32.28945862439037	он_PRON	-2.9602302998596257	0.003390249815916165	0.0	10.0	10.0	4.824325488048703	-_PRON	-2.193790217494326	0.029234675552414956	0.0	5.0	5.0	12.249329056461866															он_PRON	-2.232858763627857	0.026366430440921445	1.0	9.0	10.0	19.300227082754496														
4	я_PRON	-2.7084999679804884	0.007122536882279358	2.0	17.0	19.0	35.55570411633855	она_PRON	-2.3977741660654077	0.017323799678336395	12.0	62.0	74.0	34.16253296567937	друга_PRON	-2.442021566888232	0.015346873996894514	0.0	7.0	7.0	22.605945397425618	себя_PRON	-2.5732423097200177	0.010551339645605706	1.0	17.0	18.0	24.07815707127222	старушка_NOUN	-2.134922965528192	0.03380667194493607	0.0	5.0	5.0	47.83644080208454								-_PRON	-2.731113948166233	0.006724833684329173	1.0	13.0	14.0	9.751008842277301	её_DET	-2.624345388875359	0.00925301339879155	0.0	8.0	8.0	18.959424454123884	о_ADP	-3.3715545513228378	0.0008484736863611471	4	44	48	1.9616711628669723	мочь_VERB	-2.547787320278366	0.011481793137686554	0.0	8.0	8.0	12.584045278904464	сделать_VERB	-2.4036210598863397	0.017012647431768908	0.0	8.0	8.0	22.473707257366726	человек_NOUN	-2.052465182470505	0.041237098674688395	0.0	5.0	5.0	65.27832720203173								за_ADP	-2.620879076323984	0.00934485186104071	0.0	8.0	8.0	11.503512640941114								делать_VERB	-2.10727998189678	0.0361578479710824	0.0	5.0	5.0	34.67537620426803								он_PRON	-2.0553003439037987	0.04071528057856893	1.0	8.0	9.0	45.43825312568293	чем_SCONJ	-2.158892305600192	0.031875659005334366	0.0	5.0	5.0	39.844573756667955	у_ADP	-2.7240094919643063	0.006936046090174007	0.0	8.0	8.0	9.869993586317612																						юношу_NOUN	-2.191083837225637	0.029432484943032425	0.0	5.0	5.0	21.544578978299736														
5	вот_PART	-2.6981510077997526	0.00748050710024027	0.0	9.0	9.0	37.34269144439943	тот_DET	-2.379415497702488	0.018142931388489457	0.0	8.0	8.0	35.77786069810121	они_PRON	-2.217066366308594	0.027345364832860836	1.0	10.0	11.0	40.27972239880401	старуха_NOUN	-2.47677002445087	0.013965784086732387	0.0	7.0	7.0	31.869919285923306	девушка_NOUN	-2.129475944263817	0.034259272664858946	0.0	5.0	5.0	48.47687082077541								то_PRON	-2.559250846256967	0.011046683889245018	1.0	12.0	13.0	16.017691639405275	глаз_NOUN	-2.5372390710614066	0.011823826251983109	0.0	8.0	8.0	24.22701999031339	еще_ADV	-3.2454068203979527	0.0013443678641763487	0	13	13	3.1081785019757184	я_PRON	-2.456606352790551	0.014783293103280639	10.0	53.0	63.0	16.20248924119558	очень_ADV	-2.3866087137289567	0.017800323415973106	0.0	7.0	7.0	23.514227232500474															такой_DET	-2.5196636502320806	0.012291120574244101	1.0	12.0	13.0	15.130369426894488								думать_VERB	-2.106597473565015	0.03621763055591428	0.0	5.0	5.0	34.7327077031218															только_PART	-2.1039012364152394	0.03645463046420638	0.0	5.0	5.0	45.56828808025798	время_NOUN	-2.3692381251206363	0.01863759743540537	0.0	6.0	6.0	26.52130115058184																						они_PRON	-2.1122098964159957	0.035728533806451364	0.0	5.0	6.0	26.153286746322397														
6	нравиться_VERB	-2.5698918527736536	0.01079356220576236	0.0	7.0	7.0	53.8814625311657	прожить_VERB	-2.366424309136565	0.018776440485608732	0.0	7.0	7.0	37.02714063762042	и_PART	-2.2058614624697754	0.028366344923076162	0.0	5.0	5.0	41.78362607169119	его_DET	-2.435240988718749	0.015426339577725316	2.0	24.0	26.0	35.20290691636917	в_ADP	-2.01937323187472	0.04446218184822152	2.0	19.0	21.0	62.91398731523345								молодой_ADJ	-2.5565860902250472	0.01138799078829708	15.0	77.0	92.0	16.512586643030765	старушка_NOUN	-2.4258958578692744	0.016027938995549943	0.0	7.0	7.0	32.84124700188183	-_ADV	-3.1059792201905934	0.002130644552906886	0	15	15	4.9260502063207205	то_PRON	-2.4186676537580007	0.016149671529619273	2.0	14.0	17.0	17.700039996462724	думать_VERB	-2.332201865733786	0.020539385178179506	0.0	8.0	8.0	27.132527820375127															думать_VERB	-2.4817187892291384	0.01377835148439537	0.0	9.0	9.0	16.9611506772907								друга_PRON	-2.0797944307835095	0.03863336161591749	0.0	5.0	5.0	37.04939378966487															они_PRON	-2.003643704497683	0.04616675655184528	1.0	7.0	8.0	57.7084456898066	не_PART	-2.2973842088168386	0.022272351963278945	2.0	17.0	19.0	31.693556843745938																																										
7	когда_SCONJ	-2.5154328137234323	0.012559876188948509	0.0	10.0	10.0	62.69890193523096	себя_PRON	-2.3585918800320345	0.019167724562852376	0.0	7.0	7.0	37.79875283794489								красивый_ADJ	-2.3845171694241185	0.01789934909580542	0.0	8.0	8.0	40.84631463662797															со_ADP	-2.4379010651890343	0.015518418500054696	0.0	6.0	6.0	22.50170682507931	то_PRON	-2.340953417300437	0.01990795505620703	2.0	11.0	13.0	40.7913999101682	уже_ADV	-3.065442162673818	0.0024025891491865907	2	20	22	5.554786112919397	скорее_ADV	-2.4164904252328583	0.016437404837900824	0.0	7.0	7.0	18.015395702339305	взгляд_NOUN	-2.317185286158675	0.02135774689494479	0.0	6.0	6.0	28.213583648222066															я_PRON	-2.4129727381299895	0.016592907511533327	0.0	8.0	8.0	20.425869146697526								так_ADV	-2.0068931904297744	0.04591147151448978	0.0	5.0	5.0	44.0291011823957																						сделать_VERB	-2.2515192719048396	0.025281167880619206	0.0	5.0	5.0	35.97510189412113																																										
8	для_ADP	-2.4980548117226102	0.013175402633569264	0.0	10.0	10.0	65.77160994677777	сила_NOUN	-2.2899077190354045	0.02291760483137337	0.0	6.0	6.0	45.193516727468285								еще_ADV	-2.371943112418114	0.01850497742612884	0.0	10.0	10.0	42.22835848642601															если_SCONJ	-2.388813002850151	0.017696482943245148	0.0	7.0	7.0	25.659900267705464	с_ADP	-2.2904512325675475	0.022885576885548722	0.0	6.0	6.0	46.89254703848933	стоить_VERB	-3.0668472346637237	0.002417740195587961	0	13	13	5.5898153321993655	или_CCONJ	-2.298455645632326	0.022418408165682073	0.0	7.0	8.0	24.570575349587553	и_PART	-2.2711494327778197	0.023859257401179182	1.0	11.0	12.0	31.5180790269577															они_PRON	-2.4107044323261393	0.016693868301204718	0.0	7.0	7.0	20.55015187878301								друг_PRON	-2.0002362543930876	0.046630529210745834	0.0	5.0	5.0	44.718677513105256																						парень_NOUN	-2.2418157475620424	0.025911222390952775	0.0	5.0	5.0	36.8716694623258																																										
