,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
783,находится,находиться,VERB,ROOT,[],"[760, 773, 809, 818]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
793,под,под,ADP,case,"[809, 783]",[],
797,глубочайшим,глубокий,ADJ,amod,"[809, 783]",[],Case=Ins|Degree=Pos|Gender=Neut|Number=Sing
809,сомнением,сомнение,NOUN,obl,[783],"[793, 797]",Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
818,.,.,PUNCT,punct,[783],[],
820,Ведь,ведь,PART,parataxis,[846],[824],
824,",",",",PUNCT,punct,"[820, 846]",[],
826,с,с,ADP,case,"[834, 846]",[],
828,одной,одной,NUM,nummod,"[834, 846]",[],Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
834,стороны,сторона,NOUN,obl,[846],"[826, 828]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
842,или,или,CCONJ,cc,[846],[],
846,влечет,влечь,VERB,ROOT,[],"[820, 834, 842, 853, 926, 985]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
853,сила,сила,NOUN,obj,[846],[879],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
858,какого,какой,DET,det,"[879, 853, 846]",[],Case=Gen|Gender=Neut|Number=Sing
864,-,-,DET,det,"[879, 853, 846]",[],Case=Gen|Gender=Neut|Number=Sing
865,то,то,DET,det,"[879, 853, 846]",[],Case=Gen|Gender=Neut|Number=Sing
868,запретного,запретный,ADJ,amod,"[879, 853, 846]",[],Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
879,желания,желание,NOUN,nmod,"[853, 846]","[858, 864, 865, 868]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
886,",",",",PUNCT,punct,"[926, 846]",[],
888,а,а,CCONJ,cc,"[926, 846]",[],
890,с,с,ADP,case,"[899, 926, 846]",[],
892,другой,другой,ADJ,amod,"[899, 926, 846]",[],Case=Gen|Degree=Pos|Gender=Fem|Number=Sing
899,стороны,сторона,NOUN,obl,"[926, 846]","[890, 892]",Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
907,голос,голос,NOUN,nsubj,"[926, 846]",[916],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
913,из,из,ADP,case,"[916, 907, 926, 846]",[],
916,недр,недр,NOUN,nmod,"[907, 926, 846]","[913, 921]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur
921,души,душа,NOUN,nmod,"[916, 907, 926, 846]",[],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
926,увещевает,увещевать,VERB,conj,[846],"[886, 888, 899, 907, 936, 943]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
936,его,он,PRON,obj,"[926, 846]",[],Case=Acc|Gender=Masc|Number=Sing|Person=Third
940,об,об,ADP,case,"[943, 926, 846]",[],
943,обратном,обратный,ADJ,obl,"[926, 846]","[940, 979]",Case=Loc|Degree=Pos|Gender=Neut|Number=Sing
951,:,:,PUNCT,punct,"[979, 943, 926, 846]",[],
953,"""","""",PUNCT,punct,"[979, 943, 926, 846]",[],
954,Такой,такой,DET,det,"[960, 969, 979, 943, 926, 846]",[],Case=Acc|Gender=Masc|Number=Sing
960,поступок,поступок,NOUN,obj,"[969, 979, 943, 926, 846]",[954],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
969,совершать,совершать,VERB,csubj,"[979, 943, 926, 846]",[960],Aspect=Imp|VerbForm=Inf|Voice=Act
979,нельзя,нельзя,ADV,parataxis,"[943, 926, 846]","[951, 953, 969]",Degree=Pos
985,!,!,PUNCT,punct,[846],[],
986,"""","""",PUNCT,punct,[1003],[],
988,В,в,ADP,case,"[995, 1003]",[],
990,этой,этот,DET,det,"[995, 1003]",[],Case=Loc|Gender=Fem|Number=Sing
995,картине,картина,NOUN,obl,[1003],"[988, 990]",Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
1003,кроется,крыться,VERB,ROOT,[],"[986, 995, 1020, 1027]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
1011,какая,какой,DET,det,"[1020, 1003]",[],Case=Nom|Gender=Fem|Number=Sing
1016,-,-,DET,det,"[1020, 1003]",[],Case=Nom|Gender=Fem|Number=Sing
1017,то,то,DET,det,"[1020, 1003]",[],Case=Nom|Gender=Fem|Number=Sing
1020,загадка,загадка,NOUN,nsubj,[1003],"[1011, 1016, 1017]",Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
1027,.,.,PUNCT,punct,[1003],[],
1029,Навевает,навевать,VERB,ROOT,[],"[1044, 1056, 1072]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
1038,такое,такой,DET,det,"[1044, 1029]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
1044,впечатление,впечатление,NOUN,obj,[1029],[1038],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
1056,глаза,глаз,NOUN,nsubj,[1029],[1067],Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
1062,этих,этот,DET,det,"[1067, 1056, 1029]",[],Case=Gen|Number=Plur
1067,людей,человек,NOUN,nmod,"[1056, 1029]",[1062],Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur
1072,.,.,PUNCT,punct,[1029],[],
1074,Возможно,возможно,ADV,parataxis,[1105],[1082],Degree=Pos
1082,",",",",PUNCT,punct,"[1074, 1105]",[],
1084,этот,этот,DET,det,"[1097, 1105]",[],Case=Nom|Gender=Masc|Number=Sing
1089,молодой,молодой,ADJ,amod,"[1097, 1105]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
1097,человек,человек,NOUN,nsubj,[1105],"[1084, 1089]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
1105,хочет,хотеть,VERB,ROOT,[],"[1074, 1097, 1111, 1170, 1179]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
1111,совершить,совершить,VERB,xcomp,[1105],"[1128, 1143]",Aspect=Perf|VerbForm=Inf|Voice=Act
1121,плохой,плохой,ADJ,amod,"[1128, 1111, 1105]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
1128,поступок,поступок,NOUN,obj,"[1111, 1105]",[1121],Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
1137,из,из,ADP,case,"[1143, 1111, 1105]",[],
1139,-,-,ADP,case,"[1143, 1111, 1105]",[],
1140,за,за,ADP,case,"[1143, 1111, 1105]",[],
