,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[15, 19]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
7,дорогой,дорогой,ADJ,amod,"[15, 0]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
15,Дима,дима,PROPN,nsubj,[0],[7],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
19,!,!,PUNCT,punct,[0],[],
21,Как,как,SCONJ,mark,"[27, 47]",[],
25,у,у,ADP,case,"[27, 47]",[],
27,тебя,ты,PRON,obl,[47],"[21, 25, 32, 36]",Case=Gen|Number=Sing|Person=Second
32,дела,дело,NOUN,nsubj,"[27, 47]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
36,",",",",PUNCT,punct,"[27, 47]",[],
38,давно,давно,ADV,advmod,[47],[],Degree=Pos
44,не,не,PART,advmod,[47],[],Polarity=Neg
47,виделись,видеться,VERB,ROOT,[],"[27, 38, 44, 71, 82]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
55,",",",",PUNCT,punct,"[71, 47]",[],
57,с,с,ADP,case,"[59, 71, 47]",[],
59,нетерпением,нетерпение,NOUN,obl,"[71, 47]",[57],Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing
71,жду,ждать,VERB,conj,[47],"[55, 59, 75]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
75,встречи,встреча,NOUN,obj,"[71, 47]",[],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
82,.,.,PUNCT,punct,[47],[],
84,Хотел,хотеть,VERB,ROOT,[],"[90, 131]",Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
90,рассказать,рассказать,VERB,xcomp,[84],[113],Aspect=Perf|VerbForm=Inf|Voice=Act
101,о,о,ADP,case,"[113, 90, 84]",[],
103,последнем,последний,ADJ,amod,"[113, 90, 84]",[],Case=Loc|Degree=Pos|Gender=Masc|Number=Sing
113,месяце,месяц,NOUN,obl,"[90, 84]","[101, 103, 126]",Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing
120,своей,свой,DET,det,"[126, 113, 90, 84]",[],Case=Gen|Gender=Fem|Number=Sing
126,жизни,жизнь,NOUN,nmod,"[113, 90, 84]",[120],Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing
131,.,.,PUNCT,punct,[84],[],
133,Началась,начаться,VERB,ROOT,[],"[142, 149, 192, 217]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
142,учеба,учёба,NOUN,nsubj,[133],[],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
147,",",",",PUNCT,punct,"[149, 133]",[],
149,встретил,встретить,VERB,conj,[133],"[147, 171]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
158,своих,свой,DET,det,"[171, 149, 133]",[],Animacy=Inan|Case=Acc|Number=Plur
164,старых,старый,ADJ,amod,"[171, 149, 133]",[],Animacy=Anim|Case=Acc|Degree=Pos|Number=Plur
171,знакомых,знакомых,NOUN,obj,"[149, 133]","[158, 164]",Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur
179,",",",",PUNCT,punct,"[192, 133]",[],
181,было,было,AUX,cop,"[192, 133]",[],Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
186,очень,очень,ADV,advmod,"[192, 133]",[],Degree=Pos
192,приятно,приятный,ADJ,conj,[133],"[179, 181, 186, 200]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
200,пообщаться,пообщаться,VERB,csubj,"[192, 133]",[213],Aspect=Perf|VerbForm=Inf|Voice=Mid
211,с,с,ADP,case,"[213, 200, 192, 133]",[],
213,ними,они,PRON,obl,"[200, 192, 133]",[211],Case=Ins|Number=Plur|Person=Third
217,.,.,PUNCT,punct,[133],[],
219,У,у,ADP,case,"[221, 226]",[],
221,меня,я,PRON,obl,[226],[219],Case=Gen|Number=Sing|Person=First
226,появилась,появиться,VERB,ROOT,[],"[221, 236, 272]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
