,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Здравствуй,здравствовать,VERB,ROOT,[],"[24, 28]",Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
10,",",",",PUNCT,punct,"[24, 0]",[],
12,мой,мой,DET,det,"[24, 0]",[],Case=Nom|Gender=Masc|Number=Sing
16,дорогой,дорогой,ADJ,amod,"[24, 0]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
24,друг,друг,NOUN,conj,[0],"[10, 12, 16]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
28,.,.,PUNCT,punct,[0],[],
30,Пишу,пишу,VERB,ROOT,[],"[35, 43, 69]",Aspect=Perf|Mood=Imp|Number=Plur|Person=Second|VerbForm=Fin|Voice=Act
35,тебе,ты,PRON,iobj,[30],[],Case=Dat|Number=Sing|Person=Second
40,из,из,ADP,case,"[43, 30]",[],
43,Воронежа,воронеж,PROPN,obl,[30],"[40, 64]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing
51,",",",",PUNCT,punct,"[64, 43, 30]",[],
53,где,где,ADV,advmod,"[64, 43, 30]",[],Degree=Pos
57,сейчас,сейчас,ADV,advmod,"[64, 43, 30]",[],Degree=Pos
64,учусь,учиться,VERB,acl:relcl,"[43, 30]","[51, 53, 57]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Mid
69,.,.,PUNCT,punct,[30],[],
71,У,у,ADP,case,"[73, 96]",[],
73,нас,мы,PRON,nmod,[96],[71],Case=Gen|Number=Plur|Person=First
77,в,в,ADP,case,[96],[],
79,строяке,строяке,ADJ,amod,[96],[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
87,неплохой,неплохой,ADJ,amod,[96],[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
96,уровень,уровень,NOUN,ROOT,[],"[73, 77, 79, 87, 104, 143, 253]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
104,обучения,обучение,NOUN,nmod,[96],[],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
112,",",",",PUNCT,punct,"[143, 96]",[],
