,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Привет,привет,NOUN,ROOT,[],"[8, 15]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
6,",",",",PUNCT,punct,"[8, 0]",[],
8,Любашка,любашка,PROPN,parataxis,[0],[6],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
15,!,!,PUNCT,punct,[0],[],
17,Как,как,SCONJ,ROOT,[],"[26, 30]",
21,твои,твой,DET,det,"[26, 17]",[],Case=Nom|Number=Plur
26,дела,дело,NOUN,nsubj,[17],[21],Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
30,?,?,PUNCT,punct,[17],[],
32,Что,что,PRON,nsubj,[36],[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
36,нового,новый,ADJ,ROOT,[],"[32, 42]",Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
42,?,?,PUNCT,punct,[36],[],
44,Давно,давно,ADV,advmod,[61],[],Degree=Pos
50,с,с,ADP,case,"[52, 61]",[],
52,тобой,ты,PRON,obl,[61],[50],Case=Ins|Number=Sing|Person=Second
58,не,не,PART,advmod,[61],[],Polarity=Neg
61,общались,общаться,VERB,ROOT,[],"[44, 52, 58, 90, 96]",Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid
69,",",",",PUNCT,punct,"[90, 61]",[],
71,больше,больше,ADV,nummod:gov,"[82, 90, 61]",[],Degree=Cmp
78,2ух,2ух,NUM,nummod,"[82, 90, 61]",[],
82,месяцев,месяц,NOUN,obl,"[90, 61]","[71, 78]",Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur
90,прошло,пройти,VERB,conj,[61],"[69, 82]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
96,...,...,PUNCT,punct,[61],[],
100,Я,я,PRON,nsubj,[108],[],Case=Nom|Number=Sing|Person=First
102,очень,очень,ADV,advmod,[108],[],Degree=Pos
108,соскучилась,соскучиться,VERB,ROOT,[],"[100, 102, 130, 150]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
119,",",",",PUNCT,punct,"[130, 108]",[],
121,и,и,CCONJ,cc,"[130, 108]",[],
123,многое,многое,NOUN,obj,"[130, 108]",[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
