,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Кажется,казаться,VERB,parataxis,[24],[7],Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
7,",",",",PUNCT,punct,"[0, 24]",[],
9,на,на,ADP,case,"[12, 24]",[],
12,картинке-,картинке-,ADJ,amod,[24],[9],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Neut|Number=Sing
22,2,2,NUM,nummod:gov,[24],[],
24,женщины,женщина,NOUN,ROOT,[],"[0, 12, 22, 33, 50]",Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing
31,",",",",PUNCT,punct,"[33, 24]",[],
33,молодая,молодой,ADJ,amod,[24],"[31, 43]",Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
41,и,и,CCONJ,cc,"[43, 33, 24]",[],
43,пожилая,пожилой,ADJ,conj,"[33, 24]",[41],Case=Nom|Degree=Pos|Gender=Fem|Number=Sing
50,.,.,PUNCT,punct,[24],[],
52,Внимание,внимание,NOUN,obj,[61],[],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
61,привлек,привлечь,VERB,ROOT,[],"[52, 69, 89, 146]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
69,взгляд,взгляд,NOUN,nsubj,[61],[76],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
76,старушки-,старушки-,NOUN,nmod,"[69, 61]",[],Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing
86,не,не,PART,advmod,"[89, 61]",[],Polarity=Neg
89,то,то,PRON,obl,[61],"[86, 104]",Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
92,чтобы,чтобы,SCONJ,mark,"[104, 89, 61]",[],Mood=Cnd
98,он,он,PRON,nsubj,"[104, 89, 61]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
101,не,не,PART,advmod,"[104, 89, 61]",[],Polarity=Neg
104,добрый,добрый,ADJ,acl,"[89, 61]","[92, 98, 101, 133]",Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
110,",",",",PUNCT,punct,"[133, 104, 89, 61]",[],
112,но,но,CCONJ,cc,"[133, 104, 89, 61]",[],
115,какой,какой,DET,det,"[133, 104, 89, 61]",[],Case=Nom|Gender=Masc|Number=Sing
120,-,-,DET,det,"[133, 104, 89, 61]",[],Case=Nom|Gender=Masc|Number=Sing
121,то,то,DET,det,"[133, 104, 89, 61]",[],Case=Nom|Gender=Masc|Number=Sing
124,не,не,PART,advmod,"[127, 133, 104, 89, 61]",[],Polarity=Neg
127,особо,особо,ADV,advmod,"[133, 104, 89, 61]",[124],Degree=Pos
133,располагающий,располагать,VERB,conj,"[104, 89, 61]","[110, 112, 115, 120, 121, 127]",Aspect=Imp|Case=Nom|Gender=Masc|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act
146,.,.,PUNCT,punct,[61],[],
148,Будто,будто,PART,advmod,"[167, 194]",[154],
154,бы,бы,AUX,fixed,"[148, 167, 194]",[],Mood=Cnd
157,она,она,PRON,nsubj,"[167, 194]",[],Case=Nom|Gender=Fem|Number=Sing|Person=Third
161,некий,некий,DET,det,"[167, 194]",[],Case=Nom|Gender=Masc|Number=Sing
167,критик,критик,NOUN,nsubj,[194],"[148, 157, 161]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
173,",",",",PUNCT,punct,"[185, 194]",[],
175,все,все,PRON,nsubj,"[185, 194]",[],Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
179,ей,она,PRON,iobj,"[185, 194]",[],Case=Dat|Gender=Fem|Number=Sing|Person=Third
182,не,не,PART,advmod,"[185, 194]",[],Polarity=Neg
185,так,так,ADV,advmod,[194],"[173, 175, 179, 182, 189]",Degree=Pos
189,и,и,PART,fixed,"[185, 194]",[],
191,не,не,PART,advmod,[194],[],Polarity=Neg
194,то,то,PRON,ROOT,[],"[167, 185, 191, 196]",Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing
196,.,.,PUNCT,punct,[194],[],
198,Возможно,возможно,ADV,parataxis,[212],[206],Degree=Pos
206,",",",",PUNCT,punct,"[198, 212]",[],
208,она,она,PRON,nsubj,[212],[],Case=Nom|Gender=Fem|Number=Sing|Person=Third
212,думает,думать,VERB,ROOT,[],"[198, 208, 237, 243]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
218,:,:,PUNCT,punct,"[221, 237, 212]",[],
220,"""","""",PUNCT,punct,"[221, 237, 212]",[],
221,Боже,бог,NOUN,parataxis,"[237, 212]","[218, 220, 226]",Animacy=Anim|Case=Voc|Gender=Masc|Number=Sing
226,мой,мой,DET,det,"[221, 237, 212]",[],Case=Nom|Gender=Masc|Number=Sing
229,",",",",PUNCT,punct,"[237, 212]",[],
231,какой,какой,DET,det,"[237, 212]",[],Case=Nom|Gender=Masc|Number=Sing
237,бред,бред,NOUN,obj,[212],"[221, 229, 231, 241, 242]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
241,!,!,PUNCT,punct,"[237, 212]",[],
242,"""","""",PUNCT,punct,"[237, 212]",[],
243,.,.,PUNCT,punct,[212],[],
245,Второй,второй,ADJ,amod,"[252, 278]",[],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
252,персонаж-,персонаж-,NOUN,nsubj,[278],[245],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
262,вообще,вообще,ADV,advmod,[278],[],Degree=Pos
269,не,не,PART,advmod,"[272, 278]",[],Polarity=Neg
272,особо,особо,ADV,advmod,[278],[269],Degree=Pos
278,понятно,понятный,ADJ,ROOT,[],"[252, 262, 272, 286, 311, 336]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
286,мужчина,мужчина,NOUN,nsubj,[278],[294],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
294,это,это,PRON,nmod,"[286, 278]",[302],Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing
298,или,или,CCONJ,cc,"[302, 294, 286, 278]",[],
302,женщина-,женщина-,ADJ,conj,"[294, 286, 278]",[298],Case=Nom|Degree=Pos|Gender=Masc|Number=Sing
311,смотрит,смотреть,VERB,conj,[278],"[319, 323, 324, 329]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
319,куда,куда,ADV,advmod,"[311, 278]",[],Degree=Pos
323,-,-,ADV,advmod,"[311, 278]",[],Degree=Pos
324,то,то,ADV,advmod,"[311, 278]",[],Degree=Pos
327,в,в,ADP,case,"[329, 311, 278]",[],
329,сторону,сторона,NOUN,obl,"[311, 278]",[327],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
336,.,.,PUNCT,punct,[278],[],
338,Похоже,похожий,ADJ,ROOT,[],"[400, 406]",Degree=Pos|Gender=Neut|Number=Sing|StyleVariant=Short
344,",",",",PUNCT,punct,"[400, 338]",[],
346,что,что,SCONJ,mark,"[400, 338]",[],
350,взгляды,взгляд,NOUN,nsubj,"[400, 338]",[375],Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur
358,на,на,ADP,case,"[375, 350, 400, 338]",[],
361,один,один,DET,amod,"[375, 350, 400, 338]",[368],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
366,и,и,CCONJ,cc,"[368, 361, 375, 350, 400, 338]",[],
368,тот,тот,DET,det,"[361, 375, 350, 400, 338]","[366, 372]",Case=Acc|Gender=Masc|Number=Sing
372,же,же,PART,advmod,"[368, 361, 375, 350, 400, 338]",[],
375,предмет,предмет,NOUN,nmod,"[350, 400, 338]","[358, 361]",Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
383,у,у,ADP,case,"[385, 400, 338]",[],
385,них,они,PRON,obl,"[400, 338]",[383],Case=Gen|Number=Plur|Person=Third
389,совершенно,совершенно,ADV,advmod,"[400, 338]",[],Degree=Pos
400,разные,разный,ADJ,ccomp,[338],"[344, 346, 350, 385, 389]",Case=Nom|Degree=Pos|Number=Plur
406,.,.,PUNCT,punct,[338],[],
408,Старушка,старушка,NOUN,nsubj,[417],[],Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing
417,стоит,стоить,VERB,ROOT,[],"[408, 426, 489, 512, 526]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
423,за,за,ADP,case,"[426, 417]",[],
426,спиной,спина,NOUN,obl,[417],"[423, 433]",Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
433,женщины,женщина,NOUN,nmod,"[426, 417]",[455],Animacy=Anim|Case=Gen|Gender=Fem|Number=Sing
441,(,(,PUNCT,punct,"[455, 433, 426, 417]",[],
442,все,все,PART,det,"[449, 455, 433, 426, 417]",[446],
