,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Я,я,PRON,ROOT,[],"[3, 23]",Case=Nom|Number=Sing|Person=First
1,",",",",PUNCT,punct,"[3, 0]",[],
3,Петров,петров,PROPN,appos,[0],"[1, 10]",Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
10,Петр,пётр,PROPN,flat:name,"[3, 0]",[15],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
15,Петрович,петрович,PROPN,flat:name,"[10, 3, 0]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
23,.,.,PUNCT,punct,[0],[],
25,Закончил,закончить,VERB,ROOT,[],"[61, 77, 91]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
34,Московский,московский,ADJ,amod,"[61, 25]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
45,Государственный,государственный,ADJ,amod,"[61, 25]",[],Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing
61,Университет,университет,PROPN,obj,[25],"[34, 45]",Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing
72,",",",",PUNCT,punct,"[77, 25]",[],
74,по,по,ADP,case,"[77, 25]",[],
77,профессии,профессия,NOUN,obl,[25],"[72, 74, 87, 89]",Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing
87,я,я,PRON,nsubj,"[77, 25]",[],Case=Nom|Number=Sing|Person=First
89,-,-,PRON,nsubj,"[77, 25]",[],Case=Nom|Number=Sing|Person=First
91,механик,механик,NOUN,nsubj,[25],[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
98,",",",",PUNCT,punct,[103],[],
100,но,но,CCONJ,cc,[103],[],
103,по,по,ADP,ROOT,[],"[98, 100]",
