,FPI All / 1045,FPI ж / 696,FPI м / 343,FPI н / 6,FPI повествование / 553,FPI описание / 325,FPI официальный / 167,BIG5 All / 536,BIG5 ж / 338,BIG5 м / 198,BIG5 описание / 261,BIG5 повествование / 203,BIG5 рассуждение / 72
если_SCONJ,214,155,58,1,135,51,28,85,53,32,21,38,26
видеться_VERB,212,153,58,1,207,5,0,74,51,23,2,72,0
хотеться_VERB,211,172,38,1,175,24,12,76,55,21,17,59,0
учиться_VERB,211,149,62,0,188,3,20,63,40,23,9,54,0
_SPACE,210,156,53,1,135,45,30,96,73,23,33,63,0
работать_VERB,208,129,78,1,131,11,66,56,34,22,29,24,3
рассказать_VERB,207,152,54,1,182,19,6,66,50,16,6,59,1
или_CCONJ,203,142,60,1,91,95,17,101,62,39,52,36,13
жить_VERB,201,146,54,1,131,65,5,81,54,27,26,45,10
интересный_ADJ,201,157,43,1,167,22,12,54,36,18,7,46,1
месяц_NOUN,198,136,62,0,186,7,5,70,40,30,6,64,0
то_ADV,197,157,38,2,130,64,3,67,48,19,24,39,4
смотреть_VERB,197,138,59,0,48,143,6,91,59,32,75,16,0
(_PUNCT,196,142,54,0,116,54,26,73,49,24,28,31,14
чтобы_SCONJ,196,133,63,0,110,67,19,97,63,34,35,42,20
для_ADP,193,140,53,0,106,48,39,72,50,22,30,26,16
то_SCONJ,193,136,56,1,127,50,16,64,40,24,14,34,16
скучать_VERB,188,166,22,0,180,8,0,62,54,8,3,59,0
пока_ADV,188,139,49,0,180,5,3,58,41,17,3,53,2
до_ADP,183,118,64,1,149,22,12,55,31,24,17,34,4
любить_VERB,182,152,30,0,113,44,25,64,54,10,23,41,0
потом_ADV,182,123,59,0,120,56,6,94,52,42,44,36,14
вы_PRON,182,123,59,0,68,12,102,29,21,8,7,22,0
буду_AUX,181,133,47,1,152,6,23,69,46,23,1,41,27
скоро_ADV,179,128,51,0,173,6,0,71,48,23,5,66,0
её_DET,179,141,38,0,16,157,6,79,58,21,73,6,0
теперь_ADV,177,135,42,0,149,26,2,59,39,20,14,41,4
лето_NOUN,175,124,50,1,173,0,2,41,33,8,2,37,2
два_NUM,174,106,67,1,90,76,8,70,40,30,53,16,1
тоже_ADV,174,132,42,0,138,29,7,53,34,19,13,38,2
общий_ADJ,172,114,58,0,124,14,34,50,31,19,9,38,3
была_AUX,172,144,28,0,104,56,12,52,36,16,22,26,4
приехать_VERB,170,118,52,0,160,10,0,55,36,19,8,46,1
всегда_ADV,166,123,42,1,98,38,30,58,46,12,23,32,3
-_DET,165,126,39,0,57,104,4,93,63,30,53,19,21
все_PART,165,128,37,0,116,45,4,45,35,10,16,28,1
написать_VERB,164,118,45,1,140,20,4,51,35,16,7,42,2
нужный_ADJ,163,114,47,2,101,40,22,74,53,21,20,39,15
казаться_VERB,163,131,30,2,44,112,7,72,49,23,58,12,2
после_ADP,162,116,45,1,112,42,8,57,40,17,20,25,12
писать_VERB,162,96,66,0,144,14,4,71,47,24,4,67,0
нет_VERB,160,129,31,0,104,44,12,43,36,7,16,25,2
стать_VERB,158,124,33,1,100,49,9,68,50,18,20,40,8
сказать_VERB,157,120,36,1,91,57,9,70,47,23,35,29,6
говорить_VERB,157,120,35,2,100,52,5,53,34,19,25,27,1
просто_PART,157,122,35,0,111,39,7,77,45,32,26,42,9
произойти_VERB,155,116,39,0,107,48,0,82,54,28,36,42,4
соскучиться_VERB,153,134,18,1,153,0,0,51,45,6,2,49,0
первый_ADJ,153,107,46,0,100,43,10,98,63,35,35,34,29
взгляд_NOUN,152,114,35,3,11,132,9,78,47,31,70,7,1
кто_PRON,152,114,38,0,84,58,10,67,42,25,34,25,8
ходить_VERB,151,108,41,2,146,4,1,45,31,14,3,42,0
план_NOUN,150,108,42,0,61,84,5,71,51,20,56,13,2
письмо_NOUN,150,103,47,0,143,4,3,49,33,16,2,47,0
был_AUX,148,94,54,0,110,32,6,46,21,25,16,27,3
недавно_ADV,147,99,48,0,135,11,1,43,26,17,5,38,0
пройти_VERB,147,106,40,1,117,21,9,31,25,6,6,25,0
вообще_ADV,147,109,37,1,118,25,4,43,23,20,10,31,2
делать_VERB,147,106,40,1,95,39,13,46,25,21,21,18,7
кстати_ADV,144,102,42,0,138,5,1,35,19,16,2,33,0
