,FPI All / 1045,FPI ж / 696,FPI м / 343,FPI н / 6,FPI повествование / 553,FPI описание / 325,FPI официальный / 167,BIG5 All / 536,BIG5 ж / 338,BIG5 м / 198,BIG5 описание / 261,BIG5 повествование / 203,BIG5 рассуждение / 72
сотрудничество_NOUN,4,2,2,0,1,0,3,0,0,0,0,0,0
чел_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
сохранить_VERB,4,4,0,0,1,3,0,2,1,1,1,1,0
сохраниться_VERB,4,4,0,0,1,3,0,0,0,0,0,0,0
украина_PROPN,4,4,0,0,4,0,0,1,1,0,0,1,0
дыхание_NOUN,4,4,0,0,1,3,0,1,1,0,1,0,0
вязать_VERB,4,2,2,0,1,2,1,0,0,0,0,0,0
аргумент_NOUN,4,4,0,0,1,1,2,0,0,0,0,0,0
старческий_ADJ,4,4,0,0,0,4,0,1,1,0,1,0,0
воспринимать_VERB,4,4,0,0,1,1,2,0,0,0,0,0,0
проживание_NOUN,4,3,1,0,3,1,0,0,0,0,0,0,0
удаваться_VERB,4,4,0,0,3,1,0,1,1,0,0,1,0
бунин_PROPN,4,4,0,0,4,0,0,0,0,0,0,0,0
разговорный_ADJ,4,1,3,0,0,0,4,0,0,0,0,0,0
бурно_ADV,4,1,3,0,3,0,1,1,1,0,1,0,0
ярко_ADV,4,4,0,0,1,3,0,1,0,1,1,0,0
чемодан_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
открываться_VERB,4,2,2,0,4,0,0,0,0,0,0,0,0
фотограф_NOUN,4,4,0,0,0,3,1,3,3,0,1,2,0
своём_NOUN,4,3,1,0,2,2,0,3,0,3,1,2,0
составлять_VERB,4,2,2,0,2,1,1,2,0,2,2,0,0
пересмотреть_VERB,4,2,2,0,4,0,0,1,0,1,1,0,0
сука_NOUN,4,2,2,0,4,0,0,0,0,0,0,0,0
вывести_VERB,4,2,2,0,0,0,4,1,1,0,1,0,0
офигенный_ADJ,4,2,2,0,4,0,0,3,2,1,0,3,0
холод_NOUN,4,4,0,0,1,3,0,3,2,1,1,2,0
драться_VERB,4,3,1,0,1,3,0,0,0,0,0,0,0
съесть_VERB,4,4,0,0,3,0,1,4,1,3,2,2,0
семинар_NOUN,4,4,0,0,4,0,0,1,1,0,1,0,0
ваще_NOUN,4,2,2,0,4,0,0,0,0,0,0,0,0
покойный_ADJ,4,3,1,0,0,4,0,0,0,0,0,0,0
кость_NOUN,4,4,0,0,0,4,0,0,0,0,0,0,0
скорей_PROPN,4,2,2,0,3,1,0,2,1,1,1,1,0
посиделок_NOUN,4,4,0,0,4,0,0,1,1,0,0,1,0
фиг_NOUN,4,2,2,0,2,2,0,0,0,0,0,0,0
одиноко_ADV,4,3,1,0,2,2,0,3,3,0,1,2,0
одиннадцать_NUM,4,4,0,0,4,0,0,0,0,0,0,0,0
допустить_VERB,4,3,1,0,1,3,0,1,1,0,0,0,1
одеяние_NOUN,4,3,1,0,0,4,0,3,3,0,3,0,0
отвернуться_VERB,4,3,1,0,0,4,0,4,2,2,4,0,0
родина_PROPN,4,3,1,0,2,2,0,4,3,1,3,1,0
промолвить_VERB,4,4,0,0,1,3,0,0,0,0,0,0,0
умничка_NOUN,4,4,0,0,4,0,0,1,1,0,0,1,0
нечто_PRON,4,3,1,0,3,1,0,0,0,0,0,0,0
трудиться_VERB,4,1,3,0,3,0,1,5,3,2,4,1,0
роза_NOUN,4,4,0,0,3,1,0,0,0,0,0,0,0
чмоки_NOUN,4,4,0,0,4,0,0,0,0,0,0,0,0
вдобавок_ADV,4,1,3,0,3,0,1,0,0,0,0,0,0
порядочный_ADJ,4,1,3,0,0,1,3,0,0,0,0,0,0
сынок_NOUN,4,3,1,0,0,4,0,0,0,0,0,0,0
долг_NOUN,4,3,1,0,3,0,1,7,2,5,1,4,2
ощущать_VERB,4,3,1,0,3,1,0,4,4,0,2,1,1
долгожданный_ADJ,4,4,0,0,2,2,0,2,1,1,0,2,0
угодно_ADV,4,4,0,0,2,2,0,2,1,1,2,0,0
ибо_SCONJ,4,3,1,0,1,3,0,1,0,1,0,1,0
член_NOUN,4,1,3,0,0,2,2,2,1,1,0,1,1
главное_NOUN,4,0,4,0,4,0,0,0,0,0,0,0,0
остров_NOUN,4,3,1,0,4,0,0,6,5,1,1,2,3
волнение_NOUN,4,4,0,0,2,2,0,0,0,0,0,0,0
беседа_NOUN,4,1,3,0,1,2,1,0,0,0,0,0,0
подряд_ADV,4,4,0,0,4,0,0,1,1,0,0,0,1
маршрутка_NOUN,4,4,0,0,4,0,0,2,2,0,1,1,0
рассматривать_VERB,4,3,1,0,0,4,0,1,1,0,1,0,0
дошкольный_ADJ,4,4,0,0,4,0,0,0,0,0,0,0,0
оч_NOUN,4,4,0,0,4,0,0,0,0,0,0,0,0
сутки_NOUN,4,3,1,0,4,0,0,3,2,1,1,1,1
почерк_NOUN,4,1,3,0,3,0,1,2,0,2,0,2,0
облик_NOUN,4,3,1,0,0,4,0,0,0,0,0,0,0
матч_NOUN,4,1,3,0,4,0,0,3,0,3,0,3,0
фитнес_NOUN,4,3,1,0,4,0,0,1,1,0,0,1,0
отделение_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
обойтись_VERB,4,3,1,0,4,0,0,1,1,0,0,1,0
складка_NOUN,4,4,0,0,0,4,0,2,2,0,2,0,0
ясный_ADJ,4,1,3,0,2,2,0,2,2,0,1,1,0
дышать_VERB,4,4,0,0,1,3,0,2,0,2,1,1,0
махнуть_VERB,4,3,1,0,2,2,0,1,1,0,0,1,0
отдельно_ADV,4,3,1,0,3,1,0,3,2,1,0,3,0
направлять_VERB,4,3,0,1,0,4,0,2,1,1,2,0,0
суток_NOUN,4,2,2,0,1,0,3,3,2,1,1,2,0
сухой_ADJ,4,3,1,0,1,3,0,0,0,0,0,0,0
отвлекать_VERB,4,3,1,0,3,1,0,1,0,1,0,1,0
петрович_PROPN,4,3,1,0,0,0,4,1,1,0,0,1,0
свидетельствовать_VERB,4,3,1,0,0,4,0,1,1,0,1,0,0
знакомыми_NOUN,4,4,0,0,3,0,1,1,1,0,0,1,0
одеваться_VERB,4,4,0,0,2,2,0,0,0,0,0,0,0
знакомому_NOUN,4,2,2,0,4,0,0,2,1,1,0,2,0
подсказывать_VERB,4,3,1,0,0,4,0,1,1,0,1,0,0
расслабиться_VERB,4,4,0,0,3,1,0,1,1,0,0,1,0
свободно_ADV,4,2,2,0,0,0,4,1,1,0,1,0,0
вторник_NOUN,4,3,1,0,4,0,0,1,0,1,0,1,0
этаж_NOUN,4,2,2,0,4,0,0,1,0,1,0,0,1
честь_NOUN,4,2,2,0,1,1,2,0,0,0,0,0,0
улучшить_VERB,4,2,2,0,2,0,2,0,0,0,0,0,0
олег_PROPN,4,1,3,0,4,0,0,2,1,1,0,2,0
материал_NOUN,4,4,0,0,1,0,3,3,2,1,0,3,0
рита_PROPN,4,3,1,0,4,0,0,1,1,0,0,1,0
суровый_ADJ,4,2,2,0,1,3,0,1,1,0,1,0,0
реферат_NOUN,4,2,2,0,4,0,0,1,0,1,0,1,0
будешь_VERB,4,1,3,0,4,0,0,1,1,0,0,1,0
продавать_VERB,4,2,2,0,2,1,1,2,1,1,1,1,0
завершение_NOUN,4,3,1,0,1,3,0,2,1,1,1,1,0
обстоять_VERB,4,3,1,0,4,0,0,2,2,0,0,2,0
конкретный_ADJ,4,2,2,0,0,3,1,3,2,1,3,0,0
конкурент_NOUN,4,1,3,0,0,0,4,1,1,0,0,1,0
пребывание_NOUN,4,3,1,0,3,1,0,0,0,0,0,0,0
женя_PROPN,4,2,2,0,4,0,0,2,1,1,0,2,0
жертва_NOUN,4,1,3,0,2,2,0,3,2,1,2,1,0
сегодняшний_ADJ,4,3,1,0,1,2,1,0,0,0,0,0,0
заодно_ADV,4,2,2,0,4,0,0,0,0,0,0,0,0
прогуливать_VERB,4,3,1,0,4,0,0,1,0,1,0,1,0
навестить_VERB,4,4,0,0,2,2,0,2,1,1,1,1,0
бал_NOUN,4,2,2,0,4,0,0,2,1,1,0,2,0
увлекаться_VERB,4,1,2,1,2,1,1,2,1,1,0,2,0
заведение_NOUN,4,2,2,0,3,0,1,5,1,4,1,3,1
пед_PROPN,4,3,1,0,4,0,0,0,0,0,0,0,0
реактор_NOUN,4,0,4,0,3,0,1,0,0,0,0,0,0
разочароваться_VERB,4,4,0,0,4,0,0,1,1,0,1,0,0
увлечение_NOUN,4,3,1,0,2,1,1,2,2,0,1,1,0
вступить_VERB,4,2,2,0,2,2,0,0,0,0,0,0,0
юрист_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
реальный_ADJ,4,2,2,0,2,2,0,2,2,0,0,1,1
выпускной_NOUN,4,4,0,0,4,0,0,0,0,0,0,0,0
сзади_ADP,4,4,0,0,0,4,0,0,0,0,0,0,0
сплотить_VERB,4,3,1,0,3,0,1,0,0,0,0,0,0
поймать_VERB,4,4,0,0,0,4,0,0,0,0,0,0,0
запечатлеть_VERB,4,2,2,0,0,4,0,4,1,3,4,0,0
16_NUM,4,1,3,0,1,1,2,1,1,0,1,0,0
благополучие_NOUN,4,2,2,0,0,4,0,0,0,0,0,0,0
миша_PROPN,4,3,1,0,4,0,0,4,4,0,0,4,0
бой_NOUN,4,2,2,0,3,1,0,1,1,0,1,0,0
копия_NOUN,4,2,2,0,2,1,1,0,0,0,0,0,0
страдание_NOUN,4,2,2,0,0,4,0,3,2,1,2,1,0
яйцо_NOUN,4,3,1,0,2,2,0,0,0,0,0,0,0
выпасть_VERB,4,4,0,0,4,0,0,3,3,0,0,2,1
параллельно_ADV,4,3,1,0,3,0,1,3,2,1,0,2,1
потребоваться_VERB,4,2,2,0,3,1,0,1,1,0,1,0,0
хлеб_NOUN,4,3,1,0,2,2,0,1,1,0,1,0,0
жёлтый_ADJ,4,3,1,0,3,1,0,0,0,0,0,0,0
заменять_VERB,4,4,0,0,4,0,0,1,0,1,0,1,0
блин_ADV,4,3,1,0,4,0,0,2,1,1,0,2,0
ранее_ADV,4,2,2,0,0,2,2,2,2,0,2,0,0
замена_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
модный_ADJ,4,3,1,0,2,1,1,0,0,0,0,0,0
секретарь_NOUN,4,4,0,0,2,0,2,0,0,0,0,0,0
обед_NOUN,4,2,2,0,3,1,0,2,2,0,2,0,0
залезть_VERB,4,3,1,0,4,0,0,0,0,0,0,0,0
секунда_NOUN,4,4,0,0,3,1,0,3,0,3,1,2,0
обзавестись_VERB,4,2,2,0,4,0,0,1,0,1,0,1,0
полагать_VERB,4,3,1,0,2,1,1,2,0,2,2,0,0
забросить_VERB,4,2,2,0,4,0,0,2,1,1,0,2,0
мол_ADV,4,2,2,0,3,1,0,2,0,2,2,0,0
уверенно_ADV,4,3,1,0,0,3,1,0,0,0,0,0,0
паспорт_NOUN,4,3,1,0,2,1,1,0,0,0,0,0,0
ох_ADV,4,3,1,0,4,0,0,1,0,1,0,1,0
царство_NOUN,4,3,1,0,3,1,0,0,0,0,0,0,0
контракт_NOUN,4,2,2,0,1,0,3,0,0,0,0,0,0
паша_PROPN,4,2,2,0,4,0,0,0,0,0,0,0,0
увлекательный_ADJ,4,3,1,0,4,0,0,0,0,0,0,0,0
познакомить_VERB,4,3,1,0,4,0,0,2,1,1,1,1,0
набор_NOUN,4,4,0,0,0,0,4,1,1,0,0,0,1
замучить_VERB,4,4,0,0,2,2,0,2,1,1,2,0,0
красиво_ADV,4,4,0,0,4,0,0,2,1,1,2,0,0
стих_NOUN,4,4,0,0,4,0,0,1,1,0,0,1,0
блондинка_NOUN,4,2,2,0,4,0,0,0,0,0,0,0,0
житель_NOUN,4,4,0,0,3,1,0,3,3,0,2,1,0
жительство_NOUN,4,3,1,0,3,1,0,1,1,0,0,0,1
паук_NOUN,4,1,3,0,3,0,1,0,0,0,0,0,0
молиться_VERB,4,4,0,0,0,3,1,0,0,0,0,0,0
жопа_NOUN,4,2,2,0,4,0,0,0,0,0,0,0,0
кредит_NOUN,4,2,2,0,3,1,0,1,1,0,0,0,1
убежать_VERB,4,3,1,0,1,3,0,5,4,1,4,1,0
астрал_NOUN,4,2,2,0,1,3,0,0,0,0,0,0,0
отрасль_NOUN,4,2,2,0,0,0,4,0,0,0,0,0,0
аудит_NOUN,4,4,0,0,1,0,3,0,0,0,0,0,0
заслуга_NOUN,4,1,3,0,2,0,2,0,0,0,0,0,0
предполагать_VERB,4,3,1,0,0,3,1,2,1,1,2,0,0
высококвалифицированный_ADJ,4,3,1,0,0,0,4,0,0,0,0,0,0
биться_VERB,4,4,0,0,2,2,0,0,0,0,0,0,0
екатерина_PROPN,4,4,0,0,1,0,3,0,0,0,0,0,0
высоко_ADJ,4,3,1,0,2,0,2,1,1,0,0,0,1
отомстить_VERB,4,1,3,0,1,3,0,1,1,0,1,0,0
ходила_VERB,4,4,0,0,4,0,0,1,1,0,0,1,0
рекомендовать_VERB,4,2,2,0,1,1,2,0,0,0,0,0,0
обществознание_NOUN,4,4,0,0,3,0,1,0,0,0,0,0,0
папа_PROPN,4,4,0,0,4,0,0,1,1,0,0,1,0
реклама_NOUN,4,2,2,0,2,0,2,0,0,0,0,0,0
поликлиника_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
строго_ADV,4,3,1,0,3,1,0,2,1,1,2,0,0
строй_NOUN,4,1,3,0,1,0,3,1,1,0,0,0,1
высокооплачиваемый_ADJ,4,2,2,0,2,1,1,2,2,0,0,2,0
футбольный_ADJ,4,0,4,0,4,0,0,1,0,1,0,1,0
затопить_VERB,4,3,1,0,3,1,0,0,0,0,0,0,0
кристина_PROPN,4,4,0,0,4,0,0,1,1,0,0,1,0
назначить_VERB,4,3,1,0,3,1,0,0,0,0,0,0,0
офигенно_ADV,4,4,0,0,4,0,0,0,0,0,0,0,0
европейский_ADJ,4,2,2,0,2,1,1,1,1,0,0,0,1
приступать_VERB,4,3,1,0,4,0,0,0,0,0,0,0,0
пожить_VERB,4,2,2,0,1,3,0,1,1,0,0,1,0
крик_NOUN,4,4,0,0,3,1,0,1,1,0,0,1,0
высота_NOUN,4,3,1,0,3,0,1,3,2,1,1,2,0
уйма_NOUN,4,2,2,0,4,0,0,0,0,0,0,0,0
переезжать_VERB,4,4,0,0,4,0,0,2,2,0,0,2,0
засыпать_VERB,4,4,0,0,4,0,0,0,0,0,0,0,0
застыть_VERB,4,2,2,0,1,3,0,1,0,1,1,0,0
продолжаться_VERB,4,4,0,0,3,1,0,3,1,2,3,0,0
спасать_VERB,4,3,1,0,3,1,0,3,3,0,0,3,0
оторваться_VERB,4,0,4,0,4,0,0,2,1,1,0,2,0
спектакль_NOUN,4,3,1,0,2,0,2,1,1,0,0,1,0
братишка_NOUN,4,1,3,0,4,0,0,2,0,2,0,2,0
рассчитывать_VERB,4,2,2,0,2,0,2,0,0,0,0,0,0
хранитель_NOUN,4,4,0,0,0,4,0,3,3,0,3,0,0
отработать_VERB,4,3,1,0,3,0,1,1,1,0,0,1,0
мини_NOUN,4,2,2,0,3,1,0,0,0,0,0,0,0
выразительный_ADJ,4,4,0,0,0,4,0,2,2,0,2,0,0
нагрузка_NOUN,4,3,1,0,3,1,0,3,3,0,1,2,0
характеристика_NOUN,4,1,3,0,0,0,4,0,0,0,0,0,0
страшноватый_ADJ,4,4,0,0,3,1,0,0,0,0,0,0,0
её_PRON,4,3,1,0,1,3,0,3,1,2,2,1,0
ценный_ADJ,4,4,0,0,0,1,3,0,0,0,0,0,0
мириться_VERB,4,3,1,0,3,1,0,3,2,1,0,3,0
награда_NOUN,4,3,1,0,1,1,2,0,0,0,0,0,0
мировой_ADJ,4,3,1,0,2,0,2,1,1,0,1,0,0
выделить_VERB,4,3,1,0,4,0,0,0,0,0,0,0,0
выражать_VERB,4,3,1,0,1,3,0,5,4,1,5,0,0
крепкий_ADJ,4,4,0,0,2,2,0,1,1,0,0,1,0
полететь_VERB,4,4,0,0,4,0,0,1,0,1,0,1,0
игнорировать_VERB,4,4,0,0,1,2,1,2,1,1,1,1,0
брак_NOUN,4,4,0,0,1,3,0,1,1,0,1,0,0
хобби_NOUN,4,3,1,0,3,0,1,0,0,0,0,0,0
перевестись_VERB,4,3,1,0,4,0,0,0,0,0,0,0,0
заранее_ADV,4,3,1,0,2,1,1,1,0,1,0,1,0
резко_ADV,4,2,2,0,2,2,0,2,1,1,1,1,0
миллион_NOUN,4,4,0,0,2,2,0,30,22,8,0,0,30
нуждаться_VERB,4,3,1,0,1,2,1,9,7,2,1,1,7
заработок_NOUN,4,1,3,0,3,1,0,2,1,1,0,2,0
продвижение_NOUN,4,2,2,0,3,0,1,0,0,0,0,0,0
разногласие_NOUN,4,3,1,0,0,4,0,2,2,0,2,0,0
проделать_VERB,4,3,1,0,3,1,0,2,2,0,2,0,0
заводить_VERB,4,4,0,0,2,2,0,2,2,0,0,2,0
реже_ADV,4,4,0,0,4,0,0,4,1,3,1,3,0
провод_NOUN,4,1,3,0,4,0,0,1,0,1,0,1,0
специальный_ADJ,4,3,1,0,1,0,3,1,0,1,0,1,0
шум_NOUN,4,3,1,0,4,0,0,1,1,0,0,1,0
хитрость_NOUN,4,2,2,0,0,3,1,1,1,0,1,0,0
взрослый_NOUN,4,3,1,0,2,1,1,1,1,0,0,1,0
осваивать_VERB,4,3,1,0,3,0,1,0,0,0,0,0,0
некому_VERB,4,3,1,0,4,0,0,1,1,0,1,0,0
каша_NOUN,4,4,0,0,4,0,0,0,0,0,0,0,0
траур_NOUN,4,4,0,0,0,3,1,0,0,0,0,0,0
водительский_ADJ,4,1,3,0,3,0,1,2,2,0,0,2,0
деревушка_NOUN,4,4,0,0,1,3,0,2,2,0,2,0,0
прикалываться_VERB,4,3,1,0,4,0,0,2,1,1,0,2,0
дар_NOUN,4,3,1,0,3,1,0,1,1,0,0,1,0
повеселиться_VERB,4,3,1,0,4,0,0,3,2,1,0,3,0
дарить_VERB,4,4,0,0,4,0,0,5,5,0,2,1,2
ооо_PROPN,4,1,3,0,0,0,4,0,0,0,0,0,0
подобрать_VERB,4,3,1,0,3,0,1,4,3,1,2,2,0
качалка_NOUN,4,1,3,0,3,1,0,1,0,1,0,1,0
пк_PROPN,4,1,3,0,0,0,4,0,0,0,0,0,0
дата_NOUN,4,2,2,0,2,0,2,0,0,0,0,0,0
попасться_VERB,4,2,2,0,4,0,0,0,0,0,0,0,0
непростой_ADJ,4,4,0,0,2,2,0,3,3,0,2,1,0
любопытный_ADJ,4,3,1,0,1,3,0,0,0,0,0,0,0
нежность_NOUN,4,3,1,0,1,3,0,2,2,0,2,0,0
прости_VERB,4,3,1,0,4,0,0,0,0,0,0,0,0
поржать_VERB,4,3,1,0,4,0,0,0,0,0,0,0,0
чуть_PART,4,2,2,0,3,1,0,2,2,0,0,1,1
виноград_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
противоположность_NOUN,4,4,0,0,0,4,0,1,1,0,1,0,0
пример_NOUN,4,2,2,0,3,1,0,0,0,0,0,0,0
вздохнуть_VERB,4,2,2,0,2,2,0,0,0,0,0,0,0
одобрять_VERB,4,4,0,0,0,4,0,1,1,0,1,0,0
придавать_VERB,4,4,0,0,1,3,0,1,1,0,1,0,0
государство_NOUN,4,0,4,0,3,1,0,0,0,0,0,0,0
технология_NOUN,4,3,1,0,1,0,3,3,1,2,0,3,0
изложить_VERB,4,3,1,0,0,1,3,7,4,3,0,7,0
чувствоваться_VERB,4,4,0,0,1,3,0,3,2,1,1,2,0
чудить_VERB,4,3,1,0,4,0,0,3,3,0,0,3,0
измучить_VERB,4,4,0,0,0,4,0,1,1,0,1,0,0
эгоистичный_ADJ,4,2,2,0,1,3,0,4,3,1,3,1,0
чудо_NOUN,4,4,0,0,3,1,0,5,5,0,0,4,1
подождать_VERB,4,4,0,0,2,2,0,2,1,1,1,1,0
изначально_ADV,4,3,1,0,2,2,0,1,1,0,1,0,0
лист_NOUN,4,2,2,0,4,0,0,1,1,0,0,1,0
требовательный_ADJ,4,3,1,0,1,0,3,2,1,1,1,1,0
наутро_ADV,4,1,3,0,3,1,0,0,0,0,0,0,0
учёба_PROPN,4,2,2,0,4,0,0,1,1,0,0,1,0
профиль_NOUN,4,3,1,0,3,0,1,0,0,0,0,0,0
италия_PROPN,4,3,1,0,4,0,0,4,3,1,0,1,3
примерно_ADV,4,4,0,0,3,1,0,6,2,4,5,0,1
вк_PROPN,4,4,0,0,4,0,0,0,0,0,0,0,0
депрессия_NOUN,4,4,0,0,3,1,0,6,5,1,1,5,0
длиться_VERB,4,4,0,0,3,1,0,1,0,1,0,1,0
повеситься_VERB,4,3,1,0,1,3,0,0,0,0,0,0,0
останавливаться_VERB,4,4,0,0,2,0,2,0,0,0,0,0,0
катюшка_PROPN,4,4,0,0,4,0,0,0,0,0,0,0,0
попытка_NOUN,4,1,3,0,2,2,0,1,1,0,0,1,0
включить_VERB,4,3,1,0,3,1,0,1,0,1,0,1,0
снаружи_ADV,4,4,0,0,1,3,0,2,0,2,2,0,0
ими_PRON,4,3,1,0,2,0,2,4,3,1,0,4,0
советский_ADJ,4,2,2,0,1,3,0,2,2,0,2,0,0
планета_NOUN,4,4,0,0,1,3,0,3,2,1,1,1,1
побольше_NUM,4,4,0,0,4,0,0,2,2,0,0,1,1
сбор_NOUN,4,2,2,0,4,0,0,0,0,0,0,0,0
каток_NOUN,4,4,0,0,4,0,0,2,1,1,0,2,0
:))_PROPN,4,4,0,0,4,0,0,0,0,0,0,0,0
вечерний_ADJ,4,4,0,0,4,0,0,3,1,2,0,2,1
учебник_NOUN,4,3,1,0,4,0,0,1,0,1,1,0,0
сбежать_VERB,4,4,0,0,1,2,1,4,2,2,4,0,0
невестка_NOUN,4,4,0,0,1,3,0,1,0,1,1,0,0
санаторий_NOUN,4,4,0,0,4,0,0,1,1,0,0,1,0
случаться_VERB,4,2,2,0,3,1,0,2,2,0,1,1,0
внутри_ADP,4,3,1,0,2,2,0,0,0,0,0,0,0
таскать_VERB,4,1,3,0,3,0,1,0,0,0,0,0,0
грех_NOUN,4,3,1,0,1,3,0,2,1,1,1,1,0
двор_NOUN,4,3,1,0,3,1,0,6,4,2,2,4,0
случайный_ADJ,4,3,1,0,0,4,0,1,0,1,0,1,0
грей_PROPN,4,4,0,0,0,4,0,0,0,0,0,0,0
детишки_NOUN,4,3,1,0,4,0,0,2,1,1,0,2,0
горный_ADJ,4,3,1,0,4,0,0,1,1,0,0,1,0
капец_NOUN,4,2,2,0,4,0,0,3,2,1,0,3,0
невероятный_ADJ,4,4,0,0,3,0,1,1,1,0,0,1,0
совершать_VERB,4,3,1,0,0,4,0,1,1,0,0,1,0
приводить_VERB,4,3,1,0,0,3,1,1,1,0,1,0,0
таня_PROPN,4,3,1,0,4,0,0,1,1,0,0,1,0
дизайн_NOUN,4,3,1,0,2,0,2,1,0,1,0,1,0
танк_NOUN,4,1,3,0,3,0,1,0,0,0,0,0,0
привлекательный_ADJ,4,4,0,0,0,4,0,3,2,1,3,0,0
привлекать_VERB,4,3,1,0,0,3,1,2,2,0,2,0,0
повернуться_VERB,4,2,2,0,0,4,0,2,1,1,2,0,0
картошка_NOUN,4,2,2,0,2,2,0,2,1,1,2,0,0
непередаваемый_ADJ,4,4,0,0,3,1,0,2,2,0,0,2,0
дико_ADV,4,3,1,0,4,0,0,0,0,0,0,0,0
дикий_ADJ,4,2,2,0,3,1,0,0,0,0,0,0,0
икона_NOUN,4,3,1,0,3,0,1,0,0,0,0,0,0
управляющего_NOUN,4,0,4,0,0,0,4,0,0,0,0,0,0
означать_VERB,4,2,2,0,0,4,0,3,0,3,2,1,0
адекватный_ADJ,4,3,1,0,2,0,2,0,0,0,0,0,0
руслан_PROPN,4,2,2,0,4,0,0,2,1,1,0,2,0
неизвестность_NOUN,4,4,0,0,2,2,0,3,2,1,1,2,0
попить_VERB,4,4,0,0,3,0,1,4,4,0,2,2,0
испытание_NOUN,4,4,0,0,0,4,0,2,2,0,2,0,0
тачка_NOUN,4,2,2,0,4,0,0,1,0,1,0,1,0
катька_PROPN,4,3,1,0,4,0,0,0,0,0,0,0,0
горячий_ADJ,4,2,2,0,3,1,0,2,1,1,0,2,0
танька_PROPN,4,3,1,0,4,0,0,0,0,0,0,0,0
теряться_VERB,4,3,1,0,3,1,0,0,0,0,0,0,0
пораньше_ADV,4,4,0,0,4,0,0,0,0,0,0,0,0
приезжай_ADV,4,3,1,0,4,0,0,0,0,0,0,0,0
пухлый_ADJ,4,4,0,0,0,4,0,1,1,0,1,0,0
добавиться_VERB,4,3,1,0,4,0,0,0,0,0,0,0,0
ф.и.о._PROPN,4,1,3,0,0,0,4,0,0,0,0,0,0
действовать_VERB,4,3,1,0,3,0,1,3,1,2,2,1,0
внешне_ADV,4,2,2,0,2,2,0,3,2,1,2,0,1
осознать_VERB,4,2,2,0,1,3,0,1,1,0,1,0,0
лидерский_ADJ,4,3,1,0,0,0,4,0,0,0,0,0,0
недалеко_ADV,4,2,2,0,2,2,0,3,2,1,0,3,0
избавиться_VERB,4,4,0,0,0,3,1,2,1,1,1,0,1
ток_NOUN,4,4,0,0,4,0,0,0,0,0,0,0,0
оксана_PROPN,4,4,0,0,4,0,0,1,1,0,0,1,0
лечиться_VERB,4,4,0,0,4,0,0,0,0,0,0,0,0
лиза_PROPN,4,3,1,0,3,1,0,0,0,0,0,0,0
пообещать_VERB,4,3,1,0,2,1,1,1,1,0,1,0,0
прикинь_VERB,4,1,3,0,4,0,0,1,1,0,0,1,0
щас_NOUN,4,2,2,0,4,0,0,0,0,0,0,0,0
определенно_ADV,4,4,0,0,0,3,1,1,1,0,0,1,0
глупость_NOUN,4,4,0,0,1,3,0,0,0,0,0,0,0
третьих_ADV,4,2,2,0,1,0,3,3,3,0,0,1,2
неприятность_NOUN,4,3,0,1,2,2,0,2,2,0,2,0,0
шептать_VERB,4,2,2,0,0,4,0,0,0,0,0,0,0
портить_VERB,4,4,0,0,2,1,1,3,2,1,1,2,0
неуверенность_NOUN,4,3,1,0,0,4,0,1,1,0,1,0,0
скрыть_VERB,4,1,2,1,0,3,1,2,1,1,2,0,0
лавка_NOUN,4,4,0,0,2,2,0,1,0,1,1,0,0
сайт_NOUN,4,2,2,0,3,1,0,2,1,1,1,1,0
победа_NOUN,4,4,0,0,2,2,0,1,0,1,1,0,0
лондон_PROPN,4,4,0,0,3,0,1,1,1,0,0,1,0
внести_VERB,4,4,0,0,3,0,1,2,1,1,0,1,1
умудрить_VERB,4,2,2,0,0,4,0,1,1,0,1,0,0
лох_NOUN,4,3,1,0,4,0,0,0,0,0,0,0,0
непременно_ADV,4,4,0,0,3,0,1,3,3,0,1,1,1
услуга_NOUN,4,2,2,0,0,1,3,1,0,1,0,0,1
max_X,4,3,1,0,1,0,3,0,0,0,0,0,0
победить_VERB,4,2,2,0,2,1,1,1,1,0,1,0,0
мамка_NOUN,4,3,1,0,4,0,0,1,1,0,0,1,0
губить_VERB,4,3,1,0,1,3,0,0,0,0,0,0,0
фантазия_NOUN,4,3,1,0,2,2,0,5,2,3,4,1,0
самую_ADJ,4,3,1,0,3,1,0,5,4,1,1,0,4
киев_PROPN,4,4,0,0,4,0,0,0,0,0,0,0,0
олимпиада_NOUN,4,1,3,0,0,0,4,1,1,0,0,1,0
сниться_VERB,4,4,0,0,4,0,0,1,1,0,1,0,0
садиться_VERB,4,4,0,0,4,0,0,2,0,2,0,2,0
пропустить_VERB,4,0,4,0,4,0,0,4,4,0,1,3,0
густой_ADJ,4,2,2,0,0,4,0,1,1,0,1,0,0
неудачный_ADJ,4,2,2,0,2,1,1,2,1,1,1,1,0
глобальный_ADJ,4,3,1,0,3,1,0,2,1,1,0,2,0
идеальный_ADJ,4,3,1,0,3,1,0,1,1,0,0,1,0
