Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
него_PRON,-0.13,0.01939,13,44.84,fpi_lex_описание.tsv
задумать_VERB,-0.13,0.02139,10,49.44,fpi_lex_описание.tsv
делать_VERB,0.12,0.02629,10,60.78,fpi_lex_описание.tsv
это_PRON,0.12,0.03173,53,73.37,fpi_lex_описание.tsv
на_ADP,0.12,0.03394,96,78.47,fpi_lex_описание.tsv
что_SCONJ,0.12,0.03605,119,83.35,fpi_lex_описание.tsv
она_PRON,-0.09,0.04484,19,103.68,fpi_lex_повествование.tsv
знать_VERB,0.11,0.04825,25,111.56,fpi_lex_описание.tsv
