	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
0	найти_VERB	-0.3891876964254815	9.540864759714536e-09	11	2.3203383095625753e-05	новый_ADJ	-0.14411022435905593	0.04023819384207069	6.0	47.27987776443306	знать_VERB	-0.19032514913618442	0.006530612774774696	5.0	6.3804086809548775	еще_ADV	-0.17689147205177386	0.011579921802769759	5.0	13.826426632507092	я_PRON	0.17077973002687435	0.014845150462676735	44.0	10.436140775261745	соскучиться_VERB	0.20050764847467226	0.004126319798183653	30.0	4.361520026680121	очень_ADV	0.1933690985133586	0.005706072342063249	10.0	4.47926678851965	скоро_ADV	-0.21255249895662878	0.00233011439286906	7.0	2.283512105011679	в_ADP	-0.1928081929755548	0.005850616355866517	44.0	4.16563884537696	а_CCONJ	0.16687338798659526	0.0173310895759624	14.0	7.469699607239795	они_PRON	-0.2051306385027692	0.003325823567557294	5.0	1.4301041340496363	я_PRON	0.17147426417411477	0.014437438844142173	16.0	7.016595278253096	он_PRON	-0.15604384772937616	0.02620299061354741	5.0	17.58220670169031	этот_DET	0.1526050629132788	0.029734577824240493	14.0	8.53382383555702	а_CCONJ	0.14858629245883306	0.03436910547441453	8.0	15.878526729179514	с_ADP	-0.13818865199385696	0.049278939838509214	9.0	24.590190979416096	жизнь_NOUN	-0.15814093727691658	0.024230991284107068	5.0	8.020458115039439
1	когда_SCONJ	-0.35507033239607283	2.0132460614651797e-07	10	0.0004896214421483317						на_ADP	-0.14156245806238493	0.04394062385289874	9.0	42.92998950428207	с_ADP	0.15319476636034976	0.029101573840607835	19.0	34.747279165685754						они_PRON	-0.19123230401099964	0.006274408804921292	9.0	6.632050106801806	только_PART	-0.1885478145500481	0.007059798929134434	7.0	5.541942159370531	в_ADP	0.20440689767442125	0.0034410654420020943	58.0	3.3722441331620523	последний_ADJ	-0.17785011989396854	0.011129774114116685	9.0	7.92439916925108											за_ADP	0.1654575288332423	0.01831768157523067	7.0	8.902393245562106	надеяться_VERB	-0.14482771904347938	0.039244204871986356	6.0	26.332861469102845	месяц_NOUN	0.15114129661247125	0.03135680662867301	10.0	8.999403502429153	лето_NOUN	0.13995817495104174	0.04641534298177835	6.0	21.443888457581597										
2	помнить_VERB	-0.34432655939287093	4.897714811537651e-07	10	0.0011911242421659568						они_PRON	0.1389970412916619	0.04795298306357718	8.0	46.85006445311491	что_SCONJ	0.15155497645263058	0.030890877775355506	11.0	36.88370806377448						как_SCONJ	0.15674584727305468	0.02552806425273105	23.0	26.98316391513672	подруга_NOUN	-0.1876606936743141	0.007337964439886455	7.0	5.760302085310867	приехать_VERB	-0.1725854965769298	0.013805487145819636	12.0	13.529377402903243	ничто_PRON	-0.1667620488283016	0.01740696107368115	5.0	12.393756284460979											ты_PRON	0.15033250050419578	0.03228505864761302	11.0	15.690538502739926																									
3	ответ_NOUN	-0.2028467722419877	0.003701842810691414	5	9.00288171560152											очень_ADV	0.1427504578503513	0.04218014050588835	15.0	50.36308776403069						ты_PRON	0.1559021457913842	0.026341068791233185	55.0	27.842509712333477	что_SCONJ	-0.16267582399333383	0.020398868721246268	13.0	16.01311194617832	вот_PART	-0.1629022622391931	0.020222116840488674	7.0	19.8176745036789	личный_ADJ	-0.1460031462900247	0.0376605563860221	6.0	26.814316146847737											а_CCONJ	-0.14610765594372221	0.037522401058647105	7.0	18.235886914502494																									
4	по_ADP	0.19709591791676212	0.00482418964922292	48	11.73242922691014																					по_ADP	0.1536135971336893	0.02865901178821682	35.0	30.29257546014518	любимый_ADJ	-0.15080701122619553	0.03173767228306002	9.0	24.914072742202116	быть_VERB	-0.145667399204093	0.03810730341553325	6.0	37.34515734722258																с_ADP	0.14436889145159174	0.03987743099358305	9.0	19.38043146288136																									
5	мечтать_VERB	-0.17798895236391898	0.011065878709103886	5	26.912217020540652																					фильм_NOUN	0.14982398921609022	0.032880559167937765	5.0	34.754751040510214	я_PRON	0.14322202940432505	0.041497937975259504	43.0	32.57588131057871	такой_DET	0.13827249623261104	0.049140010660977174	6.0	48.15721044775763																этот_DET	0.13864079625545617	0.04853359891518279	19.0	23.587329072778836																									
6	раньше_ADV	-0.17642457110475196	0.011804912003504484	8	28.709545992522905																																																																																
7	соскучиться_VERB	0.1543837714757215	0.027860204001181988	33	67.7560161308746																																																																																
8	вспоминать_VERB	0.14940917743322135	0.03337321946742047	8	81.1636697447666																																																																																
