	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	263	-0.17479284377052234	0.013779085060440689	198.0	2.728258841967256	91	0.25441911326985106	0.026565193761384727	76.0	2.0189547258652394	225	-0.27223317197898683	0.027013464988866892	66.0	1.782888689265215	252	-0.23583978439920747	0.023623830091458888	92.0	2.1733923684142176	232	-0.34125112415878806	0.010781627048806816	55	0.5929894876843749	34	0.2428830722218363	0.005363221701082113	130.0	0.6972188211406747	144	0.38494552596896153	0.0063108104008076735	49.0	0.309229709639576	162	0.2607871750397477	0.034437509236938335	66.0	2.2728756096379303	268	0.2891900164079766	0.02262598583052461	62.0	1.4028111214925256	60	0.5149757188652951	3.686314258779959e-06	72.0	0.00026541462663215703	190	-0.44977076734187704	0.005920090882227469	36.0	0.2131232717601889	234	-0.31956136593424633	0.007005083462437753	70.0	0.49035584237064267	39	0.4185386871506925	0.013759893401697343	34.0	0.46783637565770964	207	-0.25359752451583784	0.021511347461055205	82.0	1.7639304918065268	148	-0.255432232719469	0.009936660346361587	101.0	1.0036026949825203	60	-0.2535039859664228	0.044994034937381404	63.0	2.8346242010550284	116	-0.4832402990671076	0.012390356584059192	26.0	0.322149271185539	110	0.4629744878840009	0.003908148497237124	37.0	0.1446014943977736
1											297	0.25386480083504703	0.03970259880617889	66.0	2.620371521207807						60	-0.3153142389853186	0.019032906171143487	55	1.0468098394128917	103	-0.23015389889744103	0.008431685092403284	130.0	1.096119062012427	149	-0.38374100594086474	0.006490534641132333	49.0	0.31803619741548433	178	0.2446271089907145	0.04775110374832702	66.0	3.151572847389583						201	-0.5021771045849364	6.973760583297988e-06	72.0	0.0005021107619974551	255	-0.4023029275352601	0.014999202688319163	36.0	0.5399712967794899	279	0.29819010791996364	0.012167856539373608	70.0	0.8517499577561526						273	0.2288675788614325	0.03862076359484965	82.0	3.1669026147776713	77	0.2419692769182821	0.014775511081249788	101.0	1.4923266192062286						283	0.48217910935764613	0.01261218345759224	26.0	0.3279167698973982	94	-0.44040692145913296	0.006373330660932746	37.0	0.2358132344545116
2											250	0.25196666497765935	0.041257523609085384	66.0	2.722996558199635						151	0.30328531197034886	0.024394023642875594	55	1.3416713003581577	284	-0.212460970839002	0.015232428150863375	130.0	1.9802156596122387	38	-0.3797462544139612	0.007118848745257399	49.0	0.3488235885176125											133	-0.4770701661833786	2.266128558803895e-05	72.0	0.0016316125623388044	79	0.3743665981877294	0.024485137583261766	36.0	0.8814649529974236	240	0.2976723239290788	0.01232582944940449	70.0	0.8628080614583142											221	-0.23505927143187078	0.017973334845630993	101.0	1.8153068194087303						195	0.4704900675642207	0.01528070062566007	26.0	0.39729821626716183	139	-0.3953227808281625	0.01544867451551292	37.0	0.5716009570739781
3																					132	-0.30322481954169	0.024423902449902144	55	1.3433146347446179	18	0.2123618956565371	0.015281122174833291	130.0	1.9865458827283278	298	-0.37892382511833483	0.007254567258598307	49.0	0.35547379567131704											73	0.4680415495004067	3.386385369679911e-05	72.0	0.0024381974661695357	250	-0.3589105009632167	0.03158182132381796	36.0	1.1369455676574467	150	-0.2905233501312804	0.014695364576871641	70.0	1.028675520381015											264	-0.2276888762325493	0.022025492163213103	101.0	2.2245747084845235						75	-0.4687342149419804	0.015719007054927778	26.0	0.40869418342812225	142	0.37213379541159697	0.02332584388019191	37.0	0.8630562235671008
4																					92	0.3022671135095926	0.024901058192526745	55	1.369558200588971	54	-0.21037310657032934	0.0162876317330933	130.0	2.1173921253021293	205	-0.3685038781800467	0.00917860310429191	49.0	0.4497515521103036											110	0.449625474526929	7.425644097346963e-05	72.0	0.005346463750089813	36	0.3513580873181345	0.03561756999835535	36.0	1.2822325199407927	58	0.287720380236126	0.015726242397639097	70.0	1.1008369678347367											74	0.22297831901987392	0.02500606837621127	101.0	2.5256129059973382						135	-0.4641434710211543	0.016914053644612806	26.0	0.4397653947599329	39	0.357767293799485	0.02970130762829956	37.0	1.0989483822470838
5																					77	0.29973200184247	0.0262021089961541	55	1.4411159947884755	109	-0.20808107656481029	0.01751856269284235	130.0	2.2774131500695054	80	0.3682916411569258	0.009221980237282181	49.0	0.45187703162682685											263	0.44547717861672625	8.808254316841648e-05	72.0	0.0063419431081259865	191	0.34070647515164065	0.042013746197128776	36.0	1.512494863096636	184	0.28598411589744027	0.016395514990569727	70.0	1.1476860493398808											240	0.2169091953370792	0.029347517735331792	101.0	2.964099291268511						161	-0.46325710291925537	0.017153162653187143	26.0	0.4459822289828657	260	0.35394735854624587	0.03161864405419493	37.0	1.1698898300052123
6																					94	0.2992821042657051	0.0264388619456881	55	1.4541374070128454	49	-0.2034322870130876	0.0202645708074347	130.0	2.634394204966511	102	-0.367465831757974	0.009392448111752766	49.0	0.4602299574758855											199	0.43431088031578446	0.00013798119393108497	72.0	0.009934645963038117	173	0.3351125812062568	0.04572708743932734	36.0	1.6461751478157842	229	0.278592504969973	0.01952546269481917	70.0	1.366782388637342											13	0.2069122740995936	0.03788631170272049	101.0	3.82651748197477						185	0.4612150651137119	0.017714594349473638	26.0	0.4605794530863146	257	-0.3379461436234852	0.04078421307075736	37.0	1.5090158836180223
7																					37	-0.29692521366587354	0.027708676308727486	55	1.5239771969800118	131	0.20076787686893297	0.02199989293548913	130.0	2.859986081613587	184	-0.35922093849961984	0.011248985974524192	49.0	0.5512003127516854											3	0.4267986492864934	0.00018501610889902218	72.0	0.013321159840729598						251	-0.27508664512480857	0.021180102805865745	70.0	1.4826071964106022											123	-0.20613074663727113	0.038633645891709895	101.0	3.9019982350626994						38	0.4594454791935075	0.018213217304164545	26.0	0.47354364990827813	89	-0.3299208404978399	0.04613248167754481	37.0	1.7069018220691579
8																					122	-0.2949100672464154	0.028834507904678605	55	1.5858979347573232	152	-0.19999450331956695	0.022526916005455516	130.0	2.928499080709217	280	-0.3586360214896428	0.011391906447220563	49.0	0.5582034159138076											32	0.4056527675723446	0.0004075933309546342	72.0	0.029346719828733662						237	0.2741714477009473	0.021631198138402145	70.0	1.5141838696881502											88	-0.20509871354714984	0.03963939033392224	101.0	4.003578423726147						147	-0.45691605750310693	0.018945842479431638	26.0	0.4925919044652226	28	0.327707111141216	0.04770310843795483	37.0	1.7650150122043289
