	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	248	0.4054975014205892	0.001589634183984953	58	0.09219878267112727	148	-0.34601103777018394	0.03592718930886871	37.0	1.3293060044281422	87	0.9000969020503656	0.005737900323244258	7.0	0.04016530226270981	218	-0.9376393864716341	0.01851802906868755	5.0	0.09259014534343775	98	-0.6940098229760817	0.025987757664425747	10.0	0.2598775766442575	139	-0.5841739519602308	0.02221087626607362	15.0	0.3331631439911043	131	0.6484811926091569	0.022548327212847014	12.0	0.2705799265541642	121	0.965259939820435	0.0017893442727643562	6.0	0.010736065636586137	41	-0.8934352411185313	0.016428994503481925	6.0	0.09857396702089155	61	-0.7518754793676021	0.012137623378037154	10.0	0.12137623378037155	34	0.5290203631073088	0.04258868493836436	15.0	0.6388302740754654	23	0.9676560209587846	0.03234397904121544	4.0	0.12937591616486177	125	0.5719285874948828	0.025903131938494386	15.0	0.3885469790774158	58	-0.5987395911409273	0.023676937762498663	14.0	0.3314771286749813	71	0.9862263927372414	0.013773607262758558	4.0	0.05509442905103423	233	0.4085446911442872	0.02778321103457738	29.0	0.8057131200027441	80	0.8414146791017059	0.0044619760869192195	9.0	0.04015778478227298	140	0.980078663555809	0.003365189588546996	5.0	0.01682594794273498
1	289	0.38073529165733755	0.0031943045556126898	58	0.185269664225536						149	-0.8659215350098711	0.011746864539714743	7.0	0.0822280517780032	219	-0.913073106577014	0.03036125849327598	5.0	0.15180629246637992	92	-0.6768614186941381	0.03158005311872808	10.0	0.3158005311872808	300	0.5719585289872082	0.02589357100135812	15.0	0.38840356502037177	242	-0.6197230038857909	0.031606187482654646	12.0	0.37927424979185576	145	0.9600972914435336	0.0023565721572008868	6.0	0.01413943294320532	26	-0.8749698440695167	0.022471540387858254	6.0	0.13482924232714952	193	-0.7363070495927793	0.01516725166336115	10.0	0.1516725166336115						105	-0.9576367383306076	0.042363261669392416	4.0	0.16945304667756966	288	-0.5395754170464904	0.03789831042669884	15.0	0.5684746564004826						207	0.9718026470414896	0.028197352958510447	4.0	0.11278941183404179						81	-0.7915595960515927	0.011028628360501776	9.0	0.09925765524451599	84	-0.9687759412823402	0.006592092820006436	5.0	0.03296046410003218
2	57	-0.36717609562362546	0.004579415133940991	58	0.2656060777685775						82	0.8567110378574282	0.01379771418710812	7.0	0.09658399930975684						144	0.6516122915693082	0.0412229191912402	10.0	0.41222919191240204	100	0.5562557708892624	0.031286549959574	15.0	0.46929824939361	240	0.5894391733265956	0.04369827704560236	12.0	0.5243793245472284	192	-0.9565952252459176	0.0027850749633910273	6.0	0.016710449780346165	137	-0.8242138711225033	0.04363518189574486	6.0	0.2618110913744692	263	0.7327186775893998	0.015933765038574514	10.0	0.15933765038574516																					238	0.9557257550989048	0.04427424490109522	4.0	0.17709697960438087						161	0.7788292423491018	0.013390979429216403	9.0	0.12051881486294763	204	-0.9669621753364412	0.007172772054105884	5.0	0.035863860270529416
3	159	0.3620788577183779	0.005223262679399128	58	0.30294923540514945						134	-0.8320309884747871	0.02024347318979773	7.0	0.1417043123285841						95	0.6480003317273114	0.042746689531212974	10.0	0.4274668953121297	74	0.5500627458021312	0.03363095006444553	15.0	0.504464250966683						187	0.9320678497857867	0.006765419685793519	6.0	0.04059251811476111						178	-0.7165977804486192	0.019711800731489173	10.0	0.19711800731489174																					48	-0.9503290484929621	0.04967095150703793	4.0	0.19868380602815172						109	0.7594516293701185	0.01760196731322305	9.0	0.15841770581900746	186	0.9342133469116911	0.02005431756518169	5.0	0.10027158782590846
4	46	0.340859512572682	0.008836419889047743	58	0.5125123535647691						175	-0.8033736757408724	0.02952623420871442	7.0	0.20668363946100093						179	0.6428136602219794	0.04500018454791092	10.0	0.45000184547910915	181	0.5455238411731398	0.035431108301104214	15.0	0.5314666245165632						231	0.9203475612849555	0.009264088603347329	6.0	0.05558453162008398						127	0.7013460686861096	0.02381791050430821	10.0	0.2381791050430821																																				193	-0.9308467669295273	0.021602083524414964	5.0	0.10801041762207482
5	232	-0.332707430958125	0.010716259289360472	58	0.6215430387829074						49	-0.7808363426328624	0.03822811740096356	7.0	0.26759682180674493						53	-0.6335773196229443	0.04920739691084593	10.0	0.49207396910845924	171	0.5430172601882004	0.03645563304755027	15.0	0.546834495713254						69	-0.9080746581195974	0.012287005810248611	6.0	0.07372203486149168						188	-0.6975875513284421	0.02491335029203065	10.0	0.2491335029203065																																				236	0.9306937966359548	0.021673291523074133	5.0	0.10836645761537067
6	149	-0.32763828728612077	0.012051911170095077	58	0.6990108478655145						46	-0.7804241616893639	0.03839894675666836	7.0	0.2687926272966785											38	-0.5249865226247487	0.04449036227914182	15.0	0.6673554341871273						213	0.868663041792116	0.024741353247337866	6.0	0.1484481194840272						34	0.6922718884729413	0.02652094478178719	10.0	0.2652094478178719																																				105	0.9279728602788426	0.022952473247432652	5.0	0.11476236623716327
7	207	-0.3274184613734572	0.012112942734023233	58	0.7025506785733475						272	-0.7763886677595151	0.04009378814165095	7.0	0.2806565169915567											280	-0.5164214739799596	0.04873569453234248	15.0	0.7310354179851372						34	-0.8565195418746058	0.02940307239286355	6.0	0.1764184343571813						101	-0.687584897206558	0.027996125075834967	10.0	0.27996125075834966																																				266	0.8969907460508594	0.03906802019592308	5.0	0.1953401009796154
8	258	-0.3194535839626946	0.014511471319125457	58	0.8416653365092764						57	-0.7762984097784413	0.04013215860867146	7.0	0.2809251102607002											165	0.5151353122982459	0.04939806963916278	15.0	0.7409710445874417						98	0.8504819867168968	0.031862169281851135	6.0	0.1911730156911068						111	0.6867343949005477	0.028269690234314165	10.0	0.28269690234314165																																				276	-0.8944778476809703	0.040490485198882945	5.0	0.2024524259944147
