	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni	Word	Pearson C	P-value	Occ	P-Bonferroni
0	надеяться_VERB	-0.14631803186859701	0.00804835677432506	5.0	40.1773970174307	к_ADP	-0.1589588568559729	0.003953941846274151	19.0	7.797173320852626	разный_ADJ	-0.13072888917461437	0.01802546031051845	18.0	26.55150303739368	старуха_NOUN	0.1440490891915781	0.00909391963077507	7.0	20.75232459742871	была_AUX	0.11060762331118086	0.045650531769253655	6.0	60.35000299895333	он_PRON	0.14635164104468507	0.008033709659380479	22.0	11.648879006101694	интересный_ADJ	-0.18561408289314243	0.0007435679246230425	6.0	1.523570677552614	стоить_VERB	0.14265830304126026	0.009792941416877579	13	22.641280555820963	его_DET	-0.20716933395550313	0.00016133603565721933	7.0	0.1768242950803124	как_ADV	-0.12939114607736316	0.019248337572641386	5.0	25.42705393345927	это_PRON	0.14292182738366166	0.009656942468326475	9.0	15.286939927360809	не_PART	0.15217434663790583	0.005827572596379359	17.0	13.53745114138925	на_ADP	0.1592773691936207	0.003881163390003164	20.0	4.33137834324353	будет_AUX	-0.16012759557904152	0.0036927852021403375	15.0	4.615981502675422	а_CCONJ	0.10918251029482703	0.04852937130189945	11.0	69.05729536260291	-_DET	-0.13125189754607508	0.017566105782642227	6.0	7.3601983229270935	старый_ADJ	0.12190293314008133	0.027512171838287285	7.0	20.138909785626293	и_CCONJ	0.13194815939631577	0.016970453425803184	29.0	12.7957218830556	что_SCONJ	0.12203393831053343	0.02734483348805319	8.0	14.05524441285934
1	бабушка_NOUN	-0.13165017862191924	0.01722318156607073	10.0	85.97812237782507	она_PRON	-0.13067601916550436	0.018072473362795112	74.0	35.63891747143196	не_PART	-0.12612975347797784	0.022536283538290687	45.0	33.19594565190218	вдруг_ADV	-0.13569320786259884	0.014059818091473053	5.0	32.084504884741506						же_PART	0.13458524085559787	0.0148714458547166	10.0	21.56359648933907	жизнь_NOUN	0.12210006478296463	0.02726069987664168	12.0	55.8571740472388	похожий_ADJ	0.13454491955793282	0.014901742207146957	9	34.452827982923765	она_PRON	0.1291579190234308	0.0194687693448549	47.0	21.33777120196097	-_DET	-0.12588337738373723	0.02280332350339285	10.0	30.123190347981954						если_SCONJ	0.1091182273152911	0.04866272626538307	5.0	113.04351311448488	30_NUM	0.14114970888714076	0.010604686438266252	5.0	11.834830065105137	все_PRON	-0.15848348470853835	0.004064857784696358	18.0	5.081072230870448						какой_DET	-0.13125189754607508	0.017566105782642227	6.0	7.3601983229270935	женщина_NOUN	0.11743709482666694	0.03376640170811772	31.0	24.71700605034217										
2	разный_ADJ	0.1273047701931843	0.021299615891203015	5.0	106.32768252888545	поэтому_ADV	-0.12085062780696865	0.028888504555828823	7.0	56.96813098409444	взгляд_NOUN	-0.12010562082186935	0.029898221806610434	7.0	44.040080721137166	душа_NOUN	-0.13563238962425278	0.014103338940672158	8.0	32.18381946261386						а_CCONJ	0.12272143933101533	0.026480918926832107	19.0	38.397332443906556	много_ADV	0.11535642020772834	0.037070795835136124	7.0	75.95806066619392	теперь_ADV	0.13006984023990975	0.018619185149824146	11	43.047556066393426	с_ADP	-0.12618150094380995	0.022480541042831752	9.0	24.6386729829436	за_ADP	-0.12263738941304914	0.02658526087251515	8.0	35.119129612592516											много_ADV	0.12388851552722593	0.02506807543269543	5.0	27.9759721828881	это_PRON	0.14506234810545818	0.008612932249153908	5.0	10.766165311442384											она_PRON	-0.11092117624102196	0.04503673388896691	16.0	32.96688920672378										
3	или_CCONJ	-0.12419770824878468	0.02470483860808408	8.0	123.32655433155573	переживать_VERB	-0.11763994198645486	0.03345809975055837	8.0	65.97937270810111						хотеть_VERB	-0.13491582616095796	0.014625083267970662	29.0	33.37444001750905						бы_AUX	0.11321033587511817	0.040762188513823974	5.0	59.10517334504476						если_SCONJ	0.12965344526835212	0.01900302561620713	5	43.934995224670885	изобразить_VERB	-0.12480683287253155	0.02400250488299952	12.0	26.306745351767475	этот_DET	-0.12257233267167826	0.02666626666416403	21.0	35.22613826336068											через_ADP	0.11241115017725295	0.04221388907208714	8.0	47.110700204449245	и_CCONJ	0.12264719892255105	0.026573064877632502	30.0	33.21633109704063																									
4	и_CCONJ	-0.11182986863440393	0.04329691549625774	70.0	216.13820215731866	мочь_VERB	0.10870575243273572	0.04952571129948879	16.0	97.6647026825919						дождаться_VERB	-0.13082241256746102	0.01794255855456627	5.0	40.94491862152022						один_DET	0.10950037144446562	0.047874450477939465	7.0	69.41795319301222						интересный_ADJ	-0.12514582098201701	0.023619160139528857	8	54.607498242590715	лицо_NOUN	-0.12271290781921917	0.026491494103571475	5.0	29.034677537514337	быть_AUX	-0.11110205233339318	0.04468581946061881	15.0	59.029967507477444											дочь_NOUN	0.11089807351096348	0.04508172120337454	7.0	50.31120086296598																														
5																женщина_NOUN	0.12855159902106614	0.020052125846584022	17.0	45.75895118190474																старуха_NOUN	0.12353642597173063	0.02548730275130239	17	58.92664396101113						поэтому_ADV	-0.11020011929261125	0.04645871437261448	5.0	61.37196168622373																																													
6																что_SCONJ	-0.11627810625075236	0.03557467221954479	66.0	81.1814020050012																спина_NOUN	0.12157159680721809	0.027939330488737528	7	64.59573208996116						в_ADP	0.10863661468856975	0.049671605196411416	32.0	65.61619046445948																																													
7																было_AUX	0.11460993414532399	0.038321298346760804	10.0	87.44920282730816																ничто_PRON	0.11587396059523716	0.036224267053781276	10	83.75050542834231																																																							
8																не_PART	-0.11324323896810887	0.0407033349273153	73.0	92.88501030413352																сын_NOUN	-0.11466023069886097	0.03823593504067258	30	88.40148181403501																																																							
