	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	269	-0.14790939327288447	0.03386587349202955	206.0	6.9763699393580865	120	-0.19706408409080323	0.003482471698603917	218.0	0.7591788302956539	7	0.2537264311441368	0.0019292381813974648	147.0	0.28359801266542733	60	-0.1667272601655089	0.026555243450949322	177.0	4.70027809081803	55	0.3044071480263227	0.0010451856220446913	113.0	0.11810597529105012	87	-0.3108494924677035	0.0032011772293099035	88.0	0.2817035961792715	57	0.25925702400435946	0.003931797384530585	122.0	0.4796792809127314	266	0.12593662061480107	0.03864101527847644	270.0	10.433074125188638	35	-0.22815466354696465	0.007551548395353745	136.0	1.0270105817681094	2	0.25782445588921116	0.0024424983801273237	136.0	0.33217977969731605	72	-0.4678640319120295	5.745775631590056e-05	68	0.003907127429481239	78	0.3122141481151945	0.018060262266513853	57.0	1.0294349491912895	140	-0.2709179033234386	0.022301544280880246	71.0	1.5834096439424974	100	-0.44857884371113604	0.0025532054079733784	43.0	0.10978783254285528	274	0.3279082691738654	0.004079677657645278	75.0	0.3059758243233959	37	-0.33050238729918174	0.005199906498326547	70.0	0.36399345488285834	99	-0.33921007799128533	0.01834553559154111	48.0	0.8805857083939733	80	0.4158487451460713	0.016088315542491502	33.0	0.5309144129022195	124	-0.5176376465097913	0.0024114992829374782	32.0	0.0771679770539993	84	-0.27465849815214527	0.02681686439820476	65.0	1.7430961858833094	92	-0.4826951948474065	0.002479837762645441	37.0	0.09175399721788131
1						192	0.18654891579199978	0.005730410943972535	218.0	1.2492295857860125	156	0.2084968859547139	0.011269635272413646	147.0	1.6566363850448058	57	0.15184793184628376	0.04363221693080849	177.0	7.722902396753102	28	0.2503776000009829	0.00747958717284598	113.0	0.8451933505315957	80	-0.2982119557630773	0.004772682593397994	88.0	0.41999606821902347	246	0.23318773313663102	0.009741700484184438	122.0	1.1884874590705015	71	-0.12473353806940903	0.04055242942539943	270.0	10.949155944857846	98	-0.1828367976507836	0.03312725653839778	136.0	4.505306889222098	95	-0.24992040694711545	0.003342378285612816	136.0	0.454563446843343	106	0.4235087134428539	0.00032002246505280274	68	0.021761527623590585	82	0.2909165478651151	0.028132308182009604	57.0	1.6035415663745474	160	0.24652231795074772	0.03822200471095343	71.0	2.7137623344776935	73	-0.3893082299213074	0.009870670977411223	43.0	0.4244388520286826	246	0.2959748776813608	0.009931372313956969	75.0	0.7448529235467727	273	-0.29812740058026405	0.012186894358532234	70.0	0.8530826050972563	240	-0.3328411065248662	0.02080273812722646	48.0	0.9985314301068701	140	-0.3991961377632865	0.02136923227553123	33.0	0.7051846650925306	126	0.4832747194729357	0.005079759003916959	32.0	0.1625522881253427	35	-0.2644557054648458	0.03327086903018345	65.0	2.162606486961924	87	-0.4404706449584433	0.006364822771542402	37.0	0.23549844254706886
2						12	-0.16895753702951524	0.012479996882859237	218.0	2.720639320463314	65	0.20526969651836288	0.012626444603618064	147.0	1.8560873567318554						70	-0.2492488650248239	0.007762090155792563	113.0	0.8771161876045597	161	-0.28366314299211365	0.007401928934849534	88.0	0.651369746266759	3	-0.23010332765021113	0.010780929255293172	122.0	1.315273369145767						293	-0.18240546346707612	0.03355114772981246	136.0	4.562956091254494	122	-0.24092756036958352	0.004720917636737771	136.0	0.6420447985963368	14	-0.400922808939638	0.0007037118240494609	68	0.047852404035363345	224	-0.28291584228829886	0.0329720485269082	57.0	1.8794067660337674	133	0.2407696969285971	0.04311328207130652	71.0	3.061043027062763	127	0.33633390514909095	0.02744113448588785	43.0	1.1799687828931775	214	0.2739955922129666	0.017372283796367582	75.0	1.3029212847275686	235	0.2890261592636581	0.01523851303919691	70.0	1.0666959127437836	109	0.32952337358090655	0.02218897752949592	48.0	1.0650709214158043	145	-0.3961703539023765	0.02246790660265145	33.0	0.7414409178874978	182	0.4423934007339311	0.01123394126442076	32.0	0.35948612046146433	57	-0.2519954114542996	0.042863360059359916	65.0	2.7861184038583944	230	0.4200318003613895	0.009647697324973312	37.0	0.35696480102401257
3						268	0.14960695695150286	0.027197877776172608	218.0	5.929137355205628	177	-0.2030252337012679	0.013652534703549577	147.0	2.006922601421788						152	0.24807207777214552	0.008066621350253588	113.0	0.9115282125786555	10	0.27836935281075265	0.008636364433286307	88.0	0.760000070129195	191	0.22794919594902346	0.011563275453095509	122.0	1.410719605277652						22	-0.1812314540365671	0.03472819791342592	136.0	4.7230349162259255	207	0.23213059509554806	0.006541109695835893	136.0	0.8895909186336814	8	0.38140090914848707	0.0013318075043950663	68	0.0905629102988645	167	0.2703173809340548	0.04198496504783101	57.0	2.3931430077263673	166	-0.2386531179912501	0.04503841879659283	71.0	3.197727734558091	215	0.3335060877629019	0.02885229640806643	43.0	1.2406487455468564	60	-0.27274267719410367	0.017912497382579128	75.0	1.3434373036934346	142	0.27988180668846974	0.01894537186791748	70.0	1.3261760307542236	118	-0.31462385655228675	0.02940888367459023	48.0	1.4116264163803312	159	0.38702491919982546	0.026075698298285228	33.0	0.8604980438434126	96	0.4285208772018188	0.014405473007261969	32.0	0.460975136232383	82	0.24713183746336967	0.04717981758326426	65.0	3.066688142912177	276	-0.40867220948609956	0.012029706095822448	37.0	0.4450991255454306
4						107	-0.14861698071254997	0.028243617295656716	218.0	6.157108570453164	143	-0.1964253339194355	0.017103395996178678	147.0	2.5141992114382656						156	0.2470941800269841	0.008327660644124968	113.0	0.9410256527861214	117	-0.27647725473744506	0.009119527675094939	88.0	0.8025184354083547	242	0.22280293397821146	0.013636689090893323	122.0	1.6636760690889854						175	-0.18029269082464017	0.03569430890068568	136.0	4.854426010493253	93	-0.22741512636097375	0.007754059500101556	136.0	1.0545520920138116	143	-0.37397703182557057	0.0016805209680217858	68	0.11427542582548143	175	0.2675155364265406	0.04424292699239314	57.0	2.5218468385664092						187	0.30680031256365653	0.045382695790587846	43.0	1.9514559189952774	136	0.22939548885713193	0.047732547808837046	75.0	3.5799410856627785	125	0.27965076676277745	0.019048225806886532	70.0	1.3333758064820573	54	0.3122926943901544	0.030698258845318	48.0	1.4735164245752639	118	0.38321395519422047	0.027713336437943402	33.0	0.9145401024521322	290	0.42813872025173527	0.014502470646057135	32.0	0.4640790606738283						71	0.4071643370426991	0.012380515044067359	37.0	0.4580790566304923
5						24	-0.14759429088183082	0.029359854052714615	218.0	6.400448183491786	119	0.19286861386972123	0.019259801403961843	147.0	2.831190806382391						45	0.2460405774936984	0.008617224080580799	113.0	0.9737463211056303	106	0.27591997828543513	0.009266279315699405	88.0	0.8154325797815476	34	-0.21387428098824052	0.018008724485484903	122.0	2.197064387229158											16	0.2259712851960546	0.008163345806755316	136.0	1.110215029718723	100	-0.36702214008616235	0.002079481983991192	68	0.14140477491140108	113	0.2652443387596897	0.04614554306671852	57.0	2.6302959548029556						41	0.30611590846306436	0.04589059483051438	43.0	1.9732955777121184						64	-0.2751632472029642	0.02114271215158685	70.0	1.4799898506110796	124	0.29389076851373125	0.0426133830967268	48.0	2.0454423886428863	46	0.3693122866529225	0.034416591394634266	33.0	1.135747516022931	190	0.414375310871767	0.018378283553109914	32.0	0.5881050736995173						38	0.405761655165895	0.012714590552801221	37.0	0.47043985045364517
6						93	-0.14616900778285277	0.030978228227907616	218.0	6.75325375368386	266	0.1866387128717404	0.02360591187733378	147.0	3.4700690459680654						293	-0.23523334727162337	0.012139568758782911	113.0	1.3717712697424689	99	0.26967758329767894	0.01105704399566493	88.0	0.9730198716185138	248	-0.20911330584441432	0.020801259160164707	122.0	2.537753617540094											125	0.22579157457731625	0.008215603384439123	136.0	1.1173220602837208	262	-0.362294747339969	0.0023971269702152864	68	0.1630046339746395	105	-0.26229674105068523	0.04871415476927513	57.0	2.7767068218486823						172	-0.3040297998672361	0.0474672043520647	43.0	2.041089787138782						143	-0.2658940782381857	0.02609546123850056	70.0	1.8266822866950392	64	0.29015825968541453	0.045440556803394226	48.0	2.1811467265629227	49	-0.35005480117034515	0.0458181074510986	33.0	1.5119975458862538	54	-0.4136575930007805	0.018601947391584574	32.0	0.5952623165307064						114	-0.4046393201884536	0.012987360335559625	37.0	0.48053233241570614
7						52	0.1368977109599324	0.043469957172396524	218.0	9.476450663582442	210	-0.1852345970208184	0.024694234470033213	147.0	3.6300524670948824						289	-0.22723841178100282	0.015500293140561824	113.0	1.7515331248834862	236	0.2612372546657894	0.013954407688434234	88.0	1.2279878765822125	76	0.20555011652188368	0.023128018681827168	122.0	2.8216182791829145											131	-0.22532481779898064	0.008352715577705415	136.0	1.1359693185679365	192	0.35427179592969094	0.003036530392977843	68	0.2064840667224933																					274	-0.2604630862157717	0.029429036632241574	70.0	2.06003256425691						99	0.3490344024248733	0.046497717607294625	33.0	1.5344246810407227	123	0.40312375465385697	0.02215307764550733	32.0	0.7088984846562345						174	0.40370365166142164	0.013218530201431674	37.0	0.48908561745297197
8											199	-0.18468283311822445	0.025133527170242753	147.0	3.6946284940256846						43	0.22551573301351416	0.01632199648460587	113.0	1.8443856027604635	84	-0.25855721188210656	0.015002662090516941	88.0	1.320234263965491	217	-0.20520160527751222	0.023367137750427515	122.0	2.850790805552157											141	0.22179448607561447	0.009456984124226587	136.0	1.2861498408948158	109	-0.3540593349147658	0.003055354811916669	68	0.2077641272103335																					177	0.2582376287424849	0.03089492166976933	70.0	2.162644516883853						14	-0.346144910815465	0.048466022770374935	33.0	1.599378751422373	41	-0.39488894587584944	0.025303363804321057	32.0	0.8097076417382738						268	0.4003407098687495	0.01407831778021168	37.0	0.5208977578678322
