Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
же_PART,-0.1,0.01467,33,14.07,fpi_lex_повествование.tsv
но_CCONJ,0.1,0.02321,27,22.26,fpi_lex_повествование.tsv
на_ADP,0.08,0.04754,22,45.59,fpi_lex_повествование.tsv
