Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
она_PRON,-2.33,0.02074,9,42,51,103.51,fpi_lex_описание.tsv
еще_ADV,-2.32,0.02093,0,10,10,104.49,fpi_lex_описание.tsv
ладно_PART,2.35,0.02123,9,3,12,51.63,big5_lex_повествование.tsv
думать_VERB,-2.31,0.02189,10,53,63,109.27,fpi_lex_описание.tsv
сам_ADJ,2.3,0.02234,12,2,14,111.51,fpi_lex_повествование.tsv
мама_NOUN,-2.29,0.0226,1,18,19,112.84,fpi_lex_повествование.tsv
грустный_ADJ,-2.27,0.02363,1,11,12,117.97,fpi_lex_повествование.tsv
понять_VERB,-2.25,0.02475,2,13,15,123.53,fpi_lex_повествование.tsv
_SPACE,-2.24,0.02565,4,39,43,128.07,fpi_lex_повествование.tsv
за_ADP,-2.22,0.02748,0,10,10,137.16,fpi_lex_описание.tsv
звонить_VERB,-2.21,0.02766,1,17,18,138.07,fpi_lex_повествование.tsv
скорее_ADV,-2.17,0.03061,1,11,12,152.8,fpi_lex_повествование.tsv
для_ADP,-2.16,0.03104,8,50,58,154.95,fpi_lex_повествование.tsv
еще_ADV,-2.16,0.03118,18,88,106,155.66,fpi_lex_повествование.tsv
час_NOUN,-2.16,0.03138,1,10,12,156.64,fpi_lex_повествование.tsv
университет_NOUN,-2.15,0.03187,5,33,38,159.11,fpi_lex_повествование.tsv
мечтать_VERB,-2.14,0.03293,5,21,26,164.39,fpi_lex_повествование.tsv
ты_PRON,-2.13,0.03353,95,273,370,167.38,fpi_lex_повествование.tsv
педагогический_ADJ,-2.13,0.03356,1,13,14,167.52,fpi_lex_повествование.tsv
бы_AUX,-2.13,0.03358,12,68,82,167.63,fpi_lex_повествование.tsv
два_NUM,2.14,0.03363,12,15,27,167.87,fpi_lex_повествование.tsv
пока_SCONJ,-2.13,0.03378,1,9,10,168.64,fpi_lex_повествование.tsv
замечательный_ADJ,-2.12,0.03442,2,17,19,171.84,fpi_lex_повествование.tsv
город_NOUN,-2.12,0.03567,2,10,12,86.75,big5_lex_повествование.tsv
же_PART,-2.09,0.03733,1,9,10,186.37,fpi_lex_описание.tsv
потом_ADV,2.09,0.03781,12,16,28,188.74,fpi_lex_повествование.tsv
то_PRON,-2.08,0.03824,1,16,17,190.87,fpi_lex_описание.tsv
нормальный_ADJ,2.07,0.03947,16,21,37,197.04,fpi_lex_повествование.tsv
но_CCONJ,-2.05,0.04064,44,151,196,202.88,fpi_lex_повествование.tsv
заниматься_VERB,2.02,0.04438,11,18,29,221.55,fpi_lex_повествование.tsv
писать_VERB,2.04,0.04462,12,12,24,108.51,big5_lex_повествование.tsv
