Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
новый_ADJ,-4.52,1e-05,7,54,61,0.01,fpi_lex_повествование.tsv
и_CCONJ,-3.28,0.00111,6,39,46,1.23,fpi_lex_повествование.tsv
и_CCONJ,-2.66,0.00815,5,27,33,9.09,fpi_lex_описание.tsv
очень_ADV,-2.55,0.01098,1,17,18,12.26,fpi_lex_повествование.tsv
ты_PRON,-2.55,0.01182,1,10,11,5.75,big5_lex_повествование.tsv
а_CCONJ,-2.51,0.01242,2,21,23,13.86,fpi_lex_повествование.tsv
на_ADP,-2.23,0.02638,8,33,41,29.45,fpi_lex_повествование.tsv
знать_VERB,-2.15,0.03212,1,9,10,35.85,fpi_lex_повествование.tsv
следующий_ADJ,-2.0,0.04634,2,11,13,51.71,fpi_lex_повествование.tsv
