Word/Dim,T-Stat,P-value,Occ(м),Occ(ж),Occ,P-Bonferroni,Text
не_PART,-2.28,0.02296,2,14,16,18.09,fpi_lex_повествование.tsv
но_CCONJ,-2.11,0.03651,1,9,10,15.74,big5_lex_повествование.tsv
