	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	149	-0.15161014617766186	0.01779866956842903	244.0	4.342875374696683	16	0.17295785125158036	0.01823808429805417	186.0	3.3922836794380755	21	0.17377984272727354	0.009475216021903939	222.0	2.1034979568626744	138	-0.13504890018177537	0.026773251256742955	269.0	7.202004588063855	183	0.19646858271102377	0.0006481539992594347	298	0.19314989177931155	160	0.1919521102046198	0.025173776791444214	136.0	3.423633643636413	291	-0.11336770944313045	0.02794534095908565	376.0	10.507448200616205	205	-0.1813169839089866	0.019026869002541174	167.0	3.1774871234243762	99	0.16930513235455852	0.02053440870198045	187.0	3.839934427270344	49	-0.19979045293768027	0.012399128381351649	156.0	1.9342640274908571	52	0.11092879371442026	0.021716558150775483	428.0	9.294686888531906	6	-0.22217130857517678	0.003126593249279735	175.0	0.5471538186239536	75	0.23849068563399745	0.009302441739778155	118.0	1.0976881252938224	91	0.14455763532678625	0.03816588575796969	206.0	7.8621724661417565	284	0.13915791778739145	0.015176851743118619	304.0	4.61376292990806	255	-0.23723168965907623	0.013880118855668054	107.0	1.4851727175564817	27	0.1367212622114539	0.023101394258874638	276.0	6.3759848154494	215	-0.16196244596115336	0.02405718798013392	194.0	4.66709446814598	83	0.18590281791521251	0.030242817734211343	136.0	4.1130232118527426	246	0.2136520771520746	0.03372064581865981	99.0	3.338343936047321
1	236	0.12875494792311315	0.044509605864586	244.0	10.860343830958984	241	-0.16549043197554547	0.023985495290661494	186.0	4.461302124063038	82	0.16556461376141293	0.013511244639896591	222.0	2.9994963100570433	152	0.13053523448996682	0.03234407261474932	269.0	8.700555533367568	172	-0.19117442907832535	0.0009100348998572396	298	0.2711904001574574											137	0.16860298479904706	0.029399863292395044	167.0	4.909777169829972	12	0.14752992221132552	0.04390953366056476	187.0	8.21108279452561	196	0.18577274119179063	0.020238909820412113	156.0	3.1572699319842896						165	-0.19140940224779016	0.011165742700990905	175.0	1.9540049726734083	117	-0.2323613125167558	0.011342173534201574	118.0	1.3383764770357858	33	0.1427027319539028	0.04073763437077662	206.0	8.391952680379983	116	-0.12909893175912113	0.024380989614715968	304.0	7.411820842873654	276	-0.23350447392614115	0.015495716892875268	107.0	1.6580417075376537	134	-0.12385594866464482	0.039759888911171354	276.0	10.973729339483294	290	-0.15510094350260054	0.030816809763726277	194.0	5.978461094162898										
2	285	0.12574067851018858	0.04978117368533763	244.0	12.146606379222382						226	-0.15813680683369907	0.01838662662561044	222.0	4.081831110885518	89	-0.12456125994127447	0.041211098686016585	269.0	11.085785546538462	75	0.1874981342916537	0.0011459406306660253	298	0.3414903079384755											17	-0.1654243468265828	0.03264364947835484	167.0	5.451489462885258	291	0.14709027495292926	0.04454960372127067	187.0	8.330775895877615	23	-0.18255871301499105	0.02254707804400211	156.0	3.517344174864329						40	0.1514556103274568	0.04541739859210457	175.0	7.9480447536183	275	0.2293370434362298	0.012485818146349461	118.0	1.4733265412692365						117	0.125978233404769	0.028076659194697696	304.0	8.5353043951881	34	-0.21502034250318466	0.026138545568687183	107.0	2.796824375849529						88	-0.15226250814947026	0.03405333779588948	194.0	6.60634753240256										
3											140	0.14693361380550957	0.02861166646097177	222.0	6.351789954335732						85	-0.18734513938867858	0.0011568806609176321	298	0.34475043695345436											122	-0.16373347227491392	0.03448962348017498	167.0	5.759767121189221	132	-0.14677199607360925	0.04501783356336707	187.0	8.418334876349642	227	0.18036558443171632	0.024249110069108362	156.0	3.7828611707809046						246	-0.1500524288043269	0.04747724905528647	175.0	8.308518584675133	198	-0.21687557531701726	0.01832713443640712	118.0	2.1626018634960404						99	-0.12145991696316959	0.034273008584304855	304.0	10.418994609628676	57	0.2127546103920737	0.027795840452764432	107.0	2.9741549284457944						123	0.15063471906573717	0.036036290980628743	194.0	6.991040450241976										
4											264	-0.14584003725823577	0.029830895473687363	222.0	6.622458795158595						103	-0.18106506391558497	0.0016980763054644282	298	0.5060267390283996											86	-0.15809004786657777	0.04130265995257707	167.0	6.897544212080371	77	0.1465743160208356	0.0453107135433243	187.0	8.473103432601643	241	0.1772103718384805	0.026890615870661765	156.0	4.194936075823235											139	-0.21640647965374127	0.01858686532670915	118.0	2.1932501085516796						145	-0.12022101710376967	0.03616262177889361	304.0	10.993437020783658	142	0.21200008021933983	0.028367208706102934	107.0	3.035291331553014						263	-0.1499898033042513	0.03684849962030738	194.0	7.148608926339632										
5											195	0.1434439008662085	0.03265819464667219	222.0	7.250119211561226						38	0.1721294646996178	0.0028711224368321883	298	0.8555944861759921											163	-0.15742782107712439	0.042171582413673796	167.0	7.042654263083524	113	-0.14419306975803356	0.04896563285936263	187.0	9.156573344700812	17	0.16174948600180133	0.04366354386274985	156.0	6.811512842588977											82	-0.215727135840904	0.018968639897394682	118.0	2.2382995078925725						219	0.12016670123298287	0.03624744940086812	304.0	11.019224617863907	289	-0.21162216828278416	0.028657111232440077	107.0	3.066310901871088																				
6											191	-0.14330802839849777	0.032825124829151835	222.0	7.287177712071707						269	-0.15997851970604665	0.005641880909752977	298	1.681280511106387																					32	0.1609632904654749	0.04471018045163375	156.0	6.974788150454866											89	-0.20977974322471785	0.02260977097039591	118.0	2.6679529745067176						212	0.1190693666550567	0.03799769331301044	304.0	11.551298767155174	172	-0.21141724314664412	0.02881536153084627	107.0	3.083243683800551																				
7											201	-0.1373124618394818	0.04094840331765174	222.0	9.090545536518686						112	0.15936634354645418	0.0058303972320523124	298	1.737458375151589																					180	-0.16031023554690899	0.04559542841567744	156.0	7.11288683284568											223	-0.20908420308680173	0.023072406552980665	118.0	2.7225439732517183						6	-0.11821358118500849	0.03941182906543717	304.0	11.9811960358929	43	-0.21031869783204846	0.029676395326579407	107.0	3.1753742999439964																				
8											162	-0.13659777084864277	0.04202101669287415	222.0	9.32866570581806						114	0.1591839760903175	0.005887638316578176	298	1.7545162183402965																					67	0.15992392767256852	0.04612593835937958	156.0	7.195646384063214											81	-0.2084303906326243	0.02351466199499515	118.0	2.7747301154094277						61	0.11669065231346014	0.04203836962657816	304.0	12.779664366479762	56	-0.20956321086675694	0.030281114407903317	107.0	3.2400792416456548																				
