Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
а_CCONJ,0.13,0.02158,11,30.7,fpi_lex_описание.tsv
что_SCONJ,0.12,0.03088,16,43.94,fpi_lex_описание.tsv
