Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
он_PRON,-0.15,0.00751,29,10.63,fpi_lex_описание.tsv
не_PART,0.09,0.03419,60,48.38,fpi_lex_повествование.tsv
то_PRON,0.09,0.04614,11,65.29,fpi_lex_повествование.tsv
