Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
как_SCONJ,0.1,0.01985,35,26.24,fpi_lex_повествование.tsv
хватать_VERB,-0.09,0.02597,16,34.34,fpi_lex_повествование.tsv
уже_ADV,0.09,0.03581,15,47.34,fpi_lex_повествование.tsv
знать_VERB,0.09,0.04503,11,59.53,fpi_lex_повествование.tsv
