Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
твой_DET,-0.14,0.00093,64,0.72,fpi_lex_повествование.tsv
-_ADV,-0.12,0.0039,10,3.01,fpi_lex_повествование.tsv
она_PRON,-0.15,0.00751,11,5.79,fpi_lex_описание.tsv
гость_NOUN,-0.11,0.00816,26,6.29,fpi_lex_повествование.tsv
буду_AUX,-0.1,0.01838,41,14.17,fpi_lex_повествование.tsv
