	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9																															90	0.166639690693503	0.03136921596076045	167.0	5.238659065446995	54	-0.2504968617049048	0.0016105809994006743	156	0.2512506359065052											34	-0.17232155284725403	0.022586997037834348	175.0	3.952724481621011	117	-0.22916574577722246	0.012553509299515006	118.0	1.4813140973427708						102	-0.13932445140012248	0.04579631016779511	206.0	9.434039894565792															
10																															137	-0.16271458402280273	0.03564407413592032	167.0	5.952560380698694	122	0.2503913314191025	0.0016181731416660388	156	0.25243501009990205											15	0.16602733889552293	0.028102080873417742	175.0	4.917864152848105	11	0.22730915204103752	0.013307997908316436	118.0	1.5703437531813396						38	-0.13715867430513778	0.04930791537072683	206.0	10.157430566369728															
11																															249	-0.1607187417881911	0.038000268308033894	167.0	6.34604480744166	44	0.2499807635495998	0.0016480218387047746	156	0.25709140683794485											136	0.16552008816778274	0.028592820694711626	175.0	5.003743621574535	228	0.22639490667962692	0.01369385724947692	118.0	1.6158751554382766																									
12																															128	0.16043686671856672	0.03834338374230788	167.0	6.403345084965415	204	0.2491201869488278	0.001712220580201992	156	0.26710641051151074											39	-0.1622303504953587	0.03195639102132443	175.0	5.592368428731775	275	0.22557646573509496	0.014047518998656394	118.0	1.6576072418414545																									
13																															192	-0.15875200294051928	0.04044916035361175	167.0	6.755009779053162	265	-0.24821600810775607	0.0017821183518704766	156	0.2780104628917944											14	-0.16140856474091916	0.032847269737662325	175.0	5.748272204090907	204	-0.22539897912351062	0.014125255231004167	118.0	1.6667801172584917																									
14																															150	-0.1587239391489919	0.04048504157564765	167.0	6.761001943133157	34	0.24685788203543363	0.001891997780911587	156	0.2951516538222076											195	0.15980226237604986	0.03464958570028984	175.0	6.063677497550722	173	0.22228152185609076	0.015553032926540165	118.0	1.8352578853317396																									
15																															64	-0.15751120598045446	0.042061334817144996	167.0	7.024242914463215	138	-0.24613085798013995	0.001953316940595609	156	0.30471744273291496											82	0.15710654559173834	0.03786232957571356	175.0	6.625907675749873	234	0.22205017150896714	0.015663818048967226	118.0	1.8483305297781327																									
16																															188	0.15721313621874713	0.0424565439267768	167.0	7.0902428357717255	149	-0.2419850161015582	0.0023388381437333574	156	0.3648587504224038											224	-0.15512280161414962	0.040383912007418137	175.0	7.067184601298174	75	0.22197460457146276	0.015700152408862033	118.0	1.85261798424572																									
17																															231	0.15622491005104083	0.04378915729159914	167.0	7.312789267697057	282	-0.23907335725987378	0.0026495177802388415	156	0.4133247737172593											290	-0.15347258152532997	0.042587732311276875	175.0	7.452853154473453	13	0.21929970551669095	0.017034324993632218	118.0	2.0100503492486017																									
18																															122	0.15426345951653322	0.04653794971209148	167.0	7.771837601919277	106	0.238744212161821	0.00268689134402887	156	0.4191550496685037																68	-0.2139837059742856	0.01997951587727461	118.0	2.357582873518404																									
19																															29	-0.15425951263462231	0.04654362272373949	167.0	7.772784994864495	67	0.23843697759067867	0.0027222068016737365	156	0.4246642610611029																126	0.21284750488681817	0.020663002192374748	118.0	2.4382342587002204																									
20																															89	-0.15406245838705473	0.046827590812103734	167.0	7.820207665621323	260	0.23802193425964285	0.002770581266763383	156	0.43221067761508775																104	0.21126741854899014	0.021646897941251995	118.0	2.5543339570677355																									
21																															297	-0.15356212561316274	0.047555098969408946	167.0	7.941701527891294	133	0.23671726524376555	0.002927749733744394	156	0.4567289584641255																297	-0.2080526453122365	0.023773473021159893	118.0	2.8052698164968675																									
22																															20	-0.1532580873426519	0.04800176702126266	167.0	8.016295092550864	131	0.23657060179432504	0.0029459122944207198	156	0.45956231792963226																276	0.20641828054926806	0.024921543633588384	118.0	2.9407421487634293																									
23																															233	0.15287692008430703	0.04856667606119526	167.0	8.110634902219608	53	0.2364186190690193	0.00296484094292927	156	0.46251518709696615																96	-0.2018298931084084	0.028401028782209473	118.0	3.3513213963007176																									
24																															2	-0.1527778225021202	0.048714446325439295	167.0	8.135312536348362	124	-0.2356084984548618	0.0030676036225774205	156	0.4785461651220776																20	-0.20070075181884764	0.029318000563413563	118.0	3.4595240664828																									
25																															111	0.15207992109489607	0.04976575546875785	167.0	8.310881163282561	99	0.2335061161679594	0.0033494585887016842	156	0.5225155398374628																290	-0.1999466823396659	0.029944278812956335	118.0	3.5334248999288476																									
26																															110	0.15198571767131194	0.04990909574923932	167.0	8.334818990122965	214	-0.2334226615745014	0.0033611139598297463	156	0.5243337777334404																261	0.19886196217231902	0.030865055862753496	118.0	3.6420765918049125																									
27																																				86	0.23272210430341292	0.0034604058931995267	156	0.5398233193391262																80	-0.19544231090497793	0.03392639703813388	118.0	4.003314850499798																									
28																																				212	0.23234214745744433	0.0035153568543104773	156	0.5483956692724344																34	-0.19494035161369472	0.03439663535085602	118.0	4.05880297140101																									
29																																				32	0.23161176556838356	0.003623200996430275	156	0.565219355443123																115	0.19453244055058547	0.03478280591658391	118.0	4.104371098156902																									
30																																				147	0.2313695742780464	0.003659613936220495	156	0.5708997740503973																200	-0.19358725036701163	0.035691683502806756	118.0	4.211618653331198																									
31																																				108	-0.23040789851930787	0.003807473608677769	156	0.593965882953732																159	-0.1930347754494503	0.03623213299739267	118.0	4.275391693692335																									
32																																				258	-0.22972877667912125	0.003915105475711125	156	0.6107564542109356																272	-0.19277128795708579	0.036492300177802445	118.0	4.306091420980689																									
33																																				277	-0.2272111746731606	0.00433839425067524	156	0.6767895031053375																163	0.19270993711487547	0.03655310289404886	118.0	4.313266141497765																									
34																																				151	0.22681804625889918	0.004408077839369596	156	0.687660142941657																147	0.19071851995176034	0.038573494098794445	118.0	4.551672303657744																									
35																																				7	0.2267861765996985	0.004413770641387347	156	0.6885482200564261																267	0.19071620616940027	0.038575894939939105	118.0	4.551955602912814																									
36																																				103	-0.22593727256677862	0.004567857479353195	156	0.7125857667790985																91	0.19017072369407256	0.039145410449040276	118.0	4.619158432986753																									
37																																				78	0.22485164500766852	0.004771934987981539	156	0.7444218581251201																241	0.188767281625026	0.040643156218666626	118.0	4.795892433802662																									
38																																				279	0.223075739226298	0.005123432529154146	156	0.7992554745480467																142	-0.18872709347170888	0.04068674122047263	118.0	4.80103546401577																									
39																																				269	-0.22257303268663514	0.00522705224400673	156	0.8154201500650499																49	-0.18857016770838675	0.04085730553429978	118.0	4.821162053047374																									
40																																				177	-0.2225399556878268	0.0052339354787596035	156	0.8164939346864981																19	0.18829799366359748	0.041154552557337826	118.0	4.856237201765864																									
41																																				150	-0.2220753943318384	0.00533146979833847	156	0.8317092885408013																59	0.1878293401150968	0.041670615670632724	118.0	4.917132649134661																									
42																																				60	-0.2216815824783761	0.005415419802290577	156	0.84480548915733																25	-0.1870557651537489	0.04253427082877842	118.0	5.019043957795853																									
43																																				173	0.22144492789044332	0.005466434738704418	156	0.8527638192378892																30	0.1868899468133353	0.042721329697996406	118.0	5.041116904363576																									
44																																				4	-0.22122236391642566	0.005514803701647636	156	0.8603093774570313																211	-0.1859667771271387	0.04377534618729562	118.0	5.165490850100883																									
45																																				296	0.22117519198119223	0.00552510438475479	156	0.8619162840217472																269	-0.18507005320168815	0.0448198323736218	118.0	5.288740220087372																									
46																																				299	0.2203425434416407	0.005709777646230394	156	0.8907253128119414																71	0.18261465347930686	0.04778647135587706	118.0	5.638803619993493																									
47																																				75	0.21970603031536295	0.005854647090047852	156	0.913324946047465																190	-0.18214783310353747	0.04836852329572897	118.0	5.707485748896019																									
48																																				176	0.21951322063812692	0.005899173095947287	156	0.9202710029677768																278	-0.18208484887380977	0.048447502872842815	118.0	5.716805338995452																									
49																																				207	-0.21929778854205703	0.00594928062611492	156	0.9280877776739275																3	-0.18187906283905098	0.04870629548136966	118.0	5.74734286680162																									
50																																				93	0.21929586948600638	0.005949728682352324	156	0.9281576744469626																160	-0.1818083944574498	0.04879543051434881	118.0	5.757860800693159																									
51																																				136	-0.21850182639331234	0.006137724080679119	156	0.9574849565859427																50	-0.1815972742592824	0.049062524811581174	118.0	5.789377927766578																									
52																																				135	0.2183890679984739	0.00616484559462261	156	0.9617159127611272																153	-0.18123708712436845	0.0495210031206606	118.0	5.8434783682379505																									
53																																				20	-0.21806751813964945	0.006242775040304232	156	0.9738729062874601																																													
54																																				287	-0.2172721605352971	0.006439319572411634	156	1.004533853296215																																													
55																																				162	0.21698313266250024	0.006512096724127784	156	1.0158870889639342																																													
56																																				102	0.21672421800625943	0.006577912494679416	156	1.026154349169989																																													
57																																				48	-0.21670781321542537	0.006582102455229059	156	1.026807983015733																																													
58																																				298	-0.2164128438043803	0.006657847445845224	156	1.038624201551855																																													
