	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
114																																				6	0.18829262075914072	0.018574832461179854	156	2.8976738639440573																																													
115																																				25	-0.18822382762825823	0.01861863746485031	156	2.9045074445166486																																													
116																																				64	0.18704841376772594	0.019381046486189095	156	3.023443251845499																																													
117																																				175	0.18496901807235996	0.02079608001540707	156	3.2441884824035028																																													
118																																				187	0.18460882697603193	0.021050042946514975	156	3.283806699656336																																													
119																																				111	0.18457108251054963	0.021076809997009595	156	3.2879823595334967																																													
120																																				140	0.18401092467909308	0.021477519360796834	156	3.350493020284306																																													
121																																				37	0.18391322458586998	0.02154807775499246	156	3.3615001297788236																																													
122																																				100	-0.18359468720874514	0.0217795130143972	156	3.397604030245963																																													
123																																				188	0.18328805216516042	0.022004320854362696	156	3.4326740532805804																																													
124																																				157	-0.1821930790120558	0.022823483652843618	156	3.5604634498436045																																													
125																																				24	-0.18212200384361474	0.02287755088714327	156	3.56889793839435																																													
126																																				163	0.18077202113791116	0.02392560671168513	156	3.7323946470228804																																													
127																																				266	0.18043183998008666	0.024196119205089243	156	3.7745945959939218																																													
128																																				88	0.18021386764091496	0.024370827761473424	156	3.8018491307898543																																													
129																																				33	0.18018612453637686	0.02439314180953422	156	3.8053301222873386																																													
130																																				268	-0.17997562295753658	0.024563022189166044	156	3.831831461509903																																													
131																																				101	0.17887659149134155	0.025466546996403914	156	3.9727813314390104																																													
132																																				145	0.17796966031120534	0.0262334458752023	156	4.092417556531559																																													
133																																				300	-0.1775562303683014	0.026589547526017342	156	4.147969414058705																																													
134																																				8	0.17684414768690887	0.02721258457953733	156	4.245163194407823																																													
135																																				226	-0.17643142890339128	0.027579372004170166	156	4.302382032650546																																													
136																																				283	0.17631554934839666	0.027683111433338337	156	4.318565383600781																																													
137																																				229	0.1748584053411283	0.029016298086523583	156	4.526542501497679																																													
138																																				211	-0.17453559023464155	0.02931894477028015	156	4.573755384163704																																													
139																																				80	-0.17323294730729655	0.030567672566382324	156	4.768556920355643																																													
140																																				243	-0.17167344756880584	0.03212184650017512	156	5.011008054027319																																													
141																																				40	-0.17088537201425227	0.03293240801022228	156	5.137455649594675																																													
142																																				237	-0.1707382518677705	0.03308563071577722	156	5.161358391661246																																													
143																																				142	-0.16815333372352004	0.03587792458801107	156	5.596956235729727																																													
144																																				232	-0.16807830438525673	0.035961857672770006	156	5.610049796952121																																													
145																																				104	-0.16775405912455613	0.03632649001621166	156	5.666932442529019																																													
146																																				199	-0.16737390222435214	0.03675796698666075	156	5.7342428499190765																																													
147																																				209	-0.1661237937301753	0.03820743529121222	156	5.960359905429106																																													
148																																				70	-0.16596799566106507	0.03839140661442145	156	5.989059431849745																																													
149																																				117	-0.1652984215001033	0.039190571294327126	156	6.113729121915032																																													
150																																				203	0.16485686089259954	0.03972520999807572	156	6.197132759699812																																													
151																																				89	-0.16406422695405057	0.040700302900024465	156	6.349247252403817																																													
152																																				289	0.1633777908252964	0.04156090891192983	156	6.483501790261053																																													
153																																				77	-0.16269834559572305	0.04242772342412678	156	6.618724854163778																																													
154																																				113	-0.16145713492738756	0.04405032288621206	156	6.871850370249081																																													
155																																				66	-0.1613201773919642	0.044232499761085564	156	6.9002699627293484																																													
156																																				285	0.16123437209175173	0.04434695594182722	156	6.918125126925046																																													
157																																				244	-0.1599450351057785	0.04609681953810263	156	7.19110384794401																																													
158																																				84	0.15986322018440283	0.04620977306137347	156	7.208724597574261																																													
159																																				167	-0.15978492309767633	0.046318085879879324	156	7.2256213972611745																																													
160																																				41	-0.15952340475394683	0.046681394317960055	156	7.282297513601769																																													
161																																				42	-0.15843736897063387	0.04821564793152155	156	7.521641077317361																																													
162																																				129	-0.15827845751275343	0.04844362287100653	156	7.557205167877019																																													
163																																				119	-0.15819686970487226	0.048561016864800945	156	7.575518630908947																																													
