	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	он_PRON	он_PRON	он_PRON	он_PRON	он_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	5	0.14164328227299686	0.046533082807518826	198.0	9.213550395888728	197	0.31902573028425785	0.012974289124802668	60.0	0.7784573474881601	214	0.219111692290722	0.03586251239609593	92.0	3.299351140440826	232	-0.34646576786182	0.009563016460247613	55.0	0.5259659053136188	81	0.29295974249944434	0.041068309965502814	49.0	2.0123471883096378	162	0.3589152103318543	0.0030822220571471467	66.0	0.20342665577171168	36	0.5732948673375857	1.4148879340172218e-07	72	1.0187193124923997e-05	296	0.38689342587393893	0.019751436713915112	36.0	0.711051721700944	132	-0.4717509505096433	0.004853386888532926	34.0	0.1650151542101195	156	-0.271839355620665	0.03727313506586827	59.0	2.199114968886228	39	0.22848705018030316	0.03895403637088384	82.0	3.194230982412475	204	-0.27883749645832484	0.004748283956085736	101.0	0.47957667956465927	107	0.3050638921078768	0.04405242282644907	44.0	1.9383066043637591	261	0.5659646015765495	0.0002613349744859888	37.0	0.009669394055981585
1						201	-0.25734567543467873	0.04714119603093032	60.0	2.828471761855819						68	-0.30450720778128354	0.023797052334325993	55.0	1.3088378783879295	61	0.29268074477388534	0.041270290329721994	49.0	2.0222442261563778	194	0.33763214486469056	0.0055636736872482365	66.0	0.36720246335838364	75	0.5316661280746627	1.5424553868346754e-06	72	0.00011105678785209663						35	-0.4686414120532842	0.005181649216369739	34.0	0.17617607335657112						246	0.22459644045945146	0.04250106709651726	82.0	3.4850875019144154	223	0.24725204660370076	0.012675617309444867	101.0	1.2802373482539315						55	0.48004845348258646	0.002640056188169997	37.0	0.09768207896228989
2																135	-0.28326501589002157	0.03611493698897083	55.0	1.9863215343933955	171	0.28500317249850937	0.047155824308596626	49.0	2.3106353911212345	215	-0.3126139543018283	0.010601635100907753	66.0	0.6997079166599116	201	-0.52600841890498	2.083232638483249e-06	72	0.00014999274997079393						57	-0.45329695626175426	0.0070957142479456965	34.0	0.24125428443015368											13	0.22818564162264213	0.02172968434425182	101.0	2.194698118769434						102	0.45310250871332264	0.004859796705744586	37.0	0.17981247811254966
3																132	-0.27662883650172604	0.040904294835706255	55.0	2.249736215963844	52	-0.28359642816150754	0.04830488797025638	49.0	2.366939510542563	175	-0.30414780204259273	0.013034553625643184	66.0	0.8602805392924502	60	0.5149923498252944	3.683199427675856e-06	72	0.00026519035879266165						274	0.45158686314238866	0.007342368954116307	34.0	0.24964054443995443											299	-0.22367845566678754	0.024542406969427832	101.0	2.4787831039122112						201	0.45029860010121664	0.005164195018919933	37.0	0.19107521570003752
4																30	0.26763845325917357	0.04821475332735233	55.0	2.651811433004378						55	0.287094874473771	0.019426580655003096	66.0	1.2821543232302044	124	-0.4986717570733419	8.267403691106092e-06	72	0.0005952530657596386						39	0.43942687756063514	0.009316584281900197	34.0	0.3167638655846067											240	0.22010187696135272	0.02699014751981333	101.0	2.7260048995011466						14	-0.4374814323459515	0.006774600690546919	37.0	0.250660225550236
5																										216	-0.2862711798935512	0.01979342473888247	66.0	1.306366032766243	77	0.4985107320645948	8.331907571095446e-06	72	0.0005998973451188721						204	-0.43461504745487667	0.010213703231392956	34.0	0.3472659098673605											187	-0.21073493382923722	0.03440314503699173	101.0	3.474717648736165						60	0.4003290700782663	0.014081373678987437	37.0	0.5210108261225351
6																										46	0.2829528375167968	0.02133170269075925	66.0	1.4078923775901104	57	-0.4855577286804932	1.5372494691526608e-05	72	0.0011068196177899158						278	-0.4217659843026128	0.01297514824247928	34.0	0.4411550402442955											126	-0.21050239904416987	0.03460704579277346	101.0	3.4953116250701197						284	0.3964337470783496	0.015135983405293884	37.0	0.5600313859958737
7																										204	-0.2793302050146991	0.023125940313534682	66.0	1.526312060693289	32	0.47257465984695385	2.7717927375922636e-05	72	0.00199569077106643						45	-0.4173614414445077	0.014055907241225997	34.0	0.4779008462016839											107	0.20324834830883753	0.04149740745253653	101.0	4.191238152706189						210	-0.384023694665484	0.018949446083628134	37.0	0.701129505094241
8																										199	0.2676256755265498	0.029821299227127257	66.0	1.968205748990399	263	0.4682584261365448	3.3543094934740455e-05	72	0.0024151028353013126						3	-0.38692395162857585	0.023783597787098622	34.0	0.8086423247613531											9	-0.20166808101891712	0.043141182342426775	101.0	4.357259416585104						220	-0.3740596736400809	0.02256483618923184	37.0	0.8348989390015781
