Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
жизнь_NOUN,0.14,0.01319,22,19.13,fpi_lex_описание.tsv
в_ADP,0.13,0.01681,56,24.38,fpi_lex_описание.tsv
разный_ADJ,0.12,0.03614,13,52.4,fpi_lex_описание.tsv
женщина_NOUN,-0.12,0.03777,32,54.77,fpi_lex_описание.tsv
что_SCONJ,-0.11,0.04862,47,70.49,fpi_lex_описание.tsv
