Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
думать_VERB,-0.14,0.00148,12,1.65,fpi_lex_повествование.tsv
новый_ADJ,-0.11,0.00771,61,8.61,fpi_lex_повествование.tsv
что_SCONJ,-0.09,0.03817,23,42.6,fpi_lex_повествование.tsv
а_CCONJ,-0.09,0.03869,23,43.18,fpi_lex_повествование.tsv
