Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
ты_PRON,-0.13,0.00232,28,2.24,fpi_lex_повествование.tsv
пройти_VERB,-0.1,0.022,11,21.25,fpi_lex_повествование.tsv
ходить_VERB,0.1,0.0255,10,24.64,fpi_lex_повествование.tsv
этот_DET,-0.09,0.02753,12,26.59,fpi_lex_повествование.tsv
свой_DET,-0.09,0.04582,12,44.26,fpi_lex_повествование.tsv
что_PRON,0.08,0.04995,11,48.26,fpi_lex_повествование.tsv
