	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	знать_VERB	знать_VERB	знать_VERB	знать_VERB	знать_VERB	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	видеть_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	190	0.1714180820227433	0.01123831660789953	218.0	2.449953020522097											164	0.20743774561943093	0.02242903630058067	122.0	2.736342428670842						142	0.20508474097129298	0.017026640552609194	136.0	2.3156231151548505																					166	-0.22084029493749283	0.046175762087096735	82.0	3.7864124911419323	121	0.29278465313409596	0.010799287338185713	75.0	0.8099465503639285	37	0.2643082155559375	0.027034144150236642	70.0	1.892390090516565	101	-0.2937763780396657	0.04269783887588075	48.0	2.049496266042276											265	-0.3301083257826072	0.007241917427063252	65	0.47072463275911136					
10	54	0.1711513564652956	0.011367434865425432	218.0	2.478100800662744											221	-0.2073763092476944	0.022469784262039688	122.0	2.741313679968842						63	0.20287469687110984	0.01828149248144366	136.0	2.4862829774763378																					205	0.21979758147281617	0.04724118166114243	82.0	3.8737768962136796	252	-0.29184157465262306	0.01106818361874765	75.0	0.8301137714060737	92	0.2516790405601214	0.03557575727012406	70.0	2.4903030089086844	198	-0.29055435533502716	0.04513347135027203	48.0	2.1664066248130576											86	0.328804294908814	0.007489245249588232	65	0.4868009412232351					
11	124	0.16955757510878663	0.012166563519389684	218.0	2.652310847226951											168	-0.20564019352225862	0.02364782670039933	122.0	2.8850348574487183						201	-0.20139860249472646	0.019163519867330916	136.0	2.6062387019570044																					172	-0.21890056946497924	0.04817388150371695	82.0	3.95025828330479	291	0.29152180866382227	0.011160670100193884	75.0	0.8370502575145413	128	0.24541104729754187	0.04058790273254898	70.0	2.841153191278429	268	-0.2897147594242494	0.04578641225744013	48.0	2.1977477883571264											70	-0.3286362379889278	0.007521651219620166	65	0.4889073292753108					
12	82	-0.16933629761063365	0.012281333524717532	218.0	2.677330708388422											225	0.20557053246058213	0.023696179049327703	122.0	2.89093384401798						71	-0.20085681856369594	0.019496361376251603	136.0	2.651505147170218																					83	-0.2182479687210117	0.048861941002961956	82.0	4.006679162242881	186	0.2886067906856409	0.012035245671749404	75.0	0.9026434253812053	81	0.2435324243984691	0.042199405773860624	70.0	2.9539584041702436	288	0.28551823510275104	0.04916628005051027	48.0	2.359981442424493											95	0.3265023946972006	0.007943909388357004	65	0.5163541102432052					
13	218	-0.16920258693038445	0.01235114596921551	218.0	2.6925498212889813											89	-0.2049224309643458	0.02415010536039296	122.0	2.946312853967941						192	0.19885415956489022	0.020770385709237976	136.0	2.8247724564563645																										59	0.28839887497470484	0.012099837932541596	75.0	0.9074878449406197	88	0.2394648886426813	0.04587034792530062	70.0	3.2109243547710435																16	-0.3251325204420179	0.008225779698545028	65	0.5346756804054268					
14	10	-0.16826701225222787	0.0128494650241581	218.0	2.801183375266466											267	0.20471778534220264	0.024294975338672854	122.0	2.9639869913180883						164	0.19655063840132952	0.022323939878210144	136.0	3.0360558234365795																										68	0.2861637005224086	0.01281345380619371	75.0	0.9610090354645282	257	0.2387012576739049	0.0465880210056438	70.0	3.261161470395066																66	-0.32474872290965096	0.008306301075368377	65	0.5399095698989445					
15	178	-0.1658365826404751	0.014227425001624747	218.0	3.101578650354195											49	-0.20461922850703465	0.02436500928521497	122.0	2.9725311327962265						4	-0.19256791307603913	0.02524602984562728	136.0	3.43346005900531																										66	-0.28222486466795466	0.014159968650849473	75.0	1.0619976488137106	221	0.23702735304758474	0.048193538253485574	70.0	3.37354767774399																109	-0.32429020813531245	0.008403399680690751	65	0.5462209792448988					
16	196	0.16539479581132344	0.014491351432478981	218.0	3.1591146122804177											59	0.2039192020444365	0.024867432886528415	122.0	3.0338268121564664						49	0.19118723956698708	0.02633267019629432	136.0	3.5812431466960275																										169	0.28183442636322625	0.014299872704485739	75.0	1.0724904528364303																					143	-0.3235671298186935	0.008558537586145016	65	0.556304943099426					
17	271	0.16390735466008735	0.015411734311604777	218.0	3.359758079929841											272	-0.2038177094845236	0.024941006431018254	122.0	3.042802784584227						196	0.18804132730756215	0.028958729103283527	136.0	3.9383871580465595																										116	0.2814433208301861	0.014441211307149739	75.0	1.0830908480362305																					267	0.3221849450077599	0.008862052893644634	65	0.5760334380869012					
18	18	0.16360920821141872	0.015602245013514216	218.0	3.4012894129460993											274	-0.20325671939109594	0.025351042744319777	122.0	3.092827214807013						247	-0.18756658923419758	0.02937375469589935	136.0	3.994830638642312																										86	0.2783608844557451	0.01559798198192867	75.0	1.1698486486446502																					18	0.3177259970400486	0.009906067865039598	65	0.6438944112275738					
19	148	-0.1593427985171152	0.01856243096184113	218.0	4.046609949681366											77	0.20297661184172142	0.025557924482944475	122.0	3.118066786919226						283	0.1870620831800847	0.02982033808438795	136.0	4.055565979476762																										249	-0.27833842557246974	0.015606694977751403	75.0	1.1705021233313553																					248	0.31687295701121315	0.010117544046831376	65	0.6576403630440395					
20	187	-0.15903439742291295	0.018794181130451115	218.0	4.097131486438343											300	-0.20288192238575853	0.025628185541585937	122.0	3.1266386360734844						80	-0.18660717545495673	0.030227952750934907	136.0	4.1110015741271475																										158	-0.2752248305454736	0.016855934552895583	75.0	1.2641950914671687																					146	-0.3166840762919668	0.010164896164087993	65	0.6607182506657195					
21	160	0.15637782502351022	0.020896704443615095	218.0	4.555481568708091											257	-0.2012043558446809	0.026900586369373695	122.0	3.2818715370635907						18	0.18189434369992455	0.03473660691956636	136.0	4.724178541061025																										265	-0.2750601398473844	0.016924339389266047	75.0	1.2693254541949535																					114	-0.31394378183019517	0.010873857927365671	65	0.7068007652787687					
22	70	-0.15476229996129018	0.0222724299903038	218.0	4.855389737886228											207	-0.20102978038915706	0.027036040031225436	122.0	3.2983968838095032						191	0.17986289962070826	0.036848364503596354	136.0	5.0113775724891045																										83	0.27478983284808073	0.017037129441968505	75.0	1.277784708147638																					153	-0.3132974617472213	0.011047190457727065	65	0.7180673797522592					
23	214	-0.1527154401551027	0.02412722647689124	218.0	5.25973537196229											50	-0.20062121190974394	0.027355323465166448	122.0	3.3373494627503066						284	0.17842677467818957	0.03840563795657434	136.0	5.2231667620941105																										218	-0.27325891372726646	0.017688193221964865	75.0	1.3266144916473648																					220	-0.30873505462407286	0.012340303179614645	65	0.8021197066749519					
24	100	0.15212771609750728	0.02468378330395371	218.0	5.381064760261909											275	0.20030097892836038	0.027607815687223234	122.0	3.3681535138412344						182	-0.17823573508480642	0.03861690220902583	136.0	5.251898700427513																										134	-0.2686139486039055	0.019795839875015483	75.0	1.4846879906261612																					131	0.3080571461230827	0.012543192685320103	65	0.8153075245458067					
25	131	0.15025789875236975	0.02652850138920804	218.0	5.7832133028473525											169	0.1999707216391677	0.027870287697454848	122.0	3.4001750990894912						53	0.17758643039110367	0.039342258951842235	136.0	5.3505472174505435																										29	-0.2683997502797212	0.019898002003173994	75.0	1.4923501502380496																					243	-0.30748634082998244	0.012716256342930434	65	0.8265566622904782					
26	217	0.14795915782034413	0.02895736239857024	218.0	6.312705002888312											162	0.19925673174136455	0.028444998544711574	122.0	3.470289822454812						140	0.17665274275157375	0.04040532886983526	136.0	5.495124726297595																										173	0.2683858124361515	0.019904665262486316	75.0	1.4928498946864737																					155	0.3061323063927394	0.013135058365334363	65	0.8537787937467336					
27	105	-0.14765224564735244	0.029295605538796662	218.0	6.386442007457672											23	-0.1989161712086405	0.028722656689272194	122.0	3.5041641160912076						51	-0.1759793231989073	0.04118692418561046	136.0	5.601421689243022																										271	-0.26715484007694607	0.02050072846496052	75.0	1.537554634872039																					179	-0.3059401428849724	0.01319544834635402	65	0.8577041425130113					
28	128	-0.1465620141930608	0.030524560281108375	218.0	6.654354141281626											68	0.19883430634922034	0.028789743363938657	122.0	3.512348690400516						270	-0.17568025666733916	0.04153807031677697	136.0	5.649177563081667																										283	0.2661263813980931	0.021010354656843973	75.0	1.575776599263298																					261	0.3055650772428356	0.013314008157530298	65	0.8654105302394693					
29	176	-0.14376542810691487	0.03387968767385366	218.0	7.385771912900098											297	-0.19857180403555175	0.02900575799542458	122.0	3.5387024754417986						144	0.1747961341393441	0.04259084051734952	136.0	5.792354310359535																										74	0.26593953112181734	0.02110409443975543	75.0	1.5828070829816572																					76	0.3043612228340851	0.013700780403742554	65	0.890550726243266					
30	252	0.1430875938117961	0.034738489415496364	218.0	7.572990692578207											163	0.19792393111558698	0.029544798686244843	122.0	3.6044654397218707						198	-0.17459492199974702	0.04283352509737348	136.0	5.8253594132427935																										250	-0.26516161475649197	0.02149820713023608	75.0	1.612365534767706																					163	0.30402742250674486	0.013809723017905163	65	0.8976319961638356					
31	133	-0.13891406690299254	0.04044296775386138	218.0	8.81656697034178											165	-0.1975096639850942	0.029893915420113788	122.0	3.647057681253882						141	0.17450495466762914	0.04294240920370249	136.0	5.840167651703539																										233	0.26463301187138716	0.02176957712548485	75.0	1.6327182844113637																					152	-0.30394421063680016	0.0138369968738358	65	0.8994047967993269					
32	51	0.13850219276260933	0.04104642600332438	218.0	8.948120868724715											155	0.1969166543718772	0.030399753763826174	122.0	3.7087699591867933						96	-0.17424078182579758	0.04326346533503814	136.0	5.883831285565186																										90	0.2617065415248281	0.023325336110295337	75.0	1.7494002082721503																					183	0.3035988609224194	0.013950686693521015	65	0.906794635078866					
33	298	0.13835914578957806	0.04125777624353865	218.0	8.994195221091426											60	0.1967038128964932	0.030583069703894423	122.0	3.73113450387512						93	-0.17421344529277263	0.0432968023235073	136.0	5.888365115996993																										188	0.2600516126755613	0.024246243547511263	75.0	1.8184682660633447																					294	0.3029196606049128	0.014176629978723961	65	0.9214809486170574					
34	257	0.13832539554002302	0.041307775087108686	218.0	9.005094968989694											25	-0.19562817704657232	0.031523893862525576	122.0	3.84591505122812						145	0.17389378075274978	0.04368822936239483	136.0	5.941599193285697																										9	0.25783902463529873	0.02552553448746505	75.0	1.9144150865598788																					53	0.3022668567376857	0.014396754690624666	65	0.9357890548906033					
35	288	0.1378565881288478	0.0420075701212108	218.0	9.157650286423955											1	-0.19561678730547233	0.03153398578291594	122.0	3.847146265515745						199	-0.17312717033258682	0.04463899135082566	136.0	6.07090282371229																										102	0.25653032118248875	0.02630878789034269	75.0	1.9731590917757016																					130	0.3021651093954079	0.014431327394182696	65	0.9380362806218753					
36	210	-0.13770469530518162	0.04223642857208562	218.0	9.207541428714665											19	0.19547288642382266	0.031661725490553905	122.0	3.8627305098475766						36	0.1729617940712099	0.0448463404741191	136.0	6.099102304480197																										281	0.2556990675376073	0.02681677622972085	75.0	2.011258217229064																					39	0.29984124598050876	0.015240634089118783	65	0.9906412157927209					
37	9	-0.13652055825465725	0.044056741148097885	218.0	9.604369570285339											136	-0.19540319516052357	0.03172374719210505	122.0	3.8702971574368163						132	-0.1728469650530959	0.04499078525379095	136.0	6.11874679451557																										61	-0.2552689804955627	0.027082846643937022	75.0	2.0312134982952768																					249	-0.29931349338338226	0.015429768027703848	65	1.0029349218007502					
38	193	0.1355763855510086	0.04555488611313837	218.0	9.930965172664164											249	-0.19466594943381907	0.03238618178851918	122.0	3.95111417819934						37	-0.17226333989123974	0.045730942479694336	136.0	6.21940817723843																										189	0.2550232330853376	0.027235875848526957	75.0	2.0426906886395217																					206	0.29923254134358185	0.015458956898468514	65	1.0048321984004533					
39	197	0.1353892067339265	0.04585689564549583	218.0	9.996803250718092											181	-0.19399727183640303	0.032997088086214	122.0	4.025644746518108						89	0.17180461086185841	0.04631980005370944	136.0	6.299492807304484																										87	0.2545873303326001	0.02750911416304092	75.0	2.063183562228069																					29	-0.29896697627566665	0.0155550448818205	65	1.0110779173183326					
40	300	0.13477294229914738	0.04686308575986416	218.0	10.216152695650388											173	0.19383549966269245	0.03314633815058553	122.0	4.0438532543714345						227	-0.17148641145027782	0.04673196017291804	136.0	6.355546583516853																										294	0.25357463250459494	0.028152856704146162	75.0	2.111464252810962																					263	0.29864241465471014	0.015673175287319784	65	1.018756393675786					
41																66	-0.19358094917209087	0.03338233974586393	122.0	4.0726454489954						222	-0.16984740418333458	0.04890357262741704	136.0	6.650885877328718																										155	0.25323174942573284	0.02837367839803265	75.0	2.1280258798524487																					186	0.2975361578714471	0.016081622877113254	65	1.0453054870123615					
42																190	-0.1920571280565501	0.03482499593770927	122.0	4.248649504400531						65	-0.16926805986604523	0.04969093803576079	136.0	6.757967572863467																										253	0.25194458577858025	0.029215713376722623	75.0	2.191178503254197																					83	0.2970836506399178	0.016251308276658945	65	1.0563350379828313					
43																288	0.19125043773022576	0.03560976518372773	122.0	4.344391352414783																																				50	-0.2513266539355904	0.029627372756351498	75.0	2.2220529567263623																					192	-0.2966939679952277	0.01639866328888662	65	1.0659131137776303					
44																65	0.19117053299567496	0.03568830301256235	122.0	4.353972967532607																																				198	-0.2511216430133631	0.02976502334334255	75.0	2.2323767507506913																					291	0.2963883165221617	0.016515042844297546	65	1.0734777848793404					
45																281	0.19116874722574095	0.03569005989902935	122.0	4.35418730768158																																				275	0.24891860077705352	0.03127850043054564	75.0	2.345887532290923																					50	-0.2963149378891053	0.01654308756137327	65	1.0753006914892624					
46																269	-0.1908697991863652	0.035985201178988346	122.0	4.390194543836579																																				200	-0.24835549853540617	0.0316755601132939	75.0	2.3756670084970426																					61	-0.29492506899574733	0.017082044176356163	65	1.1103328714631506					
47																254	-0.19055652167762546	0.036296691506442685	122.0	4.428196363786007																																				153	-0.2478306948907531	0.03204941648661478	75.0	2.4037062364961086																					8	0.2946515600966966	0.01718985594473471	65	1.1173406364077563					
48																196	0.1903208361923093	0.036532525292407976	122.0	4.456968085673773																																				25	-0.24745941082034206	0.03231614053164172	75.0	2.4237105398731287																					259	0.29416088309744537	0.01738473122715072	65	1.1300075297647967					
49																200	-0.18966970132762148	0.037190779179064194	122.0	4.537275059845832																																				269	-0.24610736330993221	0.033303219087640334	75.0	2.497741431573025																					25	-0.291252605122654	0.018579007725798798	65	1.2076355021769218					
50																6	0.18965626842211833	0.03720446321741641	122.0	4.538944512524802																																				292	-0.24523831568902638	0.03395091944590296	75.0	2.5463189584427224																					62	-0.2912417309846782	0.018583601394068568	65	1.207934090614457					
51																48	-0.1891533134293773	0.03771987519287137	122.0	4.601824773530307																																				201	0.24443287569472305	0.034560596717360045	75.0	2.5920447538020035																					108	-0.29113781204924866	0.018627549825816134	65	1.2107907386780488					
52																152	0.18850620756596548	0.038391818463349096	122.0	4.68380185252859																																				97	-0.2441842606097402	0.03475062529909592	75.0	2.6062968974321943																					233	0.2898448020412953	0.0191818415287052	65	1.246819699365838					
53																4	-0.18768537054430764	0.03925858775929358	122.0	4.789547706633816																																				296	0.24400319549342203	0.034889571418775855	75.0	2.616717856408189																					200	-0.2894287106427278	0.019363178828165333	65	1.2586066238307467					
54																278	-0.18735998286463557	0.0396066948547831	122.0	4.832016772283539																																				114	-0.2434907872363835	0.03528530388667171	75.0	2.6463977915003785																					73	-0.2889855023446337	0.019557939766911905	65	1.2712660848492738					
55																298	-0.18719610487759475	0.039782992326233634	122.0	4.853525063800503																																				272	-0.2430288148038539	0.035645293512839245	75.0	2.6733970134629432																					282	-0.28887665360234643	0.01960602624652914	65	1.274391706024394					
56																189	0.18655165281626426	0.04048267321793389	122.0	4.9388861325879345																																				92	-0.24288404696647106	0.03575873243964779	75.0	2.6819049329735845																					292	-0.2888447373705606	0.019620145080785627	65	1.2753094302510657					
57																63	0.18589875693100638	0.04120199610839903	122.0	5.0266435252246815																																				254	-0.24266090045407132	0.035934178736333186	75.0	2.695063405224989																					31	0.2885407895404089	0.019755037754851858	65	1.2840774540653708					
