Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
лето_NOUN,-0.12,0.00596,18,12.21,fpi_lex_повествование.tsv
на_ADP,-0.12,0.00628,74,12.87,fpi_lex_повествование.tsv
сложный_ADJ,0.1,0.02379,10,48.74,fpi_lex_повествование.tsv
узнать_VERB,0.09,0.03223,20,66.04,fpi_lex_повествование.tsv
жизнь_NOUN,0.12,0.03316,12,67.95,fpi_lex_описание.tsv
соскучиться_VERB,0.09,0.03786,83,77.58,fpi_lex_повествование.tsv
ты_PRON,0.09,0.0413,196,84.63,fpi_lex_повествование.tsv
