,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Ну,ну,PART,discourse,[17],[],
3,на,на,ADP,case,"[6, 17]",[],
6,картине,картина,NOUN,obl,[17],[3],Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing
14,мы,мы,PRON,nsubj,[17],[],Case=Nom|Number=Plur|Person=First
17,видим,видеть,VERB,ROOT,[],"[0, 6, 14, 38, 114]",Aspect=Imp|Mood=Ind|Number=Plur|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
23,как,как,SCONJ,mark,"[38, 17]",[],
27,крестьянин,крестьянин,NOUN,nsubj,"[38, 17]",[],Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing
38,обрабатывает,обрабатывать,VERB,ccomp,[17],"[23, 27, 51, 83]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
51,землю,земля,NOUN,obj,"[38, 17]",[],Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing
56,",",",",PUNCT,punct,"[83, 38, 17]",[],
58,а,а,CCONJ,cc,"[83, 38, 17]",[],
60,какие,какой,DET,det,"[77, 83, 38, 17]",[],Case=Nom|Number=Plur
65,-,-,DET,det,"[77, 83, 38, 17]",[],Case=Nom|Number=Plur
66,то,то,DET,det,"[77, 83, 38, 17]",[],Case=Nom|Number=Plur
69,знатные,знатный,ADJ,amod,"[77, 83, 38, 17]",[],Case=Nom|Degree=Pos|Number=Plur
77,особы,особа,NOUN,nsubj,"[83, 38, 17]","[60, 65, 66, 69]",Animacy=Anim|Case=Nom|Gender=Fem|Number=Plur
83,наблюдают,наблюдать,VERB,conj,"[38, 17]","[56, 58, 77, 96, 100, 108]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
93,за,за,ADP,case,"[96, 83, 38, 17]",[],
96,ним,он,PRON,obl,"[83, 38, 17]",[93],Case=Ins|Gender=Masc|Number=Sing|Person=Third
100,глядя,глядеть,VERB,obj,"[83, 38, 17]",[],Aspect=Imp|Tense=Pres|VerbForm=Conv|Voice=Act
106,с,с,ADP,case,"[108, 83, 38, 17]",[],
108,высока,высокий,ADJ,obl,"[83, 38, 17]",[106],Degree=Pos|Gender=Fem|Number=Sing|StyleVariant=Short
114,.,.,PUNCT,punct,[17],[],
116,Мне,я,PRON,iobj,[120],[],Case=Dat|Number=Sing|Person=First
120,кажется,казаться,VERB,ROOT,[],"[116, 142, 216]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
128,что,что,SCONJ,mark,"[142, 120]",[],
132,его,его,DET,det,"[136, 142, 120]",[],
136,этому,это,PRON,iobj,"[142, 120]",[132],Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing
142,привело,привести,VERB,csubj,[120],"[128, 136, 168]",Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
149,",",",",PUNCT,punct,"[168, 142, 120]",[],
151,то,то,SCONJ,mark,"[168, 142, 120]",[],
154,что,что,SCONJ,mark,"[168, 142, 120]",[],
158,он,он,PRON,nsubj,"[168, 142, 120]",[],Case=Nom|Gender=Masc|Number=Sing|Person=Third
161,где,где,ADV,advmod,"[168, 142, 120]",[],Degree=Pos
165,то,то,SCONJ,mark,"[168, 142, 120]",[],
168,провинился,провиниться,VERB,advcl,"[142, 120]","[149, 151, 154, 158, 161, 165, 197]",Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid
179,и,и,PART,cc,"[197, 168, 142, 120]",[],
181,из,из,ADP,case,"[187, 197, 168, 142, 120]",[],
183,-,-,ADP,case,"[187, 197, 168, 142, 120]",[],
184,за,за,ADP,case,"[187, 197, 168, 142, 120]",[],
187,этого,это,PRON,obl,"[197, 168, 142, 120]","[181, 183, 184]",Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
