,Word,Lemma,POS,Dep-type,Ancestors,Dependants,Morph
0,Приветик,приветик,NOUN,ROOT,[],[8],Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing
8,.,.,PUNCT,punct,[0],[],
10,Жутко,жутко,ADV,advmod,[20],[],Degree=Pos
16,как,как,SCONJ,mark,[20],[],
20,хочу,хотеть,VERB,ROOT,[],"[10, 16, 30, 37]",Aspect=Imp|Mood=Ind|Number=Sing|Person=First|Tense=Pres|VerbForm=Fin|Voice=Act
25,тебя,ты,PRON,obj,"[30, 20]",[],Case=Acc|Number=Sing|Person=Second
30,увидеть,увидеть,VERB,xcomp,[20],[25],Aspect=Perf|VerbForm=Inf|Voice=Act
37,.,.,PUNCT,punct,[20],[],
39,У,у,ADP,case,"[41, 46]",[],
41,меня,я,PRON,obl,[46],[39],Case=Gen|Number=Sing|Person=First
46,тут,тут,ADV,ROOT,[],"[41, 50, 67]",Degree=Pos
50,куча,куча,NOUN,nsubj,[46],[55],Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing
55,всего,всего,PRON,nmod,"[50, 46]",[61],Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing
61,нового,новый,ADJ,amod,"[55, 50, 46]",[],Case=Gen|Degree=Pos|Gender=Neut|Number=Sing
67,.,.,PUNCT,punct,[46],[],
69,Давай,давать,VERB,ROOT,[],"[75, 91]",Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
75,приезжай,приезжать,VERB,xcomp,[69],[86],Aspect=Imp|Mood=Imp|Number=Sing|Person=Second|VerbForm=Fin|Voice=Act
84,в,в,ADP,case,"[86, 75, 69]",[],
86,гости,гость,NOUN,obl,"[75, 69]",[84],Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur
91,.,.,PUNCT,punct,[69],[],
93,Да,да,PART,cc,[104],[96],
96,что,что,SCONJ,fixed,"[93, 104]",[],
100,я,я,PRON,nsubj,[104],[],Case=Nom|Number=Sing|Person=First
102,о,о,ADP,case,[104],[],
104,себе,себя,PRON,ROOT,[],"[93, 100, 102, 113, 126, 129]",Case=Loc
109,и,и,CCONJ,cc,"[113, 104]",[],
111,о,о,ADP,case,"[113, 104]",[],
113,себе,себя,PRON,conj,[104],"[109, 111]",Case=Loc
117,",",",",PUNCT,punct,"[126, 104]",[],
119,как,как,ADV,advmod,"[126, 104]",[],Degree=Pos
123,ты,ты,PRON,nsubj,"[126, 104]",[],Case=Nom|Number=Sing|Person=Second
126,там,там,ADV,parataxis,[104],"[117, 119, 123]",Degree=Pos
129,?,?,PUNCT,punct,[104],[],
131,Куда,куда,ADV,advmod,[136],[],Degree=Pos
136,пропала,пропасть,VERB,ROOT,[],"[131, 152, 165]",Aspect=Perf|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act
144,и,и,PART,advmod,"[146, 152, 136]",[],
146,какие,какой,DET,det,"[152, 136]",[144],Case=Nom|Number=Plur
152,дела,дело,NOUN,nsubj,[136],"[146, 159]",Animacy=Inan|Case=Nom|Gender=Neut|Number=Plur
157,с,с,ADP,case,"[159, 152, 136]",[],
159,учебой,учёба,NOUN,nmod,"[152, 136]",[157],Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing
165,?,?,PUNCT,punct,[136],[],
167,Нравится,нравиться,VERB,ROOT,[],"[176, 190, 199]",Aspect=Imp|Mood=Ind|Number=Sing|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Mid
176,вообще,вообще,ADV,advmod,[167],[],Degree=Pos
182,",",",",PUNCT,punct,"[190, 167]",[],
184,много,много,ADV,advmod,"[190, 167]",[],Degree=Pos
190,загружают,загружать,VERB,conj,[167],"[182, 184]",Aspect=Imp|Mood=Ind|Number=Plur|Person=Third|Tense=Pres|VerbForm=Fin|Voice=Act
199,?,?,PUNCT,punct,[167],[],
201,Ох,ох,INTJ,parataxis,[228],[203],
203,",",",",PUNCT,punct,"[201, 228]",[],
205,у,у,ADP,case,"[207, 228]",[],
