Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
женщина_NOUN,0.23,0.00018,11,0.22,big5_lex_описание.tsv
ты_PRON,-0.14,0.03918,10,46.78,big5_lex_повествование.tsv
