Word/Dim,Pearson C,P-value,Occ,P-Bonferroni,Text
мой_DET,0.32,0.0,10,0.0,big5_lex_повествование.tsv
весь_DET,0.29,3e-05,12,0.04,big5_lex_повествование.tsv
надеяться_VERB,0.26,0.00014,14,0.15,big5_lex_повествование.tsv
это_PRON,0.2,0.00409,19,4.32,big5_lex_повествование.tsv
на_ADP,0.19,0.00753,27,7.96,big5_lex_повествование.tsv
и_CCONJ,0.18,0.0088,50,9.31,big5_lex_повествование.tsv
