	я_PRON	я_PRON	я_PRON	я_PRON	я_PRON	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	они_PRON	они_PRON	они_PRON	они_PRON	они_PRON	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	хотеть_VERB	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	она_PRON	она_PRON	она_PRON	она_PRON	она_PRON	думать_VERB	думать_VERB	думать_VERB	думать_VERB	думать_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	жизнь_NOUN	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
9	132	-0.18482694391650106	0.009139888551633307	198.0	1.809697933223395						272	-0.25427341132787573	0.039374302669158014	66.0	2.598703976164429	266	0.28064799979516625	0.006733112064642941	92.0	0.6194463099471506	208	-0.34513764430473554	0.009861476215691518	55.0	0.5423811918630335																65	-0.44406366089117816	0.00029989152062028077	62.0	0.018593274278457406	264	0.25359606578907884	0.010501577077997815	101	1.0606592848777794	263	0.25887167052645854	0.028111133869927106	72.0	2.0240016386347515	183	-0.43001787262060487	0.011138123939232795	34.0	0.37869621393391506						100	-0.3410277922842444	0.023489069048002856	44.0	1.0335190381121258					
10	285	0.1823034970557414	0.010153025513939302	198.0	2.010299051759982						253	0.24781808138036962	0.04483171151850173	66.0	2.9588929602211143	277	0.276705958533919	0.007582158953888893	92.0	0.6975586237577781	140	0.3390219281488778	0.011342140158555824	55.0	0.6238177087205703																87	0.43855602257130494	0.0003633646931895327	62.0	0.022528610977751027	86	-0.2532989658777702	0.010595579621862925	101	1.0701535418081554	180	-0.25247042601065445	0.032388579267090205	72.0	2.331977707230495	258	0.4292040410151779	0.011308926830640166	34.0	0.38450351224176565						133	-0.34023927883186467	0.023833046267331525	44.0	1.048654035762587					
11	112	0.18069562217444796	0.010849185571229054	198.0	2.148138743103353											275	0.27618747818878225	0.007700575198294908	92.0	0.7084529182431315	168	-0.3345781273010669	0.012534813624664897	55.0	0.6894147493565693																37	0.42785242482491087	0.0005228814660142152	62.0	0.03241865089288134	229	-0.25314201846682877	0.010645534689712242	101	1.0751990036609365	106	0.251283493598886	0.03323883486527128	72.0	2.3931961102995323	248	-0.4256100699381746	0.012089924674173396	34.0	0.41105743892189545						107	0.3319857345667654	0.027693017375190886	44.0	1.218492764508399					
12	61	0.18053426962151653	0.010921318414165118	198.0	2.1624210460046935											238	0.2734987153310472	0.008341174259118522	92.0	0.767388031838904	37	0.2820588804286372	0.0369490990521529	55.0	2.0322004478684095																113	0.42777420783349157	0.0005242510020559347	62.0	0.03250356212746795	188	0.25264279240640924	0.010805808215319755	101	1.0913866297472952	87	-0.24872892904499694	0.03513230547652129	72.0	2.529525994309533	49	0.42542263510248995	0.012131873637057021	34.0	0.41248370365993875						4	-0.3302999927873074	0.028542080703124712	44.0	1.2558515509374872					
13	194	0.17844097200017534	0.01189619071441395	198.0	2.355445761453962											194	-0.26771434081627055	0.009880230243577422	92.0	0.9089811824091228																					292	0.4276129007096458	0.000527085692168075	62.0	0.032679312914420645	187	0.25246796572045455	0.010862432526909993	101	1.0971056852179093	156	-0.24714167501426992	0.03635355048514421	72.0	2.617455634930383	247	0.420415006543638	0.013298938040106166	34.0	0.4521638933636097						109	-0.32420507586566316	0.03179420732540011	44.0	1.3989451223176048					
14	261	0.17411658825669424	0.014155458924891317	198.0	2.802780867128481											152	0.2659432542090274	0.010398733115263488	92.0	0.9566834466042409																					297	0.4261519581561505	0.0005534002621938163	62.0	0.034310816256016605	89	-0.25186722903882725	0.01105898825220336	101	1.1169578134725393	225	0.2406964148419252	0.04168205332629787	72.0	3.0011078394934465	190	0.41231216242121316	0.015386922115846292	34.0	0.5231553519387739						290	-0.3119315593369902	0.039274558009169215	44.0	1.7280805524034455					
15	33	0.17374278843746063	0.014367338200565568	198.0	2.8447329637119823											186	0.2560485725719814	0.013756134146054996	92.0	1.2655643414370596																					25	0.4247467914557399	0.0005798295662973127	62.0	0.03594943311043339	244	0.2513685845425463	0.01122449647134517	101	1.1336741436058622	76	-0.2401306287719558	0.04217919249485063	72.0	3.0369018596292454	180	0.4082389707997881	0.01653614591080252	34.0	0.5622289609672857						250	-0.3091599243806306	0.04114906703821959	44.0	1.810558949681662					
16	24	-0.17096250924589668	0.016032237686587535	198.0	3.174383061944332											99	-0.25370361995414564	0.014677700681456659	92.0	1.3503484626940125																					73	0.4103901639912688	0.00092336174551147	62.0	0.05724842822171114	247	-0.2488386544424156	0.012098022946112199	101	1.2219003175573322	206	0.23972042964613266	0.04254268285779486	72.0	3.06307316576123	132	0.4017238567823612	0.018523087908166053	34.0	0.6297849888776458						90	0.3047912703325475	0.04425143053577419	44.0	1.9470629435740643					
17	293	-0.16998921573403272	0.016653605491395312	198.0	3.2974138872962717											34	0.2515789932221171	0.01555840678000189	92.0	1.4313734237601738																					255	0.4062057958506614	0.0010534361079842381	62.0	0.06531303869502277	63	0.24832042083646208	0.012284103878308686	101	1.2406944917091773	143	0.23885402435100542	0.043318953778434754	72.0	3.1189646720473023	36	-0.38530162693051406	0.024428619538107356	34.0	0.8305730642956501						174	0.3034296693265129	0.04525634166714232	44.0	1.991279033354262					
18	175	-0.16972356420872117	0.016826805701224093	198.0	3.3317075288423705											4	-0.2450516330431154	0.01855597289908514	92.0	1.7071495067158329																					162	-0.40530616905211886	0.001083472433361352	62.0	0.06717529086840383	263	0.24777659027389876	0.012482055976242658	101	1.2606876536005085	189	0.2364139288450647	0.04556833738207995	72.0	3.2809202915097564	60	-0.3844042518874599	0.0247915620185693	34.0	0.8429131086313562						77	0.3025865623162594	0.045887823721256146	44.0	2.0190642437352704					
19	275	0.1684601471273868	0.017672177708871337	198.0	3.499091186356525											12	-0.23610830404131491	0.023460900521412743	92.0	2.158402847969972																					177	0.39981006578040473	0.0012843411435366713	62.0	0.07962915089927362	82	-0.24681119787895417	0.012840312660646303	101	1.2968715787252767						230	-0.37357225291144164	0.029534111108155892	34.0	1.0041597776773004						53	0.3022268315596993	0.046159427741679186	44.0	2.0310148206338843					
20	208	-0.16738259022503382	0.018422135754527943	198.0	3.647582879396533											175	0.23074968437289467	0.026899859713600666	92.0	2.4747870936512615																					269	0.38979438279247	0.001738219297809592	62.0	0.1077695964641947	112	0.24663971080413782	0.012904879928242552	101	1.3033928727524977						188	0.36959366030254487	0.03145250339469385	34.0	1.0693851154195908						147	0.2994748759846625	0.04828064332208558	44.0	2.1243483061717656					
21	78	0.1664013414609178	0.019128958053651734	198.0	3.7875336946230433											74	0.22423515533235086	0.031648290962079134	92.0	2.9116427685112805																					248	-0.37760460528552914	0.002481203954441248	62.0	0.15383464517535736	222	-0.245945233807173	0.013169261064482084	101	1.3300953675126905						274	-0.3647026477578708	0.033949031114428804	34.0	1.1542670578905794															
22	286	-0.1613407807639796	0.023159725882107924	198.0	4.585625724657369											55	0.2190307830017009	0.0359326636661853	92.0	3.3058050572890476																					143	0.37677040668450495	0.0025411339221008385	62.0	0.15755030317025198	184	0.24535324052444213	0.01339833857473957	101	1.3532321960486966						47	-0.3486460267908838	0.043300241920246334	34.0	1.4722082252883752															
23	160	-0.15938322581833733	0.024904687261815862	198.0	4.93112807783954											96	0.21807584685717868	0.036769355355122706	92.0	3.382780692671289																					245	0.3762977201255739	0.002575662033583025	62.0	0.15969104608214754	212	0.2449464186723667	0.013557765549135216	101	1.369334320462657																									
24	5	0.15517268109686272	0.029044081147215267	198.0	5.750728067148623											76	0.2159584092701807	0.03868292308156598	92.0	3.5588289235040698																					279	-0.37383908421820894	0.0027620884868368354	62.0	0.1712494861838838	201	-0.24439848872341818	0.013775097369877571	101	1.3912848343576347																									
25	6	0.1549488650983144	0.029279665171213064	198.0	5.7973737039001865											280	0.2146811294773804	0.03987694888749055	92.0	3.6686792976491303																					156	0.36178001228885986	0.0038616552019633513	62.0	0.23942262252172777	142	-0.24435537847263428	0.013792324532612369	101	1.3930247777938494																									
26	75	0.15383347322562782	0.030478173816139393	198.0	6.0346784155956											138	-0.21420968777935948	0.040325359978489156	92.0	3.7099331180210022																					265	0.3609903023530563	0.003945612791050777	62.0	0.24462799304514818	135	-0.2441065422377384	0.01389212786869641	101	1.4031049147383374																									
27	49	-0.14974771830664618	0.03523184732014764	198.0	6.975905769389233											6	0.21097961760003464	0.043512027338583385	92.0	4.003106515149671																					181	0.34691754451060186	0.0057378894018137805	62.0	0.3557491429124544	246	-0.24396261831759986	0.013950139048559443	101	1.4089640439045037																									
28	10	0.14465214864452608	0.04202677184229146	198.0	8.32130082477371											260	0.2101607749489164	0.04435228521197173	92.0	4.080410239501399																					210	0.3458486626256825	0.005899478011125752	62.0	0.3657676366897966	100	-0.2423242005196511	0.014625521416905533	101	1.477177663107459																									
29	67	-0.1445564941639081	0.04216417464332792	198.0	8.348506579378927											118	-0.208645877921486	0.04594229412594238	92.0	4.226691059586699																					300	0.3448379172316701	0.006055940946374702	62.0	0.3754683386752315	12	0.2413919168415486	0.015022354086309062	101	1.5172577627172152																									
30	124	-0.14437480116556853	0.04242620611592755	198.0	8.400388810953656											44	0.20780622754901745	0.04684372122956969	92.0	4.309622353120411																					13	-0.32714143820442715	0.00944998688861601	62.0	0.5858991870941925	136	0.24102885242628058	0.015179402892601562	101	1.5331196921527577																									
31	118	0.14362678971446488	0.043519402632181	198.0	8.616841721171838											297	-0.20650927792159732	0.048264811892143294	92.0	4.440362694077183																					167	0.3267822795367664	0.009533266521829323	62.0	0.591062524353418	23	-0.2395728825387504	0.015823591868688792	101	1.598182778737568																									
32	249	-0.14328950996724704	0.04401999613780707	198.0	8.7159592352858											60	0.20643836356629924	0.048343529568757364	92.0	4.447604720325677																					164	-0.3265738132545409	0.009581896438666563	62.0	0.5940775791973268	19	0.2391622562854101	0.01600949856554992	101	1.616959355120542																									
33	20	-0.1420704365494746	0.04586975731748639	198.0	9.082211948862305											14	-0.2055881516608248	0.04929558048336956	92.0	4.535193404469999																					268	-0.32628877885584695	0.009648736552439486	62.0	0.5982216662512482	236	-0.23901475343028872	0.016076739004168974	101	1.6237506394210663																									
34	163	0.1418184225741596	0.046260145654138586	198.0	9.15950883951944																																				7	0.32319410307901186	0.010400912918652888	62.0	0.6448566009564791	53	0.23878177189635905	0.01618344363787306	101	1.634527807425179																									
35	82	0.14039043677384375	0.048524984895620106	198.0	9.607947009332781																																				93	0.3221363997820062	0.010669399755380768	62.0	0.6615027848336076	150	-0.23842978447216767	0.016345814880018395	101	1.6509273028818578																									
36	71	0.13978537305468794	0.04951213089868505	198.0	9.80340191793964																																				165	0.32106132418567485	0.010948431163540311	62.0	0.6788027321394993	171	-0.23838075447528018	0.01636854380356607	101	1.653222924160173																									
37																																									57	0.313768427173373	0.013013505388645069	62.0	0.8068373340959942	235	0.23812878916168267	0.01648577961461083	101	1.6650637410756939																									
38																																									271	0.3109042901893482	0.013911892882669906	62.0	0.8625373587255342	4	-0.237419714589613	0.016819607538499006	101	1.6987803613883996																									
39																																									138	0.3075278437699282	0.015039049428499183	62.0	0.9324210645669493	74	0.2372457892857882	0.0169023773300606	101	1.7071401103361206																									
40																																									110	-0.3070731162043628	0.01519668258231235	62.0	0.9421943201033658	42	-0.2367816608832924	0.017124977922980636	101	1.7296227702210443																									
41																																									21	-0.3064254562582703	0.01542364340745697	62.0	0.9562658912623322	139	-0.2350956284572541	0.017955059538883204	101	1.8134610134272036																									
42																																									205	-0.29374020004624235	0.020491916657829647	62.0	1.270498832785438	243	-0.2347832030130188	0.01811262824877788	101	1.8293754531265658																									
43																																									121	-0.2931884369121242	0.020741220172668634	62.0	1.2859556507054553	88	0.23475185937789336	0.018128501721589696	101	1.8309786738805593																									
44																																									194	-0.2888361243767658	0.02279957666263274	62.0	1.4135737530832297	160	-0.23469234070154263	0.01815867700407704	101	1.8340263774117809																									
45																																									63	-0.28870011769913145	0.02286658988584313	62.0	1.4177285729222742	115	0.23461684246334152	0.018197016045440592	101	1.8378986205894998																									
46																																									235	-0.2880412246909123	0.023193605524811565	62.0	1.438003542538317	219	-0.23444068448421962	0.018286742991360024	101	1.8469610421273623																									
47																																									67	-0.28622857781376737	0.02411372818093856	62.0	1.4950511472181907	215	0.233293984803596	0.01888019458359551	101	1.9068996529431468																									
48																																									71	-0.2818759925800814	0.026449845261737704	62.0	1.6398904062277377	273	-0.23241613065264136	0.019345649791802432	101	1.9539106289720456																									
49																																									267	-0.28109182273906685	0.026890358588339734	62.0	1.6672022324770635	163	0.23205046438564086	0.01954242678156993	101	1.9737851049385629																									
50																																									9	-0.2712738096189018	0.03294848332106657	62.0	2.0428059659061275	293	-0.23199544430982202	0.019572183399489136	101	1.9767905233484027																									
51																																									4	0.2695589242973824	0.034115471351381536	62.0	2.115159223785655	124	-0.23160514414804959	0.019784391171755532	101	1.9982235083473088																									
52																																									147	-0.2637052815668974	0.03836126425224552	62.0	2.3783983836392224	94	-0.2314919235504369	0.019846318638144848	101	2.0044781824526297																									
53																																									285	-0.2619804952453476	0.03969271218774197	62.0	2.4609481556400024	239	-0.23144620642439828	0.019871371401045185	101	2.0070085115055636																									
54																																									287	0.25775469713090704	0.04311701196103377	62.0	2.6732547415840937	26	-0.23065761656393424	0.020307813393726174	101	2.0510891527663437																									
55																																									5	-0.25679085157291526	0.04393119782416066	62.0	2.723734265097961	198	-0.23065558584807294	0.020308947830578183	101	2.0512037308883966																									
56																																									206	-0.25563572029001796	0.044923591795685315	62.0	2.7852626913324894	298	0.2305997371689892	0.020340168418479087	101	2.0543570102663877																									
57																																									33	0.2555163502732117	0.04502718685740285	62.0	2.7916855851589766	157	0.23040548241556438	0.020449082219599884	101	2.0653573041795883																									
58																																									76	-0.2545579628994222	0.04586605741780965	62.0	2.8436955599041984	167	0.2303771113152	0.02046503103270391	101	2.066968134303095																									
59																																									26	0.25119054336399715	0.04891587452809844	62.0	3.032784220742103	7	-0.22996200000204137	0.020699610330836782	101	2.090660643414515																									
60																																														72	-0.229171956532693	0.02115244565473879	101	2.1363970111286177																									
61																																														78	0.22889267873411884	0.021314541771113724	101	2.152768718882486																									
62																																														155	0.22880644779645756	0.021364805975912646	101	2.1578454035671775																									
63																																														226	0.22875615807412925	0.02139416686718729	101	2.1608108535859163																									
64																																														162	0.2283050188915705	0.02165910859053294	101	2.1875699676438267																									
65																																														257	-0.22704063716416434	0.022416679984590158	101	2.2640846784436057																									
66																																														274	-0.22696180971607932	0.022464652545335913	101	2.268929907078927																									
67																																														31	0.22631852927076682	0.022859433289373173	101	2.3088027622266907																									
68																																														193	-0.22549935277326372	0.023370739832867655	101	2.3604447231196333																									
69																																														137	-0.22509987342891857	0.023623608992207206	101	2.385984508212928																									
70																																														200	-0.2250934474059507	0.023627695674188157	101	2.386397263093004																									
71																																														123	-0.22475050934386198	0.0238466680003593	101	2.4085134680362894																									
72																																														95	0.22474665449680922	0.023849139209965963	101	2.4087630602065624																									
73																																														276	-0.22411655910058498	0.024256022613809845	101	2.449858283994794																									
74																																														299	0.22382849853515532	0.02444400213849865	101	2.4688442159883635																									
75																																														9	0.22382726638193537	0.024444808866570442	101	2.4689256955236147																									
76																																														80	-0.2234786141273859	0.0246739967354722	101	2.4920736702826924																									
77																																														265	-0.22343205697555726	0.024704739542702647	101	2.495178693812967																									
78																																														241	0.2234078557227523	0.024720733114557986	101	2.4967940445703567																									
79																																														281	0.22328730935978008	0.02480052866376622	101	2.504853395040388																									
80																																														249	0.22292824799407357	0.025039511885132752	101	2.528990700398408																									
81																																														218	0.22238983778657354	0.02540154371476164	101	2.5655559151909255																									
82																																														175	-0.22232458764295993	0.02544572002420949	101	2.5700177224451584																									
83																																														98	-0.22176012252496585	0.025830619790348095	101	2.6088925988251574																									
84																																														270	-0.2198446883679973	0.02717389159813714	101	2.744563051411851																									
85																																														164	0.21850362455130085	0.028149306679544517	101	2.843079974633996																									
86																																														230	0.21818945130493292	0.028382066326339897	101	2.8665886989603298																									
87																																														213	0.21783897884080936	0.02864364339275873	101	2.8930079826686317																									
88																																														107	-0.2176529853361995	0.028783289109144888	101	2.907112200023634																									
89																																														117	-0.2170537978487474	0.02923709640999876	101	2.952946737409875																									
90																																														129	0.21694007006531557	0.029323911566780488	101	2.961715068244829																									
91																																														216	0.21612425459824156	0.029953097000967262	101	3.0252627970976933																									
92																																														294	0.21555970259443943	0.030395157941107368	101	3.069910952051844																									
93																																														269	-0.2152625810912502	0.030630021214278377	101	3.093632142642116																									
94																																														93	-0.21449666475158669	0.031242536309546147	101	3.155496167264161																									
95																																														62	-0.21400329018708458	0.03164255094507152	101	3.1958976454522237																									
96																																														279	0.21337492651674814	0.032158265390537615	101	3.247984804444299																									
97																																														217	0.21243876873643908	0.032939739169186376	101	3.326913656087824																									
98																																														206	0.21243468743222962	0.03294318084576783	101	3.327261265422551																									
99																																														126	0.21238261088816815	0.03298712250020928	101	3.331699372521137																									
100																																														154	0.21061958367082192	0.03450416443212561	101	3.484920607644687																									
101																																														156	-0.21061245452702318	0.03451041605141426	101	3.48555202119284																									
102																																														91	0.20849385629760087	0.036410935392031295	101	3.677504474595161																									
103																																														111	0.20696695784259242	0.03783447689925991	101	3.8212821668252506																									
104																																														297	-0.20689259050373385	0.037904984366209676	101	3.8284034209871773																									
105																																														81	-0.2060672514141348	0.038694901156165105	101	3.9081850167726757																									
106																																														196	0.20574223617800422	0.03900972467474251	101	3.9399821921489933																									
107																																														282	-0.20512745898956206	0.03961108373209091	101	4.000719456941182																									
108																																														159	0.2045710082175193	0.04016205076799955	101	4.056367127567954																									
109																																														227	0.20397249190183134	0.040761798871166884	101	4.116941685987856																									
110																																														245	-0.2037054427177348	0.041031799264565384	101	4.144211725721104																									
111																																														41	-0.2033722665078202	0.04137074798377399	101	4.178445546361173																									
112																																														46	0.20314968692716343	0.04159848244183663	101	4.201446726625499																									
113																																														87	-0.2027389808452906	0.04202144409916026	101	4.244165854015186																									
114																																														15	0.2026363624275931	0.042127682437041215	101	4.254895926141163																									
115																																														51	-0.20239305833751028	0.042380463787407736	101	4.280426842528182																									
116																																														266	-0.2018083556123319	0.04299311209784533	101	4.342304321882378																									
117																																														268	0.20091697604904377	0.043941267261445975	101	4.438067993406044																									
118																																														271	-0.1998339990252112	0.04511655073454254	101	4.556771624188797																									
