	свой_DET	свой_DET	свой_DET	свой_DET	свой_DET	время_NOUN	время_NOUN	время_NOUN	время_NOUN	время_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	человек_NOUN	очень_ADV	очень_ADV	очень_ADV	очень_ADV	очень_ADV	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мочь_VERB	мой_DET	мой_DET	мой_DET	мой_DET	мой_DET	мы_PRON	мы_PRON	мы_PRON	мы_PRON	мы_PRON	потом_ADV	потом_ADV	потом_ADV	потом_ADV	потом_ADV	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	первый_ADJ	год_NOUN	год_NOUN	год_NOUN	год_NOUN	год_NOUN	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	хороший_ADJ	еще_ADV	еще_ADV	еще_ADV	еще_ADV	еще_ADV	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	произойти_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	ждать_VERB	день_NOUN	день_NOUN	день_NOUN	день_NOUN	день_NOUN	жить_VERB	жить_VERB	жить_VERB	жить_VERB	жить_VERB	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON	ничто_PRON
	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni	Dim	Pearson C	P-value	Occ	P-Bonferroni
0	129	-0.1939001007717267	0.00405609682476703	218	0.8842291077992126	95	0.25041785874901423	0.018614373757880887	88.0	1.638064890693518	246	0.1810253702325942	0.014191398856713769	183.0	2.5970259907786195	42	0.19507122673585414	0.03130444135358957	122.0	3.8191418451379273	94	0.176259979058749	0.04010620365946413	136.0	5.454443697687122	56	-0.344321307378401	0.004037916955863823	68.0	0.27457835299873995	28	-0.2665731149746607	0.026821841331370503	69.0	1.8507070518645647	136	-0.36422196413340036	0.005348427140721624	57.0	0.30486034702113257	211	0.3675103926666396	0.015332449895735293	43.0	0.6592953455166176	233	0.23232057580680074	0.03570383581129019	82.0	2.9277145365257957	253	-0.30108928663811835	0.008666724902694978	75.0	0.6500043677021233	142	0.3368207301713999	0.004356544486916461	70.0	0.30495811408415224	170	0.43538579969519614	0.001982618699468868	48.0	0.09516569757450566	276	0.4088453437977272	0.018158326917600623	33.0	0.5992247882808206	188	-0.3698437141781177	0.03721160076297467	32.0	1.1907712244151893	167	0.2518833990438875	0.042958972823095416	65.0	2.792333233501202	33	0.47283676844589184	0.003123358504331262	37.0	0.1155642646602567
1	64	0.182622868111432	0.006857896993974262	218	1.495021544686389	77	0.24710538515115094	0.020285328303255305	88.0	1.7851088906864667	184	0.1765414055801508	0.016818504628755976	183.0	3.0777863470623434											197	-0.3197951046559232	0.007851051960442702	68.0	0.5338715333101037	206	-0.25930230442155133	0.031434852748009376	69.0	2.169004839612647	161	-0.27588542358466983	0.0377789012580105	57.0	2.1533973717065984	204	-0.3437148644861809	0.02402562714915862	43.0	1.0331019674138207	54	-0.22136988635395224	0.04564228662587683	82.0	3.7426675033218997	73	0.29404920575493493	0.010447665134953252	75.0	0.7835748851214939	229	-0.31985559828467297	0.006950129354235841	70.0	0.4865090547965089	161	0.4260645529892717	0.002532767748901553	48.0	0.12157285194727455	202	-0.40619283191099387	0.018998098890972002	33.0	0.6269372634020761	196	-0.36502453391712947	0.03995360067214809	32.0	1.278515221508739						35	-0.4219468634220263	0.00928865353990447	37.0	0.34368018097646535
2	199	0.18081785148006504	0.007439716799416718	218	1.6218582622728444	237	-0.2309506970831354	0.030396064812725467	88.0	2.674853703519841	107	0.16398822588588938	0.026539179755305994	183.0	4.856669895220997											14	-0.30319608666724474	0.011959710487580197	68.0	0.8132603131554534	222	0.2532327253803336	0.03577883636790704	69.0	2.4687397093855856	274	0.27435609080477014	0.03889784204593072	57.0	2.217176996618051	21	-0.32552387677440076	0.033163408172264534	43.0	1.4260265514073749	285	0.22080806458410435	0.04620839440861666	82.0	3.789088341506566	260	-0.2779903200147421	0.01574228079216351	75.0	1.1806710594122631	59	-0.30836086363163817	0.009401501035126074	70.0	0.6581050724588251	147	0.3874837252186436	0.006508444721626613	48.0	0.3124053466380774	61	-0.40195612937208214	0.02040620714992943	33.0	0.6734048359476712	144	0.35967095889680956	0.04318790865021644	32.0	1.382013076806926						74	0.4052196253407976	0.012845712820356864	37.0	0.475291374353204
3	208	0.17576877800852792	0.00930737923815623	218	2.0290086739180584	101	-0.22881410070478728	0.03200798007199919	88.0	2.816702246335929																212	0.2820905331372784	0.0197744908638263	68.0	1.3446653787401885	204	-0.2457216095479256	0.041836206384637066	69.0	2.8866982405399577	11	0.2705776831498822	0.04178009567162849	57.0	2.381465453282824	167	-0.3188766795832323	0.0371464080122015	43.0	1.5972955445246646	294	0.21751998562116465	0.04963900771526623	82.0	4.07039863265183	247	0.2768379259016738	0.01619839754017231	75.0	1.2148798155129232	37	-0.2728545715362823	0.022294609174918063	70.0	1.5606226422442644	290	0.38300707902118286	0.007211609490839494	48.0	0.3461572555602957	41	0.3906516449757502	0.024591888435004854	33.0	0.8115323183551602	190	0.35312434477209953	0.047424663042941816	32.0	1.517589217374138						167	-0.38892858387838364	0.017355952606244812	37.0	0.642170246431058
4	233	-0.17038089226451633	0.011747780177450843	218	2.561016078684284	9	0.21787329727727844	0.04143246217116831	88.0	3.6460566710628113																192	0.27995181647025336	0.02076752045534806	68.0	1.412191390963668	42	-0.2414734027461766	0.04562233709599343	69.0	3.1479412596235465	175	0.2610646276858788	0.0498218876815084	57.0	2.8398475978459787	45	0.31495768939926533	0.03967289226378815	43.0	1.7059343673428906						296	-0.2767586479202462	0.016230189590335113	75.0	1.2172642192751335	92	-0.25941997660705973	0.030108670368064885	70.0	2.107606925764542	292	-0.37190019534845764	0.009247275392196275	48.0	0.4438692188254212	283	-0.38380356338450355	0.027454597750635877	33.0	0.9060017257709839											286	0.3812772740392505	0.01989389907818838	37.0	0.73607426589297
5	291	-0.17022950994106764	0.011823815034647607	218	2.5775916775531784	200	-0.21142952309236768	0.04799174418130114	88.0	4.2232734879545																213	-0.27024061166610874	0.025827722725530113	68.0	1.7562851453360477	298	-0.2412593102609734	0.045820376163843025	69.0	3.161605955305169						143	0.31041604167941084	0.042774621507048825	43.0	1.8393087248030995						228	-0.2749962412637994	0.01695094404612141	75.0	1.271320803459106	249	0.2593837645770683	0.030132499046716825	70.0	2.1092749332701777	99	-0.3563398092467739	0.012921726206782124	48.0	0.6202428579255419	104	-0.38032370029762397	0.029010739739649443	33.0	0.9573544114084316											30	-0.3611423054086782	0.028087818933099095	37.0	1.0392493005246666
6	201	-0.16950497428420877	0.012193760139130936	218	2.658239710330544	193	-0.20963799479018297	0.049960557374429955	88.0	4.396529048949836																262	-0.2679247387058084	0.02717752129658732	68.0	1.848071448167938	266	0.23830879460676782	0.04862247875100411	69.0	3.3549510338192836						236	0.3071513664571792	0.04512395261052921	43.0	1.9403299622527561						295	-0.2745444936777015	0.017140059773849647	75.0	1.2855044830387234	20	0.2499522825365819	0.0369020760737258	70.0	2.5831453251608063	280	0.3460068691777823	0.015998765557108455	48.0	0.7679407467412058	114	-0.37805416735156133	0.030063970139963554	33.0	0.9921110146187972											243	-0.35496876958747053	0.031096295015729282	37.0	1.1505629155819834
7	210	0.16528329524721225	0.014558636382058936	218	3.1737827312888482																					106	0.2677309885179956	0.02729309552747307	68.0	1.8559304958681686											205	0.3054173758264994	0.04641372203997107	43.0	1.995790047718756						284	-0.27450991357764026	0.01715461047950438	75.0	1.2865957859628285	81	-0.2481754220034746	0.03830960298984602	70.0	2.681672209289222	293	-0.3195939002899899	0.02680986716389697	48.0	1.2868736238670546	205	-0.3716535772454173	0.033203588073946064	33.0	1.0957184064402201											46	0.33128570235662996	0.045185055354931586	37.0	1.6718470481324688
8	239	0.1627623763720379	0.016154621901149833	218	3.5217075744506636																					245	-0.2672320833067756	0.027592606827996965	68.0	1.8762972643037936											279	0.30350022841166896	0.047874336142306524	43.0	2.0585964541191806						163	-0.2737396297414442	0.01748149435906265	75.0	1.3111120769296989	285	-0.24348556096680365	0.04224027261814377	70.0	2.9568190832700636	146	0.31390016408212396	0.02980424866029842	48.0	1.430603935694324	23	0.36668836265729715	0.03581852740923752	33.0	1.1820114045048382											49	-0.33041603309811984	0.045786909257614125	37.0	1.6941156425317225
